# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection est_news_2020_300K.tar.gz (est_news_2020_300K/est_news_2020_300K-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
ma arvan	et	812000
on see	et	701000
et see	on	674000
see ei	ole	635000
vahendas aktuaalne	kaamera	552000
nii kui	ka	500000
ta lisas	et	411000
see tähendab	et	398000
err ile	et	392000
ja lisas	et	387000
ja see	on	346000
ma ei	tea	320000
peaminister jüri	ratas	286000
ei ole	võimalik	284000
ma ei	ole	281000
ütles err	ile	278000
pärast seda	kui	268000
me ei	saa	262000
et ta	on	250000
ei ole	veel	246000
et ta	ei	223000
ka siis	kui	223000
mis tähendab	et	216000
see on	väga	214000
president donald	trump	211000
ma usun	et	206000
ma ei	saa	205000
rahandusminister martin	helme	203000
et see	ei	198000
president kersti	kaljulaid	198000
arvan et	see	197000
et tegemist	on	197000
et me	ei	196000
kas see	on	194000
on väga	hea	191000
hea meel	et	190000
aga see	on	189000
ei ole	see	187000
on selge	et	187000
et ma	ei	186000
ka see	et	186000
ei tähenda	et	185000
nii palju	kui	184000
sotsiaalminister tanel	kiik	184000
et ei	ole	183000
et meil	on	181000
et nad	on	176000
ei ole	enam	171000
sõnul ei	ole	171000
me ei	tea	169000
tema sõnul	on	169000
see on	ka	168000
võib öelda	et	165000
testi nendest	ehk	162000
kui palju	on	161000
ei ole	ka	160000
see ei	tähenda	159000
et nad	ei	157000
et tal	on	157000
ehk protsenti	on	155000
selle eest	et	154000
küll aga	on	152000
nendest ehk	protsenti	152000
ja ma	ei	151000
kui see	on	149000
välisminister urmas	reinsalu	149000
aga see	ei	147000
meil ei	ole	147000
on kokku	tehtud	147000
ei usu	et	146000
ja inimene	ei	146000
protsenti on	olnud	146000
inimene ei	viibi	145000
rohkem kui	päeva	145000
ei viibi	haiglaravil	144000
kui päeva	ja	144000
möödunud rohkem	kui	144000
on öelnud	et	144000
päeva ja	inimene	144000
on positiivsest	möödunud	143000
positiivsest möödunud	rohkem	143000
ta ja	lisas	143000
eestis on	kokku	142000
ei tea	kas	141000
on hea	meel	140000
usa president	donald	136000
ka seda	et	135000
samal ajal	kui	135000
aga ma	ei	133000
on väga	palju	133000
viiruse suhtes	positiivsed	132000
ei ole	aga	131000
on olnud	sars	131000
olnud sars	viiruse	130000
sars viiruse	suhtes	130000
ei ole	nii	129000
ei tea	mis	129000
mis ei	ole	129000
on lõpetatud	inimese	129000
on väga	oluline	129000
siseminister mart	helme	128000
ei ole	vaja	127000
ma loodan	et	126000
siis see	on	125000
kahe nädala	jooksul	124000
on oluline	et	124000
selle nimel	et	124000
ootab tervenemise	kinnitamist	123000
ei saa	olla	122000
inimese on	lõpetatud	122000
mulle tundub	et	122000
neist inimese	on	122000
me ei	ole	120000
ei ole	kunagi	119000
puhul on	positiivsest	119000
võib olla	on	118000
ei pruugi	olla	117000
lõpetatud inimese	puhul	117000
äripäeva raadio	hommikuprogrammis	117000
mul ei	ole	116000
see on	üks	116000
sest see	on	116000
tõi välja	et	114000
nii et	see	113000
on näha	et	113000
ja võib	olla	112000
siis on	see	112000
on tema	sõnul	111000
et tegu	on	110000
on minu	jaoks	110000
ta ei	ole	110000
eesti aja	järgi	109000
ei ole	seda	109000
inimese puhul	on	108000
võib olla	ka	107000
on väga	suur	106000
selle asemel	et	106000
kui kunagi	varem	104000
ei ole	mitte	103000
ei ole	olnud	103000
et see	oli	103000
intervjuus err	ile	103000
ja mis	on	103000
siis ei	ole	103000
ja kui	palju	102000
ma tean	et	102000
minu jaoks	on	102000
seda enam	et	102000
on viimasel	ajal	101000
siis nüüd	on	101000
eelmise aasta	sama	100000
et neil	on	100000
ma ei	usu	100000
kaks aastat	tagasi	99000
viimase aasta	jooksul	99000
üle miljoni	euro	99000
ei saa	öelda	98000
et me	oleme	98000
ei saa	aru	97000
on rohkem	kui	97000
politsei ja	piirivalveameti	97000
ei ole	ja	96000
esmast testi	nendest	96000
ja ei	ole	96000
kui sul	on	96000
ehk ootab	tervenemise	95000
haiglaravil ehk	ootab	95000
vaatamata sellele	et	95000
viibi haiglaravil	ehk	95000
et see	oleks	94000
on väga	raske	94000
see et	me	94000
viimase kahe	nädala	94000
ei ole	midagi	93000
juba mõnda	aega	93000
kes ei	ole	92000
läti ja	leedu	92000
ma ei	taha	92000
väga hea	meel	92000
helir valdor	seeder	91000
ei ole	ju	90000
et praegu	on	90000
ikka ja	jälle	90000
jaoks on	see	90000
tähendab seda	et	90000
alles siis	kui	89000
ei ole	väga	89000
ja see	ei	89000
seda ei	ole	89000
see on	minu	89000
et mul	on	88000
on selles	et	88000
ei ole	mõtet	87000
et ma	olen	87000
kui sa	ei	87000
ma ei	näe	87000
et eesti	on	86000
mul on	hea	86000
on ka	see	86000
sel aastal	on	86000
et need	on	85000
see on	see	85000
ta ütles	et	85000
ka neid	kes	84000
olen kindel	et	84000
on näidanud	et	84000
praegu ei	ole	84000
seda ei	saa	84000
see on	hea	84000
ütles ta	ja	84000
ei saa	seda	83000
aasta jooksul	on	82000
aga ei	ole	82000
ainult siis	kui	82000
et ei	saa	82000
ja kinnitas	et	82000
ja mainis	et	82000
sain aru	et	82000
ja me	ei	81000
miljoni euro	võrra	81000
nii et	kui	81000
nii palju	et	81000
see on	meie	81000
ja siis	on	80000
nüüd on	see	80000
see võib	olla	80000
et eestis	on	79000
ja ma	arvan	79000
kuid see	ei	79000
oli see	et	79000
kindlasti ei	ole	78000
kui ei	ole	78000
on nii	et	78000
selge on	see	78000
ta märkis	et	78000
aga ma	arvan	77000
ei saa	ka	77000
ja nii	edasi	77000
kas ja	kuidas	77000
kui eelmisel	aastal	77000
ma ei	oska	77000
miljoni euro	suuruse	77000
siis kui	on	77000
ei saa	me	76000
on see	mis	76000
ei pea	olema	75000
et kõik	on	75000
mul on	väga	75000
peaminister jüri	ratase	75000
samal ajal	on	75000
siis ma	ei	75000
viimasel ajal	on	75000
ütles et	kui	75000
ütles et	on	75000
nii kaua	kui	74000
