# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ell_news_2024_1M.tar.gz (ell_news_2024_1M/ell_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
κατά τη	διάρκεια	6235000
θα πρέπει	να	5379000
σύμφωνα με	την	5311000
σύμφωνα με	το	4405000
σε σχέση	με	3639000
θα μπορούσε	να	3407000
σύμφωνα με	τον	3331000
τη διάρκεια	της	3237000
δεν μπορεί	να	3228000
για πρώτη	φορά	3079000
από την	πλευρά	2855000
ένα από	τα	2844000
το γεγονός	ότι	2675000
σύμφωνα με	πληροφορίες	2373000
σε αυτό	το	2345000
τα τελευταία	χρόνια	2295000
αυτή τη	στιγμή	2144000
από την	άλλη	2075000
που μπορεί	να	2065000
σύμφωνα με	τις	2002000
το βράδυ	της	1951000
και στη	συνέχεια	1851000
σύμφωνα με	τα	1821000
μπορεί να	είναι	1791000
με αποτέλεσμα	να	1759000
ο πρόεδρος	του	1721000
το πρωί	της	1712000
ένας από	τους	1711000
ο πρόεδρος	της	1665000
την πλευρά	του	1648000
σε αυτή	την	1614000
την ώρα	που	1558000
στο πλαίσιο	της	1555000
μία από	τις	1550000
δεν πρέπει	να	1538000
και για	την	1485000
την ευκαιρία	να	1469000
σε όλες	τις	1442000
στη χώρα	μας	1421000
να και	να	1419000
η ομάδα	του	1409000
που πρέπει	να	1409000
τη στιγμή	που	1365000
τη διάρκεια	του	1353000
για να	το	1329000
σε ό	τι	1320000
και οι	δύο	1299000
σχετικά με	την	1296000
το τέλος	του	1295000
δεν μπορώ	να	1292000
με την	οποία	1288000
το και	το	1286000
μέσα κοινωνικής	δικτύωσης	1285000
από την	πρώτη	1274000
πρέπει να	είναι	1253000
από την	αρχή	1247000
έξω από	το	1205000
θα μπορούσαν	να	1205000
την ίδια	ώρα	1205000
θα έπρεπε	να	1201000
σε όλη	την	1201000
και από	το	1198000
μαζί με	τον	1189000
του για	την	1182000
ότι δεν	θα	1182000
για να	μην	1181000
ο οίκο	σου	1179000
και από	την	1171000
σε σύγκριση	με	1147000
σχέση με	το	1147000
από το	σπίτι	1142000
μια από	τις	1142000
σε όλα	τα	1139000
με τον	οποίο	1121000
πριν από	την	1114000
και με	την	1113000
σύμφωνα με	τη	1107000
το απόγευμα	της	1101000
όλο τον	κόσμο	1101000
να σημειωθεί	ότι	1098000
σε βάρος	του	1091000
ό τι	αφορά	1084000
αυτή τη	φορά	1079000
από τη	ζωή	1075000
με την	ίδια	1074000
το τέλος	της	1072000
τη ζωή	του	1069000
του με	τον	1065000
στα μέσα	κοινωνικής	1055000
σε ηλικία	ετών	1041000
ότι πρέπει	να	1040000
λωρίδα της	γάζας	1036000
με τον	να	1029000
είναι η	πρώτη	1027000
σχετικά με	το	1025000
στο κέντρο	της	1023000
τη ζωή	τους	1019000
την ίδια	στιγμή	1010000
εκ των	οποίων	1009000
ο κυριάκος	μητσοτάκης	1009000
δεν μπορούν	να	1004000
σχέση με	την	1000000
αυτή είναι	η	987000
με τον	ίδιο	984000
στον ο	οίκο	984000
του με	την	980000
και για	το	979000
σε κάθε	περίπτωση	968000
της με	τον	965000
την ομάδα	του	963000
για το	αν	962000
και να	μην	957000
οι άνεμοι	θα	954000
η και	η	953000
τη δυνατότητα	να	953000
ο αριθμός	των	945000
του για	να	934000
σε όλη	τη	928000
της και	της	923000
το μεσημέρι	της	923000
για να	την	920000
σε συνεργασία	με	920000
δεν μπορούμε	να	914000
από το	και	911000
σε αυτή	τη	908000
σύμφωνα με	τους	906000
στο σπίτι	του	900000
από ό	τι	899000
από τα	πιο	897000
πλευρά του	ο	897000
σε όλο	τον	893000
ο πατέρας	του	889000
προς το	παρόν	887000
αλλά και	για	883000
είναι κάτι	που	879000
για την	η	877000
στην περιοχή	της	876000
του και	του	875000
θα είναι	η	871000
από τις	αρχές	862000
την πλευρά	της	861000
για το	μέλλον	855000
στο ο	λεπτό	855000
για να	τον	854000
στην περιοχή	του	852000
η πρώτη	φορά	850000
από τις	πιο	849000
δεν πρόκειται	να	848000
θα ήθελα	να	847000
για την	υπόθεση	846000
εδώ και	χρόνια	845000
για το	πώς	840000
στη μέση	ανατολή	838000
για να	τα	837000
μια σειρά	από	831000
και πρέπει	να	830000
τον θάνατο	του	828000
του από	την	828000
άνεμοι θα	πνέουν	827000
γι αυτό	και	827000
αξίζει να	σημειωθεί	826000
τη θέση	του	826000
μέχρι το	τέλος	823000
μαζί με	την	821000
για το	τι	820000
πρώτη φορά	που	820000
ο κ	μητσοτάκης	818000
όλα αυτά	τα	815000
αλλά και	την	814000
το μόνο	που	813000
η μητέρα	του	809000
από τότε	που	808000
στο πλαίσιο	του	808000
σε όλους	τους	806000
την άλλη	πλευρά	806000
στη λωρίδα	της	802000
τα μέλη	της	800000
το οποίο	θα	799000
πάνω από	το	794000
στο τέλος	της	794000
την έναρξη	της	793000
πρόκειται για	ένα	791000
πρόκειται για	μια	791000
και να	το	790000
μέσα από	την	789000
του για	το	786000
από τον	ο	780000
η οποία	θα	778000
πρόεδρος του	συριζα	775000
από τη	στιγμή	767000
θα είναι	ο	762000
ότι μπορεί	να	758000
και με	το	756000
ο ισραηλινός	στρατός	756000
η θερμοκρασία	θα	747000
