# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection hun_news_2024_1M.tar.gz (hun_news_2024_1M/hun_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
a és	a	9113000
jó	reggelt	3000000
köszönöm	szépen	3000000
nem	tudom	3000000
jó	napot	2800000
rendben	van	2800000
az egyesült	államok	2681000
a és	az	2644000
azt	hiszem	2600000
nagyon	jó	2600000
család	jön	2400000
gyógyszertár	zár	2400000
kérlek	szépen	2400000
semmi	gond	2400000
szólj	kérlek	2400000
találkozó	kezdődik	2400000
telefon	tölt	2400000
vonat	indul	2400000
ügyfél	kérdezi	2400000
a tisza	párt	2334000
az és	a	2260000
is hogy	a	2163000
arra hogy	a	2095000
az európai	unió	2073000
azt is	hogy	1888000
azt mondta	hogy	1849000
és a	is	1814000
azt jelenti	hogy	1703000
hogy a	magyar	1574000
az elmúlt	években	1543000
az hogy	a	1487000
nem csak	a	1457000
az is	hogy	1388000
a közösségi	oldalán	1361000
az európai	bizottság	1242000
a mesterséges	intelligencia	1188000
a a	és	1178000
az egyesült	államokban	1166000
a magyar	válogatott	1162000
a magyar	nemzet	1153000
hogy ez	a	1151000
több mint	ezer	1126000
hogy a	a	1100000
a fidesz	kdnp	1096000
fel a	figyelmet	1093000
a mai	napig	1063000
arra is	hogy	1062000
a magyar	kormány	1048000
elmondta hogy	a	1035000
arról hogy	a	1007000
az orosz	ukrán	991000
a hogy	a	989000
annak érdekében	hogy	974000
annak ellenére	hogy	945000
a a	a	932000
kiderült hogy	a	931000
arról beszélt	hogy	915000
és a	magyar	915000
orbán viktor	miniszterelnök	907000
azt hogy	a	897000
többek között	a	884000
a több	mint	877000
több mint	millió	868000
az volt	hogy	867000
azt mondta	a	861000
az és	az	849000
a közösségi	médiában	824000
a múlt	héten	816000
továbbra is	a	815000
arról számolt	be	809000
is hogy	az	806000
arról is	hogy	805000
arra hogy	az	792000
ahhoz hogy	a	785000
a tervek	szerint	784000
a vagy	a	782000
és a	a	780000
a magyar	nemzeti	777000
az utóbbi	időben	749000
hívta fel	a	741000
volt hogy	a	734000
hogy a	és	725000
arról is	beszélt	723000
hogy az	európai	723000
már több	mint	723000
volt az	első	716000
jelentette be	hogy	708000
ez volt	az	703000
úgy tűnik	hogy	697000
derül ki	a	693000
közölte hogy	a	682000
számolt be	a	677000
több mint	egy	677000
számolt be	hogy	676000
nem sokkal	később	670000
azzal hogy	a	665000
ki hogy	a	665000
és az	is	659000
abban hogy	a	658000
az elmúlt	időszakban	656000
az elmúlt	évben	654000
a de	a	639000
ez azt	jelenti	633000
a kormány	a	628000
a szerint	a	628000
az európai	parlament	624000
borsod abaúj	zemplén	624000
hogy a	kormány	623000
a is	a	622000
és nem	is	621000
az izraeli	hadsereg	616000
orosz ukrán	háború	615000
írja az	mti	615000
hogy az	elmúlt	613000
hogy az	orosz	609000
jelenti hogy	a	609000
az egy	évvel	608000
a világ	egyik	602000
úgy döntött	hogy	602000
az mti	vel	601000
a figyelmet	hogy	599000
derült ki	hogy	598000
felhívta a	figyelmet	598000
a magyar	gazdaság	596000
magyar péter	a	595000
akkor is	ha	590000
több mint	milliárd	584000
ez volt	a	582000
