# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ukr_news_2024_1M.tar.gz (ukr_news_2024_1M/ukr_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
ви читаєте	новину	11588000
зараз ви	читаєте	11588000
за його	словами	7561000
про те	що	5014000
йдеться у	повідомленні	3138000
після того	як	2976000
для того	щоб	2537000
колаж уніан	фото	1907000
він зазначив	що	1603000
збройних сил	україни	1575000
на те	що	1574000
як повідомляв	уніан	1564000
в тому	що	1468000
за її	словами	1439000
стало відомо	що	1397000
він додав	що	1324000
на полі	бою	1321000
початку повномасштабного	вторгнення	1211000
президент україни	володимир	1179000
україни володимир	зеленський	1158000
може призвести	до	1056000
з посиланням	на	1051000
війни в	україні	1045000
під час	війни	1011000
на його	думку	999000
президент володимир	зеленський	993000
як писав	уніан	983000
через те	що	980000
про це	в	952000
до того	ж	934000
це означає	що	875000
я думаю	що	862000
йдеться в	повідомленні	848000
протягом минулої	доби	837000
це може	бути	824000
до того	що	818000
на рівні	грн	810000
міністр закордонних	справ	804000
до кінця	року	802000
що під	час	802000
в тому	числі	786000
районах населених	пунктів	781000
у зв'язку	з	781000
читаєте новину	у	778000
полягає в	тому	752000
попри те	що	737000
на покровському	напрямку	692000
він наголосив	що	684000
за те	що	674000
сили оборони	україни	667000
так і	не	657000
у тому	числі	657000
війну в	україні	656000
про те	як	652000
про це	повідомив	640000
про це	заявив	639000
з огляду	на	638000
в одному	з	637000
про це	повідомляє	637000
від до	років	625000
для тих	хто	622000
варто зазначити	що	617000
у тому	що	614000
в районах	населених	611000
в дорослому	віці	610000
у ніч	проти	608000
температура вночі	вдень	605000
на й	хвилині	586000
сил оборони	україни	584000
у нас	є	570000
початку повномасштабної	війни	568000
на відміну	від	566000
поки що	не	564000
за минулу	добу	563000
кримінального кодексу	україни	556000
він заявив	що	547000
дорослому віці	стає	540000
за цим	посиланням	534000
те що	він	534000
сказано в	повідомленні	533000
на каналі	тсн	532000
все ж	таки	530000
можна переглянути	за	528000
каналі тсн	можна	527000
тсн можна	переглянути	527000
у ніч	на	525000
переглянути за	цим	524000
цим посиланням	відео	523000
зосередження особового	складу	522000
в україні	та	514000
на харківському	напрямку	514000
про це	йдеться	511000
до того	як	508000
