# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection slv_news_2020_1M.tar.gz (slv_news_2020_1M/slv_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
se	je	57344000
da	je	45518000
ki	je	35715000
je	v	35276000
pa	je	34470000
ki	so	30005000
da	se	28717000
je	bil	28440000
da	bi	23762000
je	bilo	22375000
so	se	20953000
da	so	19287000
je	bila	18735000
naj	bi	17689000
je	na	17440000
so	v	16283000
več	kot	15371000
pa	so	15189000
ki	se	14669000
da	bo	14448000
ko	je	14216000
je	da	13893000
se	bo	13394000
je	tudi	12896000
tudi	v	12838000
pa	se	12301000
ne	bo	12260000
ki	jih	11662000
jih	je	11032000
bi	se	10671000
v	sloveniji	10590000
je	še	10401000
kot	je	10194000
so	bili	10119000
to	je	10096000
ki	ga	9895000
in	se	9819000
še	vedno	9751000
gre	za	9185000
kar	je	9090000
ga	je	9006000
s	tem	8843000
prav	tako	8689000
v	tem	8560000
in	v	8483000
da	bodo	8233000
ne	bi	7901000
z	novim	7816000
glede	na	7801000
se	v	7679000
tudi	na	7664000
v	zadnjih	7577000
in	da	7461000
ki	jo	7414000
v	času	7127000
ko	so	7019000
in	je	6689000
ob	tem	6583000
kot	so	6563000
se	bodo	6540000
med	drugim	6521000
so	na	6490000
ko	se	6446000
pa	tudi	6302000
jo	je	6244000
bi	lahko	6227000
ki	bi	6204000
o	tem	6077000
saj	je	6058000
bo	v	5952000
ni	bilo	5952000
so	ga	5823000
kjer	je	5703000
in	na	5696000
tako	da	5509000
ki	bo	5329000
pri	tem	5277000
še	ni	5205000
so	jih	5115000
med	in	5084000
tudi	za	5003000
se	lahko	4987000
bi	bilo	4910000
da	ne	4846000
pa	bo	4798000
ker	je	4721000
za	to	4567000
so	tudi	4553000
tako	kot	4538000
že	v	4493000
ne	bodo	4492000
to	da	4489000
do	konca	4477000
so	bile	4465000
potem	ko	4447000
od	do	4429000
na	to	4380000
medtem	ko	4379000
se	na	4347000
in	tudi	4338000
se	ne	4330000
se je	v	4257000
če	bi	4212000
si	je	4202000
kot	v	4153000
od	tega	4102000
v	zadnjem	4091000
in	ne	4078000
sta	se	4047000
pomeni	da	4003000
v	ljubljani	4003000
mu	je	3998000
v	soboto	3997000
da se	je	3983000
ki ga	je	3956000
ki se	je	3941000
v	petek	3925000
za	zdravje	3847000
še	naprej	3839000
pa se	je	3814000
kjer	so	3756000
dejal	da	3747000
na	voljo	3682000
milijonov	evrov	3659000
mi	je	3625000
in	sicer	3605000
a	je	3543000
pri	nas	3509000
smo	se	3478000
sem	se	3476000
bodo	v	3464000
ki jih	je	3463000
zato	je	3463000
po	besedah	3432000
za	vse	3415000
če	se	3412000
ali	pa	3396000
novih	okužb	3388000
da bi	se	3378000
za	zdaj	3345000
bi	bil	3327000
med	njimi	3327000
manj	kot	3317000
na	koncu	3306000
da	smo	3248000
bi	bila	3245000
pa	v	3201000
saj	so	3173000
na	svetu	3171000
bo	na	3153000
ki jo	je	3120000
pa	bodo	3112000
pa	še	3078000
tem	je	3048000
kljub	temu	3035000
na	podlagi	3018000
dober	dan	3000000
hvala	lepa	3000000
ne	vem	3000000
poleg	tega	2986000
nato	pa	2982000
ne	more	2967000
tisti	ki	2953000
na	hrvaškem	2922000
okužb	z	2912000
pravi	da	2877000
se	z	2861000
milijona	evrov	2826000
tem	da	2817000
na	primer	2816000
tudi	da	2808000
ki je	v	2801000
dobro	jutro	2800000
prosim	te	2800000
okužb z	novim	2782000
leta	je	2769000
bilo	v	2706000
eden	od	2699000
na	območju	2679000
če	je	2635000
je da	je	2601000
mislim	da	2600000
v	redu	2600000
še	posebej	2594000
tako	je	2573000
tem	pa	2563000
bil	v	2562000
ni	bil	2539000
pred	tem	2530000
saj	se	2526000
da se	bo	2511000
ali	je	2493000
nam	je	2459000
ki je	bil	2455000
tudi	z	2455000
ki so	jih	2451000
jim	je	2440000
ki so	se	2437000
kjer	se	2409000
naj	se	2405000
brez	težav	2400000
dobro jutro	hvala	2400000
družina	pride	2400000
