# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection bul_news_2020_1M.tar.gz (bul_news_2020_1M/bul_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
трябва да	се	7356000
може да	се	6986000
по време	на	6126000
не може	да	5560000
за да	се	4164000
и да	се	3993000
да не	се	3718000
е да	се	2709000
не могат	да	2654000
в края	на	2636000
няма как	да	2552000
могат да	се	2448000
няма да	се	2376000
може да	бъде	2355000
до края	на	2271000
и т	н	2252000
в началото	на	2225000
за да	не	2112000
в рамките	на	2102000
това не	е	2086000
и да	е	1975000
и да	не	1887000
по отношение	на	1821000
ще трябва	да	1801000
по думите	му	1796000
не трябва	да	1764000
от страна	на	1735000
от началото	на	1725000
няма да	има	1692000
трябва да	бъде	1656000
може и	да	1524000
че не	е	1497000
по този	начин	1460000
на територията	на	1452000
става дума	за	1412000
че това	е	1398000
голяма част	от	1384000
не мога	да	1377000
да се	с	1361000
все още	не	1353000
във връзка	с	1327000
могат да	бъдат	1324000
в същото	време	1321000
за първи	път	1281000
за разлика	от	1281000
да може	да	1240000
да не	е	1215000
от тях	са	1211000
че няма	да	1206000
трябва да	е	1198000
може да	е	1187000
в сравнение	с	1184000
за да	може	1183000
трябва да	бъдат	1153000
ще могат	да	1153000
става въпрос	за	1150000
че трябва	да	1133000
как да	се	1122000
един от	най	1103000
по малко	от	1100000
и да	си	1097000
би трябвало	да	1084000
трябва да	има	1074000
е част	от	1068000
и това	е	1064000
още не	е	1053000
в крайна	сметка	1036000
на фона	на	1032000
да се	и	1031000
не се	е	1017000
трябва да	си	1011000
да се	случи	1007000
които не	са	981000
в размер	на	979000
и ще	се	966000
да могат	да	957000
да се	на	957000
каквото и	да	940000
да не	говорим	938000
може да	си	923000
не е	ясно	915000
на извънредното	положение	911000
и не	се	906000
няма да	е	901000
за борба	с	896000
за сметка	на	890000
е един	от	869000
да се	в	867000
и трябва	да	862000
в резултат	на	851000
в района	на	847000
за това	че	841000
премиерът бойко	борисов	833000
се опитва	да	829000
и не	е	819000
и няма	да	814000
че може	да	810000
общият брой	на	809000
в продължение	на	803000
в условията	на	800000
една от	най	798000
в областта	на	795000
се очаква	да	789000
да се	направи	786000
но не	и	778000
за пореден	път	776000
се опитват	да	775000
не можем	да	769000
това може	да	766000
трябва да	са	765000
ще може	да	764000
в полза	на	761000
през последните	години	754000
може да	има	748000
в центъра	на	747000
които могат	да	741000
в социалните	мрежи	740000
на главния	прокурор	739000
никога не	е	739000
по думите	на	735000
се казва	в	733000
стана ясно	че	723000
да се	от	722000
че ще	се	713000
края на	годината	709000
както и	на	707000
това означава	че	704000
в закона	за	702000
за себе	си	700000
никога няма	да	697000
така че	да	696000
за да	си	695000
не бива	да	694000
колкото и	да	690000
прокурор иван	гешев	686000
е много	по	680000
и да	го	680000
от друга	страна	680000
а не	да	673000
без да	се	672000
на околната	среда	667000
да не	би	664000
е една	от	661000
и след	това	661000
по данни	на	659000
да не	си	656000
не можеш	да	651000
не е	ли	650000
на първо	място	647000
а след	това	644000
ще се	проведе	643000
да им	се	639000
и да	ги	634000
в българия	и	633000
не е	имало	630000
както и	да	622000
на министерството	на	617000
които трябва	да	616000
за пръв	път	615000
и може	да	615000
нищо общо	с	609000
при положение	че	608000
по добре	да	607000
премиера бойко	борисов	606000
в подкрепа	на	601000
да се	каже	597000
за защита	на	590000
да се	прави	588000
не са	били	586000
така и	не	586000
в средата	на	580000
по времето	на	580000
това да	се	575000
върховенството на	закона	573000
тези които	са	569000
и да	било	566000
ще се	случи	566000
в момента	в	564000
да не	са	563000
но това	не	560000
са част	от	560000
това е	най	559000
в интервю	за	558000
на първа	линия	558000
си и	да	558000
от своя	страна	557000
в момента	се	555000
както и	за	554000
не е	за	548000
се налага	да	547000
няма да	бъде	544000
как ще	се	542000
след като	се	542000
така или	иначе	542000
да си	го	541000
че не	са	539000
щеше да	е	536000
края на	г	535000
още не	са	534000
какво се	случва	533000
голямата част	от	530000
от най	големите	530000
част от	тях	530000
се стигне	до	529000
и да	са	528000
в момента	е	527000
че не	се	524000
си за	да	521000
и без	това	519000
могат да	си	519000
се наложи	да	519000
това трябва	да	519000
се отнася	до	514000
е ясно	че	512000
не е	от	512000
в ата	минута	510000
себе си	и	508000
да се	за	507000
на министъра	на	507000
лишаване от	свобода	506000
те не	са	506000
би ти	ви	505000
за да	бъде	504000
пандемията от	коронавирус	504000
по голямата	част	504000
в отговор	на	502000
по това	време	502000
ако не	се	500000
не е	бил	499000
едва ли	ще	498000
какво да	се	498000
на този	етап	493000
това което	се	491000
да се	върне	490000
националния оперативен	щаб	488000
на и	на	487000
след края	на	487000
има нужда	от	486000
на народното	събрание	486000
дори и	да	485000
никой не	е	484000
е трудно	да	482000
министерството на	здравеопазването	482000
но това	е	481000
с помощта	на	481000
да доведе	до	480000
да му	се	480000
но не	е	480000
не иска	да	479000
се и	да	478000
да и	да	477000
не ми	се	473000
да влезе	в	472000
за да	има	471000
може да	го	469000
за да	могат	467000
в цялата	страна	466000
за справяне	с	464000
в хода	на	462000
началото на	пандемията	462000
не е	на	461000
в името	на	460000
световната здравна	организация	460000
що се	отнася	459000
не искат	да	457000
като част	от	456000
околната среда	и	455000
и най	вече	453000
трябваше да	се	451000
което може	да	450000
от които	са	450000
се дължи	на	450000
може ли	да	448000
от министерството	на	448000
в историята	на	447000
едно и	също	446000
на мястото	на	446000
е по	добре	445000
в зависимост	от	444000
да се	правят	442000
е да	си	442000
мярка за	неотклонение	442000
няма да	го	442000
се опита	да	441000
за последното	денонощие	440000
в българия	е	439000
на закона	за	439000
и не	са	436000
не е	само	436000
не са	се	436000
под формата	на	436000
с изключение	на	436000
може да	стане	434000
това няма	да	434000
и за	да	433000
може да	не	432000
на сто	от	432000
но все	пак	432000
се занимава	с	431000
за да	го	429000
някои от	тях	429000
с цел	да	429000
в последните	години	427000
да е	по	425000
да се	върнат	425000
те трябва	да	425000
е трябвало	да	424000
задържане под	стража	424000
ще продължи	да	424000
не се	знае	423000
преди да	се	422000
за развитие	на	421000
това ще	е	421000
никой не	може	419000
заразени с	коронавирус	418000
на европейския	съюз	418000
няма нищо	общо	418000
през тази	година	418000
ще има	и	418000
на европейската	комисия	417000
никой няма	да	417000
той не	е	417000
е да	не	416000
които са	в	416000
на външните	работи	416000
е важно	да	415000
които са	били	415000
няма да	бъдат	415000
в сферата	на	414000
на бойко	борисов	413000
в борбата	с	412000
са били	в	412000
целта е	да	410000
че в	момента	410000
да не	го	409000
броят на	заразените	408000
се превърна	в	408000
това си	е	408000
че той	е	408000
е възможно	да	407000
се е	случило	406000
е че	в	404000
хора които	са	404000
не повече	от	403000
се намира	в	401000
е че	не	400000
в ню	йорк	399000
началото на	годината	399000
са свързани	с	399000
а не	на	398000
на миналата	година	397000
да има	и	395000
няма кой	да	395000
на тези	които	394000
ако не	е	393000
не говорим	за	393000
не би	да	392000
не е	толкова	392000
се говори	за	391000
става ясно	че	391000
трябва да	го	391000
да се	види	390000
се оказа	че	390000
на базата	на	389000
разбира се	че	388000
се е	с	388000
за това	е	387000
на сайта	на	386000
време е	да	385000
не мисля	че	385000
и не	само	383000
който може	да	383000
през г	и	382000
за да	ги	381000
се прави	на	381000
се случва	в	381000
да е	на	379000
да се	говори	379000
за управление	на	379000
съобщиха от	на	379000
да се	окаже	378000
да се	справи	378000
над млн	лв	378000
от името	на	378000
в близост	до	377000
всеки може	да	377000
ще доведе	до	377000
начина по	който	376000
и за	това	374000
които са	на	374000
по същия	начин	374000
в световен	мащаб	373000
към края	на	373000
няма какво	да	373000
е необходимо	да	372000
как да	не	372000
които искат	да	372000
не искам	да	372000
по никакъв	начин	372000
може да	са	370000
не успя	да	370000
не знам	дали	369000
след като	е	368000
въз основа	на	367000
за участие	в	367000
в този	момент	366000
със сигурност	ще	365000
важното е	да	364000
се превърне	в	364000
това ще	се	364000
нови случая	на	363000
няма ли	да	362000
през миналата	година	362000
те могат	да	361000
възможност да	се	360000
да се	промени	360000
