# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection rus_news_2024_1M.tar.gz (rus_news_2024_1M/rus_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
в	году	14085000
об	этом	13701000
а	также	13384000
из	за	12597000
что	в	12312000
по	словам	10245000
во	время	9761000
в	том	9678000
при	этом	9253000
по	его	9083000
кроме	того	8701000
в	этом	8457000
в	результате	7392000
его	словам	7211000
том	что	7198000
по его	словам	7197000
и	не	6818000
о	том	6673000
потому	что	6556000
отметил	что	6481000
по	данным	6336000
не	только	6059000
в	рамках	6026000
том	числе	5918000
в том	числе	5915000
то	что	5682000
заявил	что	5349000
в	частности	5244000
в	россии	5218000
говорится	в	5145000
в	районе	5056000
но	и	5052000
и	на	4842000
у	нас	4576000
о том	что	4534000
что	это	4460000
на	территории	4357000
из	них	4240000
вместе	с	4190000
может	быть	4159000
один	из	4090000
это	не	4027000
что	на	3961000
риа	новости	3870000
сообщили	в	3865000
так	и	3775000
то	же	3548000
этом	году	3548000
в этом	году	3543000
сейчас	вы	3497000
то	есть	3459000
вы	читаете	3457000
вы читаете	новость	3454000
сейчас вы	читаете	3454000
читаете	новость	3454000
несмотря	на	3447000
добавил	что	3407000
отмечается	что	3399000
ссылкой	на	3346000
со	ссылкой	3341000
со ссылкой	на	3322000
подчеркнул	что	3275000
так	как	3237000
же	время	3214000
связи	с	3214000
со	стороны	3157000
то же	время	3129000
с	помощью	3111000
в то	же	3104000
этом	в	3090000
участие	в	3080000
что	у	2983000
не	было	2972000
того	как	2972000
и	в	2917000
пресс	службе	2896000
что	он	2894000
не	будет	2868000
в пресс	службе	2856000
таким	образом	2845000
в связи	с	2806000
что	не	2788000
тысяч	рублей	2698000
от	до	2671000
того	что	2658000
говорится в	сообщении	2643000
года	в	2623000
и	другие	2616000
того	чтобы	2589000
настоящее	время	2571000
и	его	2567000
стало	известно	2559000
известно	что	2554000
в настоящее	время	2544000
с	года	2524000
на	то	2508000
не	менее	2498000
что	то	2469000
об этом	в	2465000
по	мнению	2464000
на	улице	2457000
что	они	2451000
как	и	2386000
по	ее	2362000
для	этого	2356000
одной	из	2354000
также	в	2350000
в том	что	2347000
по	итогам	2337000
сообщил	что	2323000
одним	из	2302000
а	не	2253000
с	по	2252000
у	него	2246000
вооруженных	сил	2235000
я	не	2200000
после	того	2192000
курской	области	2181000
на	месте	2169000
речь	идет	2169000
после того	как	2159000
у	них	2154000
и	это	2145000
для	того	2122000
с	и	2104000
с	начала	2094000
если	вы	2073000
после	этого	2072000
для того	чтобы	2068000
и	других	2034000
он	не	2024000
но	в	2023000
он	отметил	2019000
не	может	2008000
свою	очередь	1995000
прошлом	году	1993000
в свою	очередь	1992000
в прошлом	году	1990000
по	сравнению	1973000
он	также	1967000
до	конца	1958000
но	не	1940000
мы	не	1930000
тем	что	1926000
на	украине	1922000
на	фоне	1917000
и	их	1916000
прошлого	года	1908000
тех	кто	1908000
на то	что	1905000
не	знаю	1900000
сравнению	с	1898000
по сравнению	с	1896000
могут	быть	1893000
он отметил	что	1887000
на	сайте	1884000
уголовное	дело	1876000
ее	словам	1859000
по ее	словам	1855000
россии	в	1845000
считает	что	1841000
пока	не	1828000
до	лет	1820000
с	до	1818000
из	самых	1811000
на	и	1809000
сказал	он	1808000
только	в	1785000
у	меня	1782000
рассказал	что	1776000
уже	в	1763000
иностранных	дел	1756000
по	информации	1737000
они	не	1729000
за	счет	1725000
до	сих	1720000
никогда	не	1720000
сих	пор	1716000
до сих	пор	1714000
данный	момент	1712000
как	дела	1700000
идет	о	1676000
находится	в	1659000
одна	из	1659000
с	этим	1659000
одного	из	1657000
внимание	на	1648000
отметила	что	1645000
псковской	области	1636000
с	тем	1634000
ранее	в	1631000
россии	и	1631000
этот	день	1625000
за	последние	1622000
а	затем	1617000
более	чем	1612000
российской	федерации	1612000
речь идет	о	1606000
так	что	1606000
не	в	1601000
этого	года	1595000
владимир	путин	1593000
до	этого	1576000
к	тому	1570000
это	может	1569000
россии	по	1555000
премьер	министр	1543000
самом	деле	1523000
украины	в	1521000
пресс	служба	1517000
году	в	1500000
доброе	утро	1500000
на самом	деле	1499000
никто	не	1497000
привести	к	1494000
после	чего	1487000
стало известно	что	1486000
не	стоит	1481000
во	вторник	1475000
ночь	на	1466000
как	в	1463000
на данный	момент	1456000
чем	в	1453000
сообщили в	пресс	1452000
еще	в	1439000
больше	чем	1427000
еще	один	1425000
в ночь	на	1424000
во	всех	1418000
это	время	1416000
но	это	1415000
кто	то	1413000
большое	спасибо	1400000
добрый	день	1400000
спасибо	большое	1400000
ничего	не	1380000
сообщалось	что	1378000
млн	рублей	1374000
отметили	что	1370000
все	это	1348000
за	год	1346000
еще	не	1341000
к	сожалению	1338000
отметим	что	1331000
сказал	что	1328000
он	добавил	1322000
заявили	что	1317000
из	которых	1316000
глава	государства	1302000
не	могу	1300000
я	тебя	1300000
его	в	1299000
это	будет	1299000
то	время	1287000
а	на	1284000
он добавил	что	1280000
чтобы	не	1277000
у	вас	1273000
владимир	зеленский	1272000
одном	из	1270000
должны	быть	1267000
первую	очередь	1262000
в первую	очередь	1255000
в курской	области	1248000
соответствии	с	1248000
не	так	1247000
два	года	1245000
он	был	1242000
ближайшее	время	1239000
уже	не	1236000
в этот	день	1233000
в соответствии	с	1226000
омской	области	1226000
сообщили	что	1225000
а	вот	1223000
лет	назад	1215000
рядом	с	1209000
более	тысяч	1208000
информацию	о	1202000
альберт	эйнштейн	1200000
добрый	вечер	1200000
мона	лиза	1200000
напомним	что	1197000
если	бы	1188000
в ближайшее	время	1184000
января	года	1178000
нижегородской	области	1176000
заявила	что	1171000
это	было	1155000
военной	операции	1154000
сша	и	1149000
населенных	пунктов	1145000
боевых	действий	1144000
зависимости	от	1143000
вы	можете	1137000
этом	сообщает	1137000
состоянию	на	1132000
по состоянию	на	1130000
миллионов	рублей	1127000
об этом	сообщает	1127000
зависит	от	1123000
место	в	1122000
как	можно	1120000
сил	украины	1118000
их	в	1117000
которые	могут	1109000
думаю	что	1106000
цены	на	1103000
может	привести	1101000
всё	хорошо	1100000
да	винчи	1100000
до	свидания	1100000
исаак	ньютон	1100000
красная	площадь	1100000
леонардо	да	1100000
очень	хорошо	1100000
эйфелева	башня	1100000
того	в	1097000
связано	с	1094000
приняли	участие	1093000
рассказали	в	1091000
которые	не	1079000
своем	канале	1077000
специальной	военной	1077000
вооруженных сил	украины	1076000
для	украины	1072000
считают	что	1070000
противовоздушной	обороны	1069000
для	всех	1068000
специальной военной	операции	1067000
лишения	свободы	1063000
прежде	всего	1059000
только	на	1059000
раз	в	1057000
какой	то	1054000
а	в	1052000
однако	в	1051000
доступ	к	1049000
температура	воздуха	1049000
украины	и	1047000
а	потом	1042000
даже	если	1041000
удар	по	1040000
может привести	к	1038000
это	очень	1035000
рассказал	о	1029000
сегодняшний	день	1029000
удары	по	1028000
мы	должны	1027000
его	мнению	1026000
по его	мнению	1025000
российские	войска	1025000
как	это	1024000
в своем	канале	1022000
он	подчеркнул	1020000
за	это	1019000
можно	будет	1019000
в то	время	1018000
всего	в	1014000
у	нее	1014000
должно	быть	1009000
напомнил	что	1009000
словам	в	1009000
все	равно	1007000
миллиона	рублей	1005000
больше	всего	1003000
тем	не	1003000
большой	театр	1000000
ван	гог	1000000
винсент	ван	1000000
вольфганг	моцарт	1000000
как	ты	1000000
нельсон	мандела	1000000
она	не	1000000
пабло	пикассо	1000000
спокойной	ночи	1000000
тебя	люблю	1000000
уильям	шекспир	1000000
чарльз	дарвин	1000000
к	этому	999000
скорее	всего	998000
донецкой	области	988000
все	еще	986000
если	в	984000
тем не	менее	983000
было	бы	982000
года	и	979000
кроме того	в	975000
время	в	974000
или	в	974000
передает	корреспондент	974000
все	же	973000
чаще	всего	965000
белгородской	области	962000
они	могут	962000
ранее	сообщалось	960000
может	стать	955000
я	думаю	955000
области	в	954000
для	нас	953000
он подчеркнул	что	948000
отметили	в	946000
решение	о	946000
до	года	944000
отметил	он	944000
совместно	с	939000
также	на	935000
участия	в	934000
точки	зрения	932000
уточняется	что	926000
вопрос	о	925000
какие	то	921000
каждый	день	919000
находятся	в	919000
проблемы	с	916000
уточнил	что	916000
президент	украины	915000
даже	не	910000
то	в	910000
среди	них	909000
должна	быть	908000
роль	в	908000
ук	рф	906000
это	в	906000
в году	в	905000
харьковской	области	905000
работы	по	904000
том	как	903000
в	общем	900000
хорошего	дня	900000
на сегодняшний	день	899000
помимо	этого	893000
для	них	891000
находится	на	888000
информация	о	887000
сейчас	в	886000
отметить	что	885000
он	в	884000
в зависимости	от	883000
даже	в	883000
отмечает	что	883000
должен	быть	882000
говорит	что	877000
вооруженные	силы	875000
добавила	что	875000
рф	в	875000
больше	не	874000
рассказала	что	874000
против	украины	873000
из	россии	871000
в одном	из	865000
ранее сообщалось	что	864000
это	и	863000
области	и	862000
те	кто	862000
дело	в	861000
такие	как	861000
сша	в	856000
добавил	он	854000
тысяч	человек	854000
сегодня	в	852000
между	и	846000
более	того	845000
а	еще	844000
года	на	844000
можно	было	844000
отказаться	от	843000
цен	на	839000
этот	раз	836000
говорят	что	835000
о том	как	834000
во	втором	831000
нашей	страны	829000
если	у	828000
ответ	на	828000
они	будут	826000
великой	отечественной	824000
несмотря на	то	823000
тому	что	819000
все	что	817000
