# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection est_news_2020_300K.tar.gz (est_news_2020_300K/est_news_2020_300K-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
ei	ole	10954000
see	on	5609000
ei	saa	4252000
kui	ka	3664000
on	see	3234000
mis	on	2951000
et	see	2797000
ma	ei	2483000
on	ka	2404000
sõnul	on	2251000
see	et	2117000
võib	olla	2102000
kes	on	2096000
on	väga	1993000
nii	et	1989000
ütles	et	1924000
on	olnud	1834000
et	on	1812000
et	kui	1737000
see	ei	1593000
ei	olnud	1522000
me	ei	1496000
et	ta	1485000
lisas	et	1473000
miljonit	eurot	1409000
siis	kui	1394000
ja	see	1385000
rohkem	kui	1357000
meil	on	1353000
ja	on	1340000
on	juba	1305000
siis	on	1277000
on	võimalik	1259000
ei	tea	1244000
on	aga	1234000
ta	on	1180000
et	ei	1161000
ei	pea	1151000
ja	kui	1148000
arvan	et	1131000
on	vaja	1127000
ma	olen	1053000
euroopa	liidu	1048000
see	oli	1032000
ja	siis	1016000
et	nad	1009000
et	me	1007000
ja	ka	1001000
kui	on	988000
selleks	et	983000
enam	kui	980000
nüüd	on	974000
me	oleme	962000
seda	et	952000
ei	tohi	941000
samal	ajal	910000
kui	palju	908000
mul	on	904000
tema	sõnul	904000
kui	see	899000
err	ile	896000
ma	arvan	894000
kui	me	871000
on	nii	871000
aastat	tagasi	865000
on	ja	858000
praegu	on	858000
nii	palju	836000
ja	selle	834000
kus	on	832000
öelda	et	825000
sel	aastal	822000
aga	see	811000
nii	kui	809000
väga	palju	809000
ei	saanud	798000
ta	ei	793000
küll	aga	787000
aga	ka	785000
ei	taha	776000
on	eesti	762000
need	on	757000
et	tema	756000
ja	seda	755000
tähendab	et	751000
aasta	jooksul	744000
on	üks	744000
kui	ta	741000
et	ma	740000
nad	on	739000
et	kõik	738000
tegemist	on	733000
on	oma	732000
on	praegu	703000
on	hea	700000
et	eesti	693000
on	ta	691000
on	veel	688000
peab	olema	681000
on	ju	680000
eelmisel	aastal	671000
ja	ei	671000
on	et	666000
eestis	on	665000
kui	ma	661000
lisas	ta	656000
ja	mis	648000
seda	ei	647000
ei	pruugi	632000
see	tähendab	631000
on	meil	624000
on	oluline	624000
ütles	ta	623000
eelmise	aasta	618000
ja	ma	615000
nii	nagu	615000
et	need	612000
ja	nii	605000
on	meie	603000
aga	kui	602000
jaoks	on	602000
et	ka	601000
on	palju	599000
on	kõik	596000
ei	tule	594000
miljoni	euro	591000
kogu	aeg	590000
aktuaalne	kaamera	588000
puhul	on	587000
eesmärk	on	575000
oli	see	575000
siin	on	574000
tundub	et	565000
sel	nädalal	564000
iga	päev	562000
väga	hea	562000
kas	see	558000
juhul	kui	557000
on	olemas	556000
kes	ei	554000
mitte	ainult	554000
vahendas	aktuaalne	553000
sellest	et	552000
aga	ei	551000
ei	suuda	547000
el	i	547000
nad	ei	543000
eelmisel	nädalal	540000
välja	et	537000
ja	kuidas	535000
ütleb	et	529000
ja	nende	528000
teada	et	526000
märkis	et	521000
esimest	korda	520000
usun	et	519000
et	seda	516000
mis	ei	515000
siis	see	512000
ja	tema	509000
on	tema	509000
on	nüüd	507000
enam	ei	506000
ja	ning	505000
kõik	on	505000
minu	jaoks	505000
sõnul	ei	505000
enne	kui	502000
on	saanud	502000
mida	on	501000
peaks	olema	498000
siis	ei	498000
ei	oska	497000
pärast	seda	497000
aga	on	496000
ka	eesti	493000
on	selle	493000
kui	sa	491000
seal	on	491000
ei	näe	488000
n	ö	488000
on	need	488000
seda	on	488000
keegi	ei	487000
väga	hästi	487000
on	küll	481000
kinnitas	et	480000
aga	ma	479000
on	eestis	476000
samuti	on	475000
ei	tohiks	473000
et	inimesed	471000
on	kõige	471000
ei	oleks	468000
ei	tee	468000
vähem	kui	466000
aru	et	465000
selgus	et	465000
on	kokku	463000
on	seda	462000
tal	on	462000
ka	see	459000
kui	nad	459000
või	mitte	459000
ja	eesti	457000
samas	on	455000
ja	ta	454000
on	alati	454000
ta	lisas	453000
selle	eest	448000
ei	tähenda	446000
et	meie	445000
eesti	ja	443000
seda	kui	443000
ei	peaks	442000
sellele	et	441000
kõige	rohkem	436000
selles	et	434000
isegi	kui	432000
kellel	on	432000
on	tegemist	431000
see	pole	431000
et	nende	430000
lisaks	on	428000
öelnud	et	425000
ja	lisas	424000
loodan	et	423000
võiks	olla	418000
eesti	on	417000
ile	et	416000
on	ikka	416000
juhatuse	liige	415000
ning	on	414000
oli	ka	413000
on	nende	413000
tõdes	et	413000
teatas	et	410000
ta	ja	408000
neil	on	404000
ka	et	403000
need	kes	403000
nii	on	402000
sest	see	402000
jüri	ratas	401000
inimesed	on	400000
ka	oma	400000
või	on	400000
on	kindlasti	399000
ei	lähe	398000
martin	helme	396000
on	minu	395000
ka	ja	394000
mida	me	394000
et	nii	393000
järgmise	aasta	393000
