# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection slk_newscrawl_2011_1M.tar.gz (slk_newscrawl_2011_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
nie	je	16599000
je	to	15598000
v	roku	14345000
sa	v	13944000
sa	na	12677000
na	slovensku	12293000
by	sa	10455000
aj	v	9819000
ale	aj	9056000
že	sa	8183000
viac	ako	7998000
na	to	7799000
v	tomto	7447000
aj	na	7337000
o	tom	7256000
a	na	7087000
a	to	6538000
aby	sa	6161000
sa	však	6121000
keď	sa	6058000
ako	sa	6021000
je	v	5947000
som	sa	5718000
sme	sa	5556000
slovenská	republika	5548000
to	že	5541000
by	som	5528000
v	rámci	5246000
v	súčasnosti	4990000
v	prípade	4965000
sa	to	4948000
že	v	4933000
podľa	neho	4911000
ktoré	sa	4908000
čo	sa	4817000
to	je	4722000
ide	o	4664000
sa	s	4629000
sa	do	4608000
a	s	4484000
z	nich	4470000
ktorý	sa	4420000
a	tak	4401000
v	tom	4306000
v	tejto	4271000
v	bratislave	4242000
napriek	tomu	4136000
tým	že	4050000
už	v	4033000
partner	vášho	3987000
vášho	portfólia	3987000
čo	je	3976000
a	sa	3926000
že	je	3910000
sa	o	3889000
ako	aj	3855000
že	by	3850000
sa	aj	3843000
nie	sú	3833000
aj	keď	3717000
je	na	3677000
ak	sa	3671000
v	maďarsku	3604000
sa	už	3534000
s	tým	3531000
tom	že	3448000
spolu	s	3438000
kde	sa	3400000
z	toho	3386000
na	základe	3319000
ak	by	3267000
ktorá	sa	3213000
do	konca	3191000
sa	tak	3178000
ako	v	3165000
na	trhu	3141000
by	mal	3099000
sa	že	3089000
v	prvom	3088000
som	si	3074000
by	sme	3040000
tak	ako	3031000
v	a	3027000
v	oblasti	3025000
a	jeho	3023000
s	a	2991000
v	min	2980000
je	aj	2961000
sa	k	2912000
tomto	roku	2912000
od	roku	2894000
sa	bude	2834000
aj	s	2823000
to	čo	2821000
v	stredu	2820000
by	mali	2800000
a	je	2789000
že	na	2776000
je	však	2757000
tento	rok	2755000
na	a	2752000
jeden	z	2717000
hlavné	menu	2712000
menu	rubrika	2711000
sekcia	hlavné	2711000
že	to	2711000
si	že	2704000
v	ktorom	2703000
v	piatok	2699000
rubrika	tlačený	2697000
tlačený	trend	2697000
foto	sita	2696000
to	aby	2689000
aj	o	2638000
a	aj	2608000
s	r	2569000
sa	z	2561000
v	utorok	2561000
mil	sk	2556000
r	o	2551000
by	to	2550000
tomu	že	2539000
sa	po	2537000
to	bolo	2517000
až	do	2506000
sa	mi	2505000
po	tom	2501000
v	sobotu	2483000
na	tom	2478000
v	pondelok	2472000
a	nie	2440000
vo	štvrtok	2428000
sa	a	2416000
a	ich	2415000
v	čase	2413000
ktorí	sa	2391000
je	podľa	2357000
a	v	2342000
je	že	2341000
okrem	toho	2329000
je	pre	2328000
sa	stal	2306000
ktorý	je	2305000
vo	výške	2273000
k	tomu	2271000
dnes	oslavuje	2269000
sme	si	2262000
a	ako	2252000
by	mala	2252000
sa	mu	2250000
na	úrovni	2247000
ako	to	2236000
tvrdí	že	2224000
sa	im	2210000
môže	byť	2207000
si	na	2204000
si	to	2202000
aby	sme	2199000
tak	sa	2190000
tohto	roka	2174000
v	porovnaní	2156000
a	potom	2146000
až	po	2129000
ktoré	sú	2111000
a	po	2103000
v	košiciach	2098000
za	to	2081000
v	nedeľu	2066000
na	mieste	2063000
to	aj	2062000
v	priebehu	2051000
na	druhej	2033000
v	meste	2023000
ako	je	2004000
by	si	1990000
čítať	viac	1986000
to	však	1985000
ktorá	je	1982000
si	v	1982000
sa	podľa	1979000
v	rokoch	1978000
len	na	1977000
v	druhom	1960000
sú	v	1934000
to	v	1923000
v	súvislosti	1923000
európskej	únie	1917000
ja	som	1916000
od	do	1906000
v	ktorej	1897000
tom	ako	1892000
o	to	1891000
druhej	strane	1890000
aj	to	1885000
sa	jej	1882000
v	minulosti	1878000
zo	strany	1868000
a	jej	1867000
čítané	krát	1861000
na	svete	1855000
a	do	1849000
vzhľadom	na	1842000
bude	mať	1830000
aj	pre	1829000
ktoré	by	1827000
a	preto	1812000
vo	svojom	1807000
na	jeho	1803000
povedal	že	1801000
roku	sa	1785000
že	si	1779000
sa	dá	1778000
od	začiatku	1767000
zákona	o	1760000
porovnaní	s	1755000
a	a	1748000
tohto	roku	1740000
v	budapešti	1730000
medzi	a	1726000
minulého	roka	1726000
oslavuje	rudolf	1723000
rudolf	zajtra	1723000
o	a	1703000
by	ste	1678000
je	možné	1671000
u	nás	1671000
v	zahraničí	1665000
email	email	1654000
poslať	článok	1654000
článok	email	1654000
v	európe	1653000
ako	na	1649000
sa	nám	1639000
na	v	1634000
to	sa	1628000
v	v	1627000
na	ulici	1617000
miliónov	eur	1616000
súvislosti	s	1615000
keď	som	1609000
to	bude	1609000
až	na	1608000
tom	čo	1608000
s	ním	1606000
tak	že	1594000
na	rozdiel	1590000
v	sa	1588000
je	už	1582000
v	usa	1577000
aj	napriek	1570000
ešte	v	1566000
v	krajine	1561000
uviedol	že	1556000
miliónov	korún	1554000
sa	za	1554000
ale	v	1550000
aj	z	1547000
na	začiatku	1543000
a	za	1536000
jedným	z	1535000
preto	že	1533000
len	v	1531000
a	čo	1526000
je	veľmi	1516000
v	ňom	1510000
do	roku	1507000
aj	do	1504000
aby	si	1500000
bude	v	1489000
spojené	štáty	1486000
že	som	1475000
na	ich	1461000
to	nie	1461000
to	už	1458000
z	roku	1457000
a	že	1453000
je	len	1452000
by	bolo	1450000
by	malo	1450000
ktorej	sa	1447000
je	a	1446000
k	dispozícii	1443000
bol	v	1442000
dva	roky	1440000
že	aj	1440000
sa	od	1435000
ktorý	by	1434000
to	tak	1427000
v	prešove	1427000
pre	mňa	1422000
mil	eur	1419000
pre	pridanie	1418000
pridanie	príspevku	1418000
