# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection deu_mixed-typical_2011_1M.tar.gz (deu_mixed-typical_2011_1M/deu_mixed-typical_2011_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
in	der	19132000
für	die	12418000
gibt	es	9589000
ist	die	9191000
in	den	8854000
das	ist	8635000
auf jeden	fall	8000000
ich bin	mir	8000000
ich weiß	nicht	8000000
ist	ein	7175000
vielen dank	für	7000000
ist	der	6996000
mit	dem	6082000
es tut	mir	6000000
auch	die	5974000
für	den	5910000
ist	das	5870000
in	die	5809000
auf	die	5712000
auf	dem	5499000
mit	der	5173000
ist	eine	5170000
auf	der	5155000
bei	der	5085000
zum beispiel	kann	5000000
prozent	auf	4960000
an	der	4928000
von	der	4922000
mit	einem	4877000
um	prozent	4834000
sind	die	4730000
auf	den	4680000
über	die	4416000
aus	dem	4045000
es	ist	3825000
bei	den	3560000
sich	die	3436000
durch	die	3414000
für	das	3258000
zu	den	3209000
mit	den	3112000
um prozent	auf	3045000
wird	die	3028000
in	einem	3010000
an	den	2955000
nach	dem	2932000
aus	der	2927000
mit	einer	2840000
es	gibt	2777000
gab	es	2770000
der	ist	2755000
hat	die	2735000
die	polizei	2707000
werden	die	2671000
an	die	2630000
ich bin	müde	2600000
ich habe	zeit	2600000
im moment	nicht	2600000
zu hause	bin	2600000
und	die	2554000
die	der	2545000
von	den	2512000
in	einer	2506000
sie	die	2491000
das	war	2431000
für	eine	2344000
ist	nicht	2328000
nach	der	2321000
wurde	die	2320000
um	uhr	2284000
wird	der	2272000
noch	nicht	2257000
die	ist	2239000
finden	sie	2200000
wir	haben	2184000
war	die	2172000
über	den	2146000
sie	sich	2119000
sich	auf	2114000
war	der	2090000
es	war	2089000
er	ist	2016000
ist	in	2016000
auch	der	1981000
von	einem	1970000
wurde	der	1970000
vor	dem	1968000
war	ein	1943000
geht	es	1922000
ist	es	1878000
wird	das	1878000
auf	euro	1867000
was	ist	1832000
um	die	1831000
hat	sich	1816000
und	das	1802000
ich	bin	1800000
millionen	euro	1769000
sich	in	1757000
sich	um	1756000
ich	habe	1720000
die	sind	1705000
durch	den	1697000
haben	sie	1682000
das	unternehmen	1677000
sie	sind	1612000
in	diesem	1604000
die	des	1581000
zu	einem	1572000
befindet	sich	1561000
sich	der	1522000
auch	das	1519000
auf	eine	1519000
gegen	die	1516000
auf	das	1513000
wird	ein	1512000
haben	die	1510000
können	sie	1506000
vielen	dank	1500000
sie	ist	1495000
wird	in	1476000
wurden	die	1466000
der	jährige	1459000
auch	ein	1447000
es	auch	1439000
es	nicht	1436000
auch	für	1424000
zu	einer	1423000
wir	sind	1419000
nicht	mehr	1417000
wird	von	1410000
auch	in	1401000
für	einen	1396000
es	wird	1392000
war	das	1387000
von	einer	1386000
die	stadt	1385000
der	wird	1378000
wurde	in	1378000
über	das	1371000
auch	eine	1366000
vor	der	1359000
auf	punkte	1346000
haben	wir	1335000
wurde	das	1330000
das	hat	1326000
aber	nicht	1316000
habe	ich	1301000
eine	neue	1295000
prozent auf	euro	1295000
aber	auch	1287000
er	hat	1283000
zur	verfügung	1279000
und	der	1276000
hat	eine	1259000
sie	in	1252000
wurde	ein	1251000
dies	ist	1241000
sie	haben	1240000
der	mann	1226000
hat	das	1226000
doch	die	1207000
die	neue	1202000
albert	einstein	1200000
danke	schön	1200000
guten	morgen	1200000
ich	weiß	1200000
isaac	newton	1200000
marie	curie	1200000
mona	lisa	1200000
waren	die	1192000
werden	in	1186000
der	stadt	1182000
sie	den	1177000
die	in	1176000
das	wird	1173000
sind	sie	1172000
für	ein	1170000
hat	er	1169000
wird	mit	1169000
wird	eine	1168000
in	deutschland	1166000
hat	der	1160000
sind	in	1146000
aus	den	1142000
wurde	von	1130000
sie	auf	1127000
unter	den	1124000
das	ergebnis	1122000
war	eine	1121000
soll	die	1120000
der	der	1112000
wurde	am	1106000
charles	darwin	1100000
da	vinci	1100000
leonardo	da	1100000
