# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection pol_news_2024_1M.tar.gz (pol_news_2024_1M/pol_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
się	w	20330000
w	tym	18758000
się	na	15741000
się	z	12228000
w	roku	11192000
się	do	10386000
w	polsce	9847000
m	in	9610000
że	w	8416000
nie	tylko	7756000
nie	ma	7364000
się	że	7123000
nie	jest	7005000
w	tej	5933000
że	nie	5829000
jest	to	5591000
a	także	5446000
w	sprawie	5289000
to	nie	5142000
na	to	5074000
o	tym	4936000
w	którym	4680000
w	r	4639000
w	ramach	4572000
z	nich	4556000
i	nie	4485000
to	że	4484000
do	tego	4389000
z	kolei	4338000
jak	i	4237000
jednym	z	4190000
jest	w	4088000
że	to	4069000
to	jest	4068000
jeden	z	4027000
mln	zł	3861000
we	wtorek	3860000
doszło	do	3835000
związku	z	3758000
może	być	3623000
w związku	z	3617000
rozmowie	z	3608000
tym	roku	3553000
w tym	roku	3544000
w rozmowie	z	3486000
po	raz	3481000
się	nie	3481000
chodzi	o	3476000
się	o	3475000
i	na	3311000
zgodnie	z	3299000
już	w	3284000
na	terenie	3223000
na	miejscu	3221000
na	temat	3197000
przede	wszystkim	3185000
tys	zł	3078000
nie	będzie	3071000
wraz	z	3024000
dzień	dobry	3000000
dziękuję	bardzo	3000000
nie	wiem	3000000
z	tego	2933000
nie	było	2900000
udało	się	2890000
że	jest	2869000
materiał	oryginalny	2849000
udział	w	2811000
tym	że	2723000
tej	sprawie	2712000
na	początku	2704000
się	od	2694000
ale	nie	2672000
z	tym	2665000
między	innymi	2651000
w tej	sprawie	2650000
i	to	2607000
nie	są	2570000
mediach	społecznościowych	2568000
do	końca	2557000
względu	na	2554000
przy	ul	2422000
w mediach	społecznościowych	2419000
od	do	2403000
apteka	zamyka	2400000
bardzo	dobrze	2400000
daj	znać	2400000
do	jutra	2400000
do	zobaczenia	2400000
dobry	wieczór	2400000
klient	prosi	2400000
nie	chcę	2400000
pociąg	odjeżdża	2400000
rodzina	przyjeżdża	2400000
spotkanie	zaczyna	2400000
telefon	ładuje	2400000
w	porządku	2400000
odbędzie	się	2367000
to	co	2347000
do	szpitala	2321000
z	powodu	2309000
że	na	2297000
znajduje	się	2280000
tym	samym	2262000
a	nie	2260000
do	tej	2209000
po	prostu	2205000
co	najmniej	2201000
ale	także	2198000
roku	w	2196000
wynika	że	2196000
ze	względu	2194000
od	lat	2190000
ze względu	na	2168000
tym	razem	2142000
i	w	2132000
dodał	że	2108000
to	w	2095000
na	ten	2075000
miejsce	w	2073000
na	pewno	2060000
na	razie	2038000
o	to	2034000
jak	się	2030000
od	roku	2004000
okazało	się	1995000
jest	na	1986000
po	tym	1964000
pod	koniec	1961000
ale	też	1958000
policji	w	1952000
z	i	1951000
wynika	z	1929000
jedna	z	1913000
doszło	w	1896000
za	to	1855000
też	że	1849000
tym	jak	1824000
nigdy	nie	1820000
związane	z	1788000
o	godz	1771000
nie	może	1770000
są	w	1765000
jednego	z	1744000
co	się	1728000
jednak	że	1724000
jedną	z	1720000
i	jego	1712000
powiedział	że	1700000
z	w	1687000
jak	w	1671000
okazało się	że	1662000
a	na	1650000
ma	być	1643000
na to	że	1643000
mld	zł	1638000
podkreślił	że	1638000
tej	pory	1602000
i	tak	1592000
do	lat	1588000
donald	tusk	1580000
jest	bardzo	1570000
raz	pierwszy	1568000
po raz	pierwszy	1565000
od	początku	1560000
pojawiły	się	1552000
ze	strony	1545000
także	w	1541000
jednak	nie	1537000
mogą	być	1537000
a	następnie	1535000
od	tego	1534000
to	właśnie	1534000
tylko	w	1530000
do tej	pory	1527000
o	proc	1496000
lat	temu	1470000
unii	europejskiej	1466000
km	h	1463000
pojawił	się	1453000
uwagę	na	1448000
to	już	1446000
który	w	1445000
a	nawet	1438000
czytamy	w	1438000
tak	jak	1436000
uwagę	że	1435000
i	do	1410000
nikt	nie	1407000
o tym	że	1390000
jeszcze	w	1388000
z	na	1385000
o	godzinie	1378000
zmiany	w	1375000
ten	sposób	1369000
jednej	z	1365000
ale	w	1351000
nie	można	1339000
stwierdził	że	1337000
że	do	1337000
takich	jak	1332000
w ten	sposób	1328000
będzie	to	1324000
do	polski	1310000
prawa	i	1309000
do	roku	1305000
kilka	dni	1299000
oznacza	że	1289000
czas	na	1286000
poinformował	że	1285000
okazuje	się	1273000
osób	które	1269000
co	do	1267000
dzięki	temu	1265000
ale	to	1264000
związanych	z	1262000
więcej	niż	1261000
po tym	jak	1259000
ze	sobą	1257000
ale	i	1255000
tego	roku	1249000
do	domu	1247000
dla	osób	1245000
cały	czas	1242000
które	są	1242000
takie	jak	1238000
podobnie	jak	1231000
być	może	1230000
jest	już	1230000
i	jest	1225000
r	w	1223000
jest	też	1221000
również	w	1220000
tego	typu	1220000
niż	w	1217000
już	nie	1216000
od	razu	1216000
to	jednak	1216000
ponad	tys	1212000
nadzieję	że	1206000
ale	również	1204000
a	to	1201000
andrzej	duda	1196000
pozbawienia	wolności	1195000
osoby	które	1190000
jeśli	chodzi	1187000
będzie	można	1180000
można	było	1178000
może	się	1175000
czy	w	1162000
jeśli chodzi	o	1162000
również	że	1162000
dla	dzieci	1157000
razem	z	1149000
straży	pożarnej	1143000
które	nie	1141000
co	jest	1139000
jak	to	1138000
które	w	1135000
tego	że	1119000
było	to	1114000
odbyła	się	1112000
ma	na	1110000
wpływ	na	1109000
myślę	że	1106000
konferencji	prasowej	1100000
roku	na	1098000
tysięcy	złotych	1095000
policjanci	z	1092000
przy	ulicy	1080000
oznacza	to	1079000
że	z	1079000
a	potem	1076000
już	od	1074000
czy	to	1072000
dla	wszystkich	1069000
pod	uwagę	1063000
tego	co	1063000
już	na	1051000
przy	tym	1045000
oraz	w	1040000
które	mogą	1031000
dwa	lata	1029000
polski	w	1026000
zaznaczył	że	1022000
nocy	z	1020000
nic	nie	1010000
dla	mnie	1006000
że	jego	1001000
proszę	bardzo	1000000
wniosek	o	1000000
spraw	zagranicznych	997000
są	to	997000
dzieci	i	996000
odniósł	się	993000
tym	czasie	991000
był	w	981000
tego	nie	980000
zdarzenia	doszło	980000
w jednym	z	977000
w nocy	z	977000
związku z	tym	977000
okazuje się	że	976000
jego	zdaniem	975000
znajdują	się	975000
ustawy	o	972000
prawa i	sprawiedliwości	970000
już	po	968000
jednak	w	966000
będzie	w	963000
był	to	961000
od	kilku	954000
za	pomocą	947000
parlamentu	europejskiego	943000
jak	na	937000
jest	z	934000
jeszcze	nie	933000
wydaje	się	933000
dla	nas	932000
spodziewać	się	932000
tego	dnia	932000
trafił	do	932000
nie udało	się	926000
udziału	w	925000
donalda	tuska	923000
dostęp	do	922000
