# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ces_news_2024_1M.tar.gz (ces_news_2024_1M/ces_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
v	roce	15198000
je	to	14358000
že	se	14110000
se	v	11263000
se	na	10569000
by	se	8776000
a	to	8251000
o	tom	7305000
více	než	7190000
podle	něj	7170000
na	to	7084000
že	by	7045000
že	je	6923000
s	tím	6267000
tím	že	6240000
to	že	6032000
v	česku	5960000
a	na	5911000
k	tomu	5759000
to	je	5501000
jak	se	5484000
v	praze	5363000
se	ale	5254000
je	v	5231000
když	se	5191000
aby	se	5073000
co	se	4955000
který	se	4930000
i	na	4847000
které	se	4761000
ale	i	4691000
se	do	4550000
z	nich	4529000
jde	o	4528000
se	s	4448000
i	když	4357000
se	to	4331000
se	o	4294000
že	to	4210000
že	v	4120000
která	se	3965000
na	ukrajině	3880000
stejně	jako	3837000
jsem	se	3829000
uvedl	že	3785000
poté	co	3698000
tom	že	3681000
v	případě	3679000
jeden	z	3597000
a	je	3590000
z	toho	3575000
kde	se	3551000
a	také	3533000
se	tak	3434000
v	rámci	3426000
už	v	3406000
což	je	3396000
a	tak	3349000
je	na	3299000
se	k	3266000
v	posledních	3242000
mimo	jiné	3241000
od	roku	3238000
ve	středu	3176000
a	jeho	3164000
na	tom	3160000
je	podle	3142000
v	pondělí	3089000
řekl	že	3080000
o	procenta	3022000
ve	čtvrtek	3021000
že	si	3016000
ale	také	2984000
v	tomto	2968000
v	úterý	2966000
kdy	se	2932000
jsme	se	2919000
jsem	si	2913000
a	že	2901000
se	podle	2892000
v	neděli	2887000
v	oblasti	2879000
v	tom	2826000
na	místě	2795000
v	pátek	2782000
je	pro	2771000
za	to	2771000
v	době	2761000
až	do	2735000
který	je	2721000
s	ním	2716000
tomu	že	2692000
se	však	2685000
že	na	2669000
to	bylo	2664000
a	další	2660000
je	ale	2623000
na	konci	2593000
v	sobotu	2559000
by	to	2551000
se	že	2521000
může	být	2520000
se	po	2519000
na	začátku	2478000
se	mu	2460000
a	pak	2441000
za	sebou	2416000
milionů	korun	2385000
v	minulosti	2316000
v	letech	2311000
a	se	2298000
by	měl	2295000
sociálních	sítích	2292000
podle	ní	2258000
myslím	že	2257000
do	konce	2249000
to	ale	2248000
a	jak	2240000
té	doby	2234000
si	že	2231000
to	se	2217000
z	roku	2215000
ve	svém	2199000
v	noci	2198000
na	ukrajinu	2196000
která	je	2176000
v	evropě	2165000
miliardy	korun	2164000
ale	v	2150000
v	této	2134000
kteří	se	2123000
to	co	2103000
na	sociálních	2099000
dva	roky	2088000
to	v	2084000
si	na	2082000
pro	mě	2081000
že	jsem	2067000
od	začátku	2066000
se	bude	2061000
o	to	2059000
tvrdí	že	2057000
se	z	2049000
jedním	z	2043000
na	sociální	2040000
uvedla	že	2015000
na	něj	2010000
v	prvním	2009000
a	po	2000000
se	ve	1980000
tisíc	korun	1976000
v	rozhovoru	1975000
v	něm	1967000
je	že	1966000
vzhledem	k	1942000
až	na	1934000
spolu	s	1926000
už	se	1905000
a	ve	1901000
pokud	se	1899000
si	v	1894000
na	základě	1873000
ve	své	1832000
si	to	1821000
to	bude	1805000
k	dispozici	1802000
jsme	si	1795000
a	do	1792000
se	stal	1788000
se	jí	1756000
v	české	1750000
loni	v	1743000
podle	agentury	1734000
šlo	o	1718000
a	co	1715000
bude	mít	1715000
v	čele	1708000
i	další	1701000
s	a	1699000
se	mi	1699000
pokud	by	1694000
jak	to	1689000
sociální	síti	1689000
v	první	1683000
byl	v	1682000
tak	se	1680000
v	minutě	1675000
na	světě	1672000
bylo	to	1669000
že	jsme	1657000
od	té	1648000
mistrovství	světa	1643000
procenta	na	1634000
který	v	1633000
se	svým	1623000
až	po	1620000
je	i	1619000
které	jsou	1618000
se	pak	1611000
víc	než	1609000
hnutí	ano	1607000
proto	že	1600000
se	také	1596000
by	si	1592000
se	za	1589000
by	měla	1584000
v	německu	1580000
které	by	1579000
na	svém	1575000
jako	je	1558000
co	je	1556000
v	létě	1548000
v	té	1544000
se	a	1534000
a	jejich	1527000
ze	strany	1523000
na	první	1517000
a	dalších	1514000
když	jsem	1512000
tak	že	1511000
miliard	korun	1510000
mezi	a	1508000
jsou	v	1507000
už	je	1498000
minulý	týden	1494000
na	jeho	1492000
je	třeba	1487000
také	v	1484000
u	nás	1484000
jako	v	1481000
v	souvislosti	1480000
se	jim	1472000
se	od	1468000
v	brně	1467000
to	aby	1466000
toho	že	1466000
ale	na	1465000
v	řadě	1465000
s	nimi	1464000
evropské	unie	1462000
také	na	1451000
se	i	1449000
a	za	1447000
se	už	1445000
jen	o	1440000
až	v	1434000
a	půl	1428000
na	a	1426000
i	pro	1424000
který	byl	1423000
není	to	1422000
v	únoru	1415000
se	totiž	1408000
a	zároveň	1407000
o	procent	1406000
na	své	1403000
v	sezoně	1403000
v	poslední	1400000
jak	je	1391000
a	v	1383000
ať	už	1378000
to	tak	1376000
to	pro	1375000
je	možné	1368000
v	usa	1367000
v	lednu	1364000
v	rusku	1360000
i	přes	1355000
na	další	1350000
je	také	1347000
kvůli	tomu	1344000
v	němž	1343000
ve	městě	1342000
v	historii	1334000
se	nám	1333000
že	má	1323000
a	když	1318000
jedna	z	1318000
play	off	1317000
souvislosti	s	1315000
je	potřeba	1313000
na	podzim	1313000
v	průběhu	1313000
společně	s	1311000
na	které	1301000
já	jsem	1294000
než	se	1294000
před	lety	1291000
ve	kterém	1283000
a	její	1280000
se	stala	1278000
v	paříži	1269000
příští	rok	1265000
jen	na	1264000
v	pásmu	1263000
v	jeho	1262000
který	má	1258000
na	ně	1256000
let	a	1250000
na	rozdíl	1248000
pro	něj	1245000
noci	na	1239000
to	není	1230000
ještě	před	1229000
pro	nás	1229000
kdu	čsl	1228000
rozhovoru	pro	1226000
petr	fiala	1225000
na	místo	1224000
se	snaží	1223000
v	a	1222000
na	druhou	1221000
na	trhu	1221000
ve	druhém	1220000
v	ní	1217000
to	na	1215000
na	slovensku	1214000
do	roku	1213000
a	já	1212000
v	na	1210000
se	tam	1208000
to	i	1207000
době	kdy	1206000
v	nemocnici	1206000
síti	x	1205000
který	si	1204000
v	zemi	1203000
tiskové	konferenci	1202000
do	toho	1200000
ve	druhé	1196000
má	v	1191000
s	ní	1187000
který	by	1185000
v	závěru	1185000
ale	je	1184000
že	jeho	1184000
kde	je	1183000
spojené	státy	1183000
to	byl	1183000
v	současnosti	1182000
aktuálně	cz	1181000
které	je	1180000
jednou	z	1179000
ve	výši	1174000
v	polovině	1167000
v	září	1167000
má	na	1164000
v	červnu	1161000
je	však	1153000
by	podle	1146000
letos	v	1146000
letošního	roku	1146000
že	bude	1144000
bude	v	1141000
jednoho	z	1140000
na	hřišti	1139000
na	sebe	1139000
než	v	1139000
věřím	že	1138000
rozdíl	od	1134000
i	ve	1132000
podle	informací	1131000
to	jak	1127000
to	už	1127000
pásmu	gazy	1126000
i	do	1125000
tři	roky	1123000
v	květnu	1122000
dodal	že	1118000
po	letech	1114000
že	jsou	1109000
podobně	jako	1108000
ve	věku	1106000
pro	ně	1103000
se	může	1103000
je	ve	1102000
proč	se	1100000
české	republiky	1100000
aby	si	1099000
ještě	v	1097000
už	od	1096000
už	na	1094000
agentura	reuters	1091000
díky	tomu	1090000
jsou	to	1087000
pak	se	1082000
podle	nich	1079000
tak	to	1079000
že	už	1079000
které	si	1078000
posledních	letech	1077000
loňského	roku	1074000
mi	to	1071000
si	ale	1071000
jedná	o	1070000
že	i	1069000
když	si	1067000
s	odvoláním	1060000
druhou	stranu	1059000
když	je	1057000
tak	aby	1057000
by	mohl	1056000
i	proto	1054000
v	březnu	1054000
i	po	1048000
v	prosinci	1047000
a	bude	1044000
i	tak	1044000
má	být	1044000
a	už	1041000
jsem	to	1038000
odvoláním	na	1038000
byl	to	1037000
je	tak	1036000
jako	první	1034000
z	něj	1032000
jsou	na	1030000
milionu	korun	1030000
říct	že	1027000
ale	to	1025000
v	centru	1025000
v	podobě	1022000
v	říjnu	1022000
na	ledě	1021000
před	dvěma	1021000
v	listopadu	1021000
v	současné	1020000
že	s	1018000
k	němu	1016000
ve	minutě	1016000
tomu	aby	1015000
pět	let	1013000
v	jednom	1012000
protože	se	1011000
jak	si	1009000
to	dnes	1006000
jako	by	1005000
se	svou	1002000
a	od	1001000
petr	pavel	1001000
na	jaře	1000000
musí	být	998000
která	by	997000
na	jihu	997000
bylo	v	995000
v	podstatě	994000
měl	být	992000
ve	svých	992000
české	republice	991000
se	jedná	989000
roce	se	986000
krátce	po	985000
které	v	984000
byla	v	983000
se	svými	981000
a	ještě	976000
si	s	976000
že	když	974000
informace	o	972000
která	má	972000
došlo	k	965000
poslední	době	965000
i	to	964000
v	dubnu	962000
co	by	960000
evropského	parlamentu	960000
na	druhé	960000
o	něco	958000
na	tiskové	957000
což	se	956000
se	budou	956000
jako	jsou	954000
na	ni	948000
o	víkendu	946000
té	době	946000
jedné	z	945000
pocit	že	944000
spojených	států	944000
stejně	tak	944000
v	zahraničí	943000
spolupráci	s	941000
že	pokud	940000
se	podařilo	939000
pro	všechny	936000
ale	že	935000
by	mělo	934000
to	z	934000
co	si	933000
jen	v	933000
na	něm	932000
ve	skutečnosti	932000
a	podle	931000
premiér	petr	930000
tom	jak	928000
že	ho	928000
do	prahy	926000
lidí	a	926000
se	před	925000
v	některých	925000
že	za	925000
mě	to	923000
po	dvou	922000
ve	finále	922000
už	to	921000
a	pro	918000
například	v	918000
prohlásil	že	915000
označil	za	914000
a	následně	912000
jasné	že	911000
do	nemocnice	908000
se	u	907000
v	lize	907000
v	pořádku	905000
jsem	že	904000
tak	jsem	903000
ministr	zahraničí	899000
donald	trump	897000
fakt	že	897000
jedná	se	897000
je	o	896000
a	pokud	894000
lidí	kteří	894000
po	celém	891000
pro	to	891000
o	jeho	890000
je	velmi	887000
a	má	886000
tento	týden	886000
ve	které	885000
ale	podle	882000
ve	všech	882000
že	jde	882000
andrej	babiš	881000
