# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection dan_news_2021_1M.tar.gz (dan_news_2021_1M/dan_news_2021_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
det	er	72273000
til	at	70549000
der	er	55482000
for	at	55428000
og	det	25081000
i	en	24105000
er	det	24053000
om	at	23493000
at	det	23286000
at	der	23167000
med	at	20256000
er	der	20042000
af	de	19056000
er	en	18962000
i	den	18483000
har	været	18393000
på	at	18076000
at	få	17001000
at	de	16437000
blandt	andet	15617000
med	en	15279000
der	har	14667000
men	det	14366000
det	var	14284000
på	en	13177000
er	blevet	13105000
at	være	12574000
og	i	12446000
er	ikke	12391000
i	det	12262000
ved	at	12068000
til	en	12044000
er	i	11960000
vi	har	11936000
en	af	11757000
at	man	11559000
i	dag	11383000
del	af	11006000
at	han	10822000
i	et	10616000
at	vi	10571000
ud	af	10566000
på	den	10469000
af	en	10448000
der	var	10139000
og	så	10089000
i	de	9709000
der	skal	9675000
det	har	9628000
de	to	9489000
siger	han	9336000
der	ikke	9249000
op	til	9205000
det	kan	9090000
ind	i	9050000
en	del	8841000
i	danmark	8820000
af	den	8750000
er	et	8705000
den	årige	8504000
i	og	8458000
ikke	er	8295000
og	en	8159000
har	fået	8140000
på	et	8040000
efter	at	7957000
er	at	7931000
på	i	7883000
sammen	med	7720000
som	er	7697000
og det	er	7667000
og	de	7614000
for	en	7442000
det	ikke	7437000
nu	er	7433000
så	er	7395000
der	i	7359000
en	ny	7325000
på	det	7322000
ikke	at	7023000
til	den	7017000
med	et	6989000
på	grund	6963000
grund	af	6855000
på grund	af	6845000
med	til	6790000
af	det	6761000
frem	til	6689000
man	kan	6665000
for	de	6636000
jeg	har	6630000
en	årig	6596000
og	der	6518000
som	en	6504000
og	har	6426000
for	det	6383000
der	kan	6358000
en del	af	6345000
mere	end	6281000
og	at	6278000
med	i	6225000
de	har	6186000
mulighed	for	6149000
sidste	år	6135000
lyder	det	6107000
han	har	6059000
at det	er	6020000
hvis	man	6020000
vi	er	5975000
kan	være	5958000
at der	er	5933000
det er	en	5881000
om	en	5821000
de	seneste	5746000
han	er	5732000
hvor	der	5689000
den	nye	5681000
til	de	5641000
har	en	5603000
af	at	5558000
jeg	er	5513000
de	er	5490000
løbet	af	5486000
til	det	5472000
i løbet	af	5454000
sig	til	5454000
på	de	5450000
det	vil	5389000
en	stor	5376000
til	et	5359000
en	række	5345000
men det	er	5337000
det er	ikke	5326000
vi	kan	5325000
forbindelse	med	5299000
forhold	til	5297000
skal	være	5295000
i forbindelse	med	5279000
var	det	5276000
kan	man	5265000
med	den	5244000
var	der	5222000
kommer	til	5185000
til	og	5183000
så	det	5133000
siger	hun	5105000
ikke	har	5101000
der	blev	5060000
for	den	5020000
vi	skal	5001000
som	har	4998000
lige	nu	4939000
selv	om	4914000
tale	om	4906000
antallet	af	4875000
mulighed for	at	4873000
det	fra	4862000
i forhold	til	4857000
det	bliver	4833000
også	at	4807000
om	det	4803000
millioner	kroner	4788000
sig	i	4779000
var	en	4724000
af	og	4704000
til	i	4678000
af	dem	4658000
efter	en	4654000
procent	af	4654000
med til	at	4625000
har	i	4613000
heller	ikke	4601000
ud	til	4583000
mener	at	4563000
da	han	4509000
dog	ikke	4461000
med	de	4445000
med	det	4438000
man	ikke	4362000
har	ikke	4335000
når	man	4331000
af	i	4329000
op	i	4301000
ud	i	4291000
brug	for	4278000
betyder	at	4268000
være	en	4255000
første	gang	4252000
en	god	4191000
for at	få	4190000
år	siden	4168000
over	at	4158000
vil	være	4150000
har	haft	4123000
har	vi	4092000
årig	mand	4088000
klar	til	4080000
sig	selv	4061000
en af	de	4037000
hvad	der	4037000
en	anden	4027000
den	danske	3989000
for	eksempel	3988000
man	skal	3929000
har	det	3898000
her	er	3893000
et	af	3884000
en årig	mand	3880000
kommer til	at	3857000
nogle	af	3851000
de	fleste	3840000
lyder det	fra	3840000
et	par	3836000
hvor	de	3835000
formand	for	3824000
ikke	kan	3821000
derfor	er	3795000
som	i	3770000
gang	med	3757000
man	har	3750000
kan	få	3731000
var	i	3716000
fra	den	3641000
over	for	3625000
de	mange	3618000
være	med	3600000
vi	ikke	3588000
den	første	3572000
gang	i	3552000
de	ikke	3534000
for	et	3517000
men	der	3514000
når	de	3498000
tilbage	til	3497000
op	på	3490000
år	og	3473000
fokus	på	3458000
om	de	3451000
skal	have	3429000
et	nyt	3428000
når	det	3382000
hvor	han	3381000
som	de	3381000
men	i	3344000
i gang	med	3326000
hvor	man	3317000
kan	ikke	3315000
den	anden	3309000
tilbage	i	3285000
for	i	3284000
fra	en	3282000
dem	der	3255000
inden	for	3250000
sig	at	3234000
mellem	og	3227000
endnu	ikke	3180000
fortæller	at	3154000
et	stort	3141000
børn	og	3129000
muligt	at	3127000
men	vi	3121000
de	første	3111000
hun	har	3109000
kan	blive	3104000
men	jeg	3091000
han	var	3077000
som	et	3066000
ud	over	3057000
få	en	3056000
nu	har	3052000
god	morgen	3000000
jeg	ved	3000000
tusind	tak	3000000
også	en	2993000
som	det	2990000
der har	været	2989000
kan	du	2981000
i en	pressemeddelelse	2967000
så	mange	2965000
så	meget	2950000
han	ikke	2931000
tæt	på	2921000
ikke	længere	2920000
fra	til	2919000
været	i	2916000
om	den	2903000
så	vi	2858000
det er	et	2844000
plads	til	2832000
men	også	2820000
hun	er	2816000
jeg	tror	2800000
tak skal	du	2800000
også	i	2794000
han	blev	2777000
uden	at	2773000
resten	af	2772000
kan	det	2769000
været	en	2769000
jeg	kan	2761000
år	har	2739000
man	er	2738000
den	ene	2729000
hvor	det	2720000
om	et	2713000
så	kan	2707000
ind	på	2703000
blev	der	2694000
så er	det	2687000
ikke	kun	2670000
den	er	2661000
hvert	fald	2649000
som	vi	2638000
ramt	af	2637000
jeg	ikke	2632000
i hvert	fald	2621000
sigtet	for	2614000
efter	et	2612000
kan	komme	2585000
natten	til	2582000
vil	blive	2576000
den	seneste	2569000
hvis	du	2561000
ikke	noget	2551000
ikke	i	2550000
et	år	2546000
sig	over	2539000
men	de	2538000
nødt	til	2531000
handler	om	2521000
gøre	det	2508000
ud	på	2501000
du	kan	2487000
da	de	2471000
svært	at	2458000
hvis	de	2447000
skal	vi	2447000
sig	på	2446000
klar til	at	2437000
men	nu	2430000
og der	er	2429000
hvis	det	2419000
der er	en	2413000
efter	arbejde	2400000
familien	kommer	2400000
i	morgen	2400000
intet	problem	2400000
kunden	spørger	2400000
mødet	starter	2400000
send	mig	2400000
telefonen	oplader	2400000
toget	kører	2400000
vi	ses	2400000
han	i	2398000
have	en	2386000
nødt til	at	2384000
bliver	det	2375000
vigtigt	at	2374000
for at	have	2373000
op	og	2373000
tv	lorry	2368000
op	for	2363000
skal	man	2352000
det betyder	at	2345000
dele	af	2344000
fra	de	2341000
om	der	2333000
slet	ikke	2328000
var	ikke	2323000
mange	af	2311000
uden	for	2302000
blandt	de	2290000
vil	have	2289000
mette	frederiksen	2281000
siger	at	2243000
var	på	2243000
stedet	for	2241000
samarbejde	med	2234000
hvor	mange	2220000
gør	det	2218000
vi	vil	2217000
ud	og	2207000
lige	så	2199000
et	i	2183000
var	blevet	2183000
håber	at	2174000
så	de	2171000
flere	af	2169000
der ikke	er	2168000
mange	år	2165000
et	godt	2161000
sidste	uge	2158000
fra	i	2156000
gang med	at	2156000
til at	være	2150000
viser	at	2148000
derfor	har	2146000
lov	til	2143000
gerne	vil	2142000
at der	ikke	2141000
han	havde	2136000
så	har	2135000
være	i	2129000
jeg	synes	2126000
er en	af	2123000
ned	i	2123000
når	vi	2117000
ind	til	2115000
glad	for	2113000
når	der	2096000
blev	det	2084000
tid	til	2081000
i stedet	for	2077000
til at	blive	2069000
her	i	2063000
være med	til	2062000
have	været	2055000
endnu	en	2051000
der er	i	2032000
sig	om	2027000
sige	at	2018000
midt	og	2004000
hvis	der	1998000
til at	få	1995000
ønsker	at	1993000
da	hun	1988000
på den	måde	1984000
er tale	om	1983000
jeg	vil	1982000
alle	de	1977000
valgt	at	1973000
lov til	at	1970000
fra	og	1969000
retten	i	1962000
for første	gang	1955000
masser	af	1947000
tv	østjylland	1940000
hvor	vi	1937000
skal	der	1937000
det er	det	1934000
at det	ikke	1933000
dansk	folkeparti	1930000
da	det	1929000
men der	er	1928000
år	er	1928000
behov	for	1923000
vil	det	1923000
seneste	år	1912000
komme	til	1909000
slutningen	af	1905000
man	i	1902000
tvivl	om	1902000
også	er	1896000
år	i	1895000
i sidste	uge	1887000
det har	været	1886000
indtil	videre	1884000
lade	sig	1875000
dag	er	1871000
om	i	1871000
nordsjællands	politi	1856000
fra	det	1848000
komme	i	1848000
kommune	har	1838000
skulle	have	1836000
danmark	og	1834000
flere	gange	1830000
til at	tage	1828000
at få	en	1821000
ud	fra	1820000
hvis	vi	1814000
et	på	1812000
adgang	til	1811000
medlem	af	1785000
to	år	1780000
noget	der	1773000
så er	der	1763000
har brug	for	1761000
over	de	1761000
nogle af	de	1760000
ud til	at	1748000
fordi	de	1746000
så det	er	1746000
det er	jo	1743000
for at	blive	1738000
vil	der	1737000
i dag	er	1733000
at der	var	1729000
og så	er	1721000
er det	ikke	1718000
der er	tale	1715000
for at	være	1714000
statens	serum	1712000
ved	en	1712000
alt	for	1711000
mand	fra	1708000
dog	at	1696000
nu	skal	1694000
det var	en	1687000
svært	ved	1678000
risiko	for	1676000
fået	en	1675000
op	med	1664000
serum	institut	1650000
skulle	være	1647000
var	den	1647000
statens serum	institut	1646000
oplyser	at	1637000
vi	i	1630000
enige	om	1624000
vil	gerne	1619000
at det	var	1618000
det kan	være	1613000
har været	i	1612000
er en	del	1605000
og det	har	1604000
rundt	i	1602000
et af	de	1597000
sig	for	1596000
der er	ikke	1595000
svært ved	at	1594000
både	og	1589000
steder	i	1589000
noget	af	1587000
gå	i	1583000
milliarder	kroner	1583000
der er	blevet	1582000
tilbage	på	1578000
næste	år	1570000
hvor	hun	1565000
første	omgang	1563000
er ved	at	1549000
da	også	1546000
andet	at	1540000
også	på	1536000
jo	ikke	1534000
blev	en	1528000
være	et	1526000
i første	omgang	1524000
muligheden	for	1524000
lyst	til	1523000
langt	fra	1521000
da	der	1518000
nu	kan	1518000
fordi	det	1514000
fra	et	1503000
for at	komme	1501000
vil	ikke	1499000
hun	ikke	1498000
inger	støjberg	1495000
ind	og	1494000
midt	i	1491000
hele	tiden	1489000
kommune	er	1486000
