# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ron_news_2024_1M.tar.gz (ron_news_2024_1M/ron_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
de de	ani	10039000
în timp	ce	8140000
pe care	le	5337000
după ce	a	5131000
ar trebui	să	4702000
de milioane	de	4448000
în vârstă	de	4415000
dintre cele	mai	4197000
cu privire	la	4192000
a avut	loc	4025000
a spus	că	3877000
cu toate	acestea	3597000
a declarat	că	3585000
în ceea	ce	3578000
cum ar	fi	3543000
care a	fost	3525000
nu a	fost	3423000
vârstă de	de	3313000
te	rog	3200000
de ani	a	3198000
a fost	de	3131000
pe care	o	3034000
bună	ziua	3000000
mulțumesc	mult	3000000
nu	știu	3000000
în urmă	cu	2915000
cea mai	mare	2886000
milioane de	euro	2697000
bună	dimineața	2600000
este	bine	2600000
eu	cred	2600000
care s	a	2597000
nu s	a	2560000
ar putea	fi	2512000
de de	lei	2483000
clientul	cere	2400000
de	exemplu	2400000
familia	vine	2400000
farmacia	închide	2400000
foarte	bine	2400000
mâine	dimineață	2400000
ne	vedem	2400000
telefonul	se	2400000
trenul	pleacă	2400000
ar fi	fost	2393000
în funcție	de	2391000
înainte de	a	2389000
ceea ce	privește	2374000
o serie	de	2362000
una dintre	cele	2360000
de la	ora	2335000
de a	lungul	2298000
a mai	spus	2166000
ce s	a	2145000
este vorba	despre	2118000
în valoare	de	2100000
mai mult	decât	2084000
de ani	din	2075000
de ani	de	2067000
milioane de	lei	2045000
punct de	vedere	2026000
că a	fost	2004000
care au	fost	1977000
s a	întâmplat	1976000
s ar	putea	1965000
cel mai	mare	1954000
pe care	îl	1948000
ar putea	să	1932000
va avea	loc	1922000
în care	a	1917000
în care	se	1914000
se pare	că	1900000
la fața	locului	1892000
trebuie să	fie	1836000
a fost	o	1828000
a fost	un	1802000
a reușit	să	1785000
modul în	care	1783000
se află	în	1769000
de peste	de	1751000
a ajuns	la	1747000
ce a	fost	1737000
pe care	l	1727000
din punct	de	1710000
pe termen	lung	1709000
pentru a	se	1706000
în jurul	orei	1690000
au fost	de	1676000
mai mult	de	1674000
de miliarde	de	1670000
momentul în	care	1667000
având în	vedere	1655000
pentru a	și	1634000
nu au	fost	1612000
care l	a	1610000
și pentru	a	1584000
din ce	în	1574000
ce în	ce	1565000
în ce	mai	1559000
cei care	au	1557000
de mii	de	1557000
în ultimii	ani	1557000
a fost	în	1516000
în acest	an	1516000
și de	a	1508000
la fel	de	1504000
și a	fost	1483000
pentru cei	care	1481000
în același	timp	1476000
unul dintre	cele	1468000
a precizat	că	1453000
a început	să	1442000
cele mai	mari	1441000
care i	a	1429000
pentru că	nu	1422000
de ani	și	1414000
a anunțat	că	1401000
pentru prima	dată	1382000
în acest	moment	1381000
de cuvânt	al	1379000
ani a	fost	1375000
că ar	fi	1375000
de a	se	1372000
de de	euro	1371000
care s	au	1370000
cele mai	multe	1363000
în data	de	1361000
de a	fi	1349000
în primul	rând	1343000
avut loc	în	1341000
cel mai	bun	1334000
la data	de	1320000
în acest	sens	1315000
pentru a	fi	1308000
de altă	parte	1307000
nu trebuie	să	1307000
s a	produs	1305000
pe de	altă	1303000
de la	o	1301000
mai bine	de	1296000
a intrat	în	1295000
bărbat de	de	1293000
un bărbat	de	1274000
este important	să	1264000
la de	ani	1249000
și s	a	1246000
cazul în	care	1234000
în cazul	în	1234000
pe măsură	ce	1232000
ce se	întâmplă	1215000
a avut	o	1213000
după ce	au	1208000
cea de	a	1201000
la fel	ca	1198000
unul dintre	cei	1197000
o perioadă	de	1191000
care a	avut	1176000
miliarde de	dolari	1174000
acesta a	fost	1168000
a decis	să	1159000
este cel	mai	1159000
în mai	multe	1157000
la un	moment	1153000
cea mai	bună	1151000
că nu	a	1147000
de ce	nu	1143000
de până	la	1143000
pentru a	face	1143000
de la	începutul	1135000
rețelele de	socializare	1133000
dintre cei	mai	1131000
până la	de	1124000
la vârsta	de	1112000
un moment	dat	1112000
că s	a	1103000
se confruntă	cu	1101000
ani de	la	1099000
milioane de	dolari	1094000
de mai	multe	1091000
de la	la	1088000
în cele	din	1088000
cele din	urmă	1084000
au fost	în	1083000
care ar	fi	1080000
are nevoie	de	1074000
de a	face	1071000
pe rețelele	de	1070000
s ar	fi	1069000
o astfel	de	1066000
a încercat	să	1065000
pe care	a	1065000
mai ales	în	1062000
între și	de	1061000
cei de	la	1059000
a subliniat	că	1055000
a făcut	o	1053000
nu ar	fi	1051000
ca urmare	a	1050000
miliarde de	euro	1050000
persoane au	fost	1049000
în această	perioadă	1048000
de ani	care	1042000
este vorba	de	1036000
trebui să	fie	1019000
au început	să	1015000
peste milioane	de	1012000
care trebuie	să	1010000
de la	de	1010000
de la	un	1009000
care nu	au	1008000
cele mai	bune	1005000
i s	a	1004000
într un	comunicat	1002000
pe site	ul	999000
în momentul	în	999000
în acest	caz	995000
au reușit	să	984000
mai puțin	de	983000
