# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection swe_news_2023_1M.tar.gz (swe_news_2023_1M/swe_news_2023_1M-sentences.txt)
# Source: Tatoeba Swedish sentence export (CC BY 2.0 FR; 56,818 sentences; weight=20; caps=100/50)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
för	att	51948000
det	är	44638000
att	det	26395000
är	det	20889000
i	en	19756000
är	en	16917000
det	var	15989000
om	att	14980000
i	ett	14232000
på	en	13955000
kommer	att	13065000
på	att	12907000
i	den	12793000
att	de	12764000
att	han	12518000
en	av	12451000
med	en	12399000
efter	att	12229000
som	är	12012000
och	det	11458000
bland	annat	11388000
att	få	10956000
med	att	10613000
men	det	10434000
att	ha	10265000
är	att	10229000
har	en	10215000
det	finns	10069000
till	att	9861000
och	en	9679000
in	i	9235000
är	inte	9187000
av	en	9074000
som	en	9056000
i	sverige	8991000
en	ny	8905000
av	de	8836000
det	här	8653000
vi	har	8566000
är	ett	8525000
att	ta	8483000
om	det	8316000
den	här	8299000
på	ett	8267000
till	en	8240000
det	har	8229000
för	en	8206000
det	inte	8161000
har	varit	8094000
att	vi	8069000
i	år	8049000
och	har	7993000
i	dag	7903000
det	som	7770000
var	det	7757000
som	har	7753000
att	man	7341000
i	det	7231000
och	i	7197000
jag	har	7108000
på	den	7037000
på	i	6967000
en	man	6923000
och	att	6860000
nu	är	6829000
vad	som	6639000
är	i	6601000
om	en	6513000
och	med	6436000
efter	en	6280000
del	av	6142000
har	inte	6097000
på	grund	6061000
inte	att	5993000
har	fått	5959000
grund	av	5956000
på grund	av	5850000
jag	är	5838000
att det	är	5837000
är	på	5831000
en	del	5810000
är	den	5791000
en	stor	5752000
när	det	5697000
på	det	5655000
var	en	5615000
han	har	5579000
år	sedan	5515000
här	är	5498000
som	inte	5486000
med	i	5429000
sig	i	5387000
nu	har	5337000
just	nu	5320000
med	ett	5293000
när	han	5272000
tillsammans	med	5269000
mer	än	5252000
av	den	5195000
på	väg	5183000
säger	att	5169000
i	sin	5091000
han	är	5088000
de	som	5082000
det	blir	5076000
för	det	5030000
det är	en	4954000
för	den	4880000
vi	är	4863000
svårt	att	4821000
har	det	4779000
de	har	4707000
säger	han	4662000
inte	är	4649000
finns	det	4644000
och	är	4633000
den	som	4620000
de	senaste	4602000
förra	året	4565000
av	att	4527000
med	det	4501000
ska	ha	4492000
så	mycket	4376000
de	är	4357000
så	att	4350000
samband	med	4310000
för	ett	4309000
till	och	4303000
tror	att	4301000
har	ett	4274000
och	de	4250000
kan	inte	4242000
i samband	med	4238000
men	jag	4190000
miljoner	kronor	4181000
var	i	4172000
efter att	ha	4150000
genom	att	4150000
som	i	4073000
han	inte	4072000
av	det	4027000
en	i	4017000
han	var	4014000
jag	inte	3993000
har	blivit	3987000
när	jag	3954000
med	den	3928000
som	ett	3914000
ett	av	3913000
till	den	3903000
en	annan	3896000
med	sin	3875000
man	i	3851000
kan	vara	3816000
sig	till	3816000
blev	kronor	3812000
som	kan	3793000
något	som	3760000
första	gången	3747000
har	gjort	3740000
hon	har	3735000
trots	att	3723000
den	nya	3717000
jag	tror	3716000
göra	det	3710000
som	jag	3680000
vi	kan	3672000
det är	inte	3671000
fram	till	3669000
ha	en	3643000
till	ett	3632000
tycker	att	3630000
om	den	3627000
fastigheten	på	3594000
gör	det	3541000
en	gång	3536000
även	om	3533000
upp	i	3515000
inte	bara	3514000
av	dem	3497000
var	inte	3497000
jag	vill	3485000
med	och	3458000
hon	är	3441000
var	på	3434000
ut	i	3420000
inte	så	3415000
ett	stort	3408000
den	första	3407000
för	mig	3406000
jag	kan	3386000
ett	nytt	3375000
upp	till	3334000
den	är	3318000
slutet	av	3317000
men det	är	3301000
vill	ha	3300000
kommer	inte	3298000
handlar	om	3297000
ett	par	3292000
boyta	på	3287000
boyta på	kvadratmeter	3287000
detta	är	3271000
ett	år	3270000
vill	inte	3270000
för	de	3268000
jag	var	3264000
vi	inte	3263000
vi	måste	3258000
kan	vi	3256000
vi	ska	3245000
hoppas	att	3240000
inte	har	3239000
procent	av	3233000
jag	tycker	3221000
om	man	3219000
den	svenska	3195000
inte	på	3192000
när	de	3174000
hur	mycket	3169000
sig	för	3168000
han	hade	3162000
en boyta	på	3147000
år	och	3144000
för att	få	3139000
av	ett	3137000
de	två	3131000
om	du	3103000
de	här	3090000
till	det	3089000
vara	en	3067000
man	kan	3065000
in	på	3062000
bor	i	3046000
sig	att	3045000
om	jag	3039000
vad	är	3035000
jämfört	med	3021000
sig	på	3020000
har en	boyta	3018000
ska	vara	3016000
om	de	3015000
god	morgon	3000000
jag	vet	3000000
tack	så	3000000
hon	var	2997000
hur	många	2986000
man	inte	2964000
kan	du	2962000
huset	är	2961000
blir	det	2957000
hade	en	2957000
att det	inte	2945000
en del	av	2943000
när	man	2925000
inte	det	2899000
inte	om	2896000
ut	på	2892000
vet	inte	2890000
vet	att	2883000
varje	dag	2869000
ser	ut	2859000
är en	av	2803000
utan	att	2801000
var	ett	2787000
under	en	2771000
för	mycket	2764000
kan	man	2753000
det är	ett	2752000
blev	det	2751000
delar	av	2751000
de	flesta	2748000
finns	en	2741000
nu är	det	2738000
samtidigt	som	2737000
ska	vi	2737000
mig	att	2726000
en av	de	2705000
en man	i	2702000
skulle	kunna	2685000
till	exempel	2685000
du	kan	2681000
för att	ha	2680000
säger	hon	2659000
plats	i	2656000
och det	är	2655000
till	slut	2650000
i slutet	av	2648000
men	i	2648000
början	av	2640000
du	har	2631000
bara	en	2629000
att det	var	2622000
kan	jag	2620000
du	är	2614000
ett	pressmeddelande	2604000
du	inte	2588000
vi	kommer	2588000
vad	jag	2585000
nya	ägare	2573000
men	nu	2557000
man	har	2542000
vem	som	2536000
de	inte	2531000
den	där	2512000
från	en	2511000
kunde	inte	2509000
år	har	2506000
sig	själv	2494000
sa	att	2481000
det här	är	2463000
innebär	att	2444000
dags	för	2430000
du	att	2427000
mellan	och	2416000
han	kommer	2408000
man i	årsåldern	2405000
familjen	kommer	2400000
god	kväll	2400000
hör	av	2400000
inga	problem	2400000
kunden	frågar	2400000
mötet	börjar	2400000
telefonen	laddar	2400000
till	imorgon	2400000
tåget	går	2400000
vi	ses	2400000
kan	det	2394000
trodde	att	2390000
tror	inte	2371000
när	hon	2369000
den	andra	2365000
gör	att	2336000
vad	har	2328000
förra	veckan	2326000
du	om	2318000
barn	och	2316000
du	på	2314000
adressen	i	2306000
vill	du	2304000
får	inte	2301000
kan	göra	2301000
tycker	inte	2301000
får	jag	2300000
hur	man	2293000
på adressen	i	2292000
tycker	om	2291000
i början	av	2287000
