# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection slk_newscrawl_2011_1M.tar.gz (slk_newscrawl_2011_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
partner vášho	portfólia	3987000
dobrý	deň	3000000
neviem	ešte	3000000
ďakujem	pekne	3000000
v tomto	roku	2904000
dobré	ráno	2800000
prosím	ťa	2800000
hlavné menu	rubrika	2711000
sekcia hlavné	menu	2711000
menu rubrika	tlačený	2697000
rubrika tlačený	trend	2697000
myslím	že	2600000
v	poriadku	2600000
s r	o	2531000
bez	problému	2400000
dobré ráno	ďakujem	2400000
klient	žiada	2400000
lekáreň	zatvára	2400000
neviem ešte	prosím	2400000
ozvi	sa	2400000
rodina	príde	2400000
schôdzka	začína	2400000
telefón	sa	2400000
uvidíme	sa	2400000
vlak	odchádza	2400000
o tom	že	1994000
na druhej	strane	1844000
s tým	že	1823000
v porovnaní	s	1737000
dnes oslavuje	rudolf	1723000
na to	aby	1723000
oslavuje rudolf	zajtra	1723000
napriek tomu	že	1722000
poslať článok	email	1654000
článok email	email	1654000
v súvislosti	s	1577000
pre pridanie	príspevku	1418000
na rozdiel	od	1377000
na to	že	1357000
do diskusie	sa	1262000
diskusie sa	musíte	1258000
musíte najskôr	prihlásiť	1258000
pridanie príspevku	do	1258000
príspevku do	diskusie	1258000
sa musíte	najskôr	1258000
diskusia reakcií	pre	1244000
reakcií pre	pridanie	1244000
to nie	je	1221000
po tom	čo	1167000
po tom	ako	1119000
nie je	to	1116000
myslím si	že	1109000
v minulom	roku	1102000
so spracovaním	osobných	1063000
spracovaním osobných	údajov	1063000
a čiarkou	súhlasím	1060000
email vo	formáte	1060000
formáte meno	a	1060000
meno a	čiarkou	1060000
súhlasím so	spracovaním	1060000
vo formáte	meno	1060000
čiarkou súhlasím	so	1060000
spojené štáty	americké	1055000
že je	to	988000
v tom	čase	978000
v tom	že	966000
sme online	zahraničie	923000
a tak	sa	889000
čo sa	týka	863000
článok obsahuje	video	851000
a s	bratislava	848000
o tejto	relácii	846000
byť zaregistrovaný	a	845000
fóre o	tejto	845000
musíte byť	zaregistrovaný	845000
pre vytvorenie	témy	845000
relácii musíte	byť	845000
tejto relácii	musíte	845000
témy vo	fóre	845000
vo fóre	o	845000
vytvorenie témy	vo	845000
zaregistrovaný a	prihlásený	845000
v banskej	bystrici	823000
v tomto	prípade	822000
v roku	sa	794000
by sa	mal	786000
by som	sa	785000
pre agentúru	sita	785000
podľa jeho	slov	780000
v prvom	rade	769000
by sa	mali	736000
v tejto	súvislosti	723000
prešov čítané	krát	713000
portfólia články	autora	710000
vášho portfólia	články	710000
ak by	sa	701000
aj napriek	tomu	691000
v prípade	že	683000
aj to	že	678000
že ide	o	665000
v spolupráci	s	655000
že by	sa	652000
bratislava slovník	slov	632000
jazyka počet	návštev	632000
počet návštev	celkovo	632000
slov jazyka	počet	632000
slovník slov	jazyka	632000
v súlade	s	632000
úrad bratislava	slovník	632000
o tom	ako	629000
bez ohľadu	na	618000
na budúci	rok	618000
by mal	byť	615000
v čase	keď	615000
v dolnom	kubíne	613000
na slovensku	sa	612000
v rozhovore	pre	612000
poprad čítané	krát	602000
po prvý	raz	599000
v roku	v	598000
bez toho	aby	594000
za to	že	592000
vyplýva to	z	587000
by sa	mala	586000
to aby	sa	581000
to znamená	že	579000
v roku	a	579000
na slovensku	je	572000
v týchto	dňoch	571000
do konca	roka	569000
v hlavnom	meste	563000
spoločnosti s	r	549000
ale aj	v	543000
nie je	v	541000
v tejto	oblasti	537000
by mali	byť	535000
sekcia televízia	rubrika	533000
zdá sa	že	532000
v posledných	rokoch	531000
nie je	možné	526000
televízia rubrika	televízia	526000
by mala	byť	519000
v ktorom	sa	511000
si myslí	že	509000
v rokoch	až	508000
o viac	ako	507000
a to	je	505000
in pre	prehrávanie	502000
nemáte potrebný	plug	502000
plug in	pre	502000
potrebný plug	in	502000
pre prehrávanie	videa	502000
prehrávanie videa	iba	502000
v budúcom	roku	502000
videa iba	náhľad	502000
rubrika televízia	správy	497000
aj na	slovensku	496000
na začiatok	článku	496000
späť na	začiatok	496000
začiatok článku	diskusia	496000
generuje redakčný	systém	494000
live score	stránky	494000
o generované	ms	494000
r o	generované	494000
redakčný systém	spoločnosti	494000
score stránky	generuje	494000
stránky generuje	redakčný	494000
systém spoločnosti	s	494000
výsledky zabezpečuje	live	494000
zabezpečuje live	score	494000
športové výsledky	zabezpečuje	494000
vo vysokých	tatrách	493000
pred dvoma	rokmi	484000
sa v	roku	479000
sekcia ekonomika	rubrika	477000
však nie	je	475000
na prvý	pohľad	473000
sa na	to	466000
spolková republika	nemecko	466000
aj v	tomto	464000
na tom	že	464000
národnej rady	sr	463000
čítané krát	prešov	457000
slovákov v	maďarsku	456000
to že	sa	455000
vo veku	rokov	452000
si myslím	že	445000
a to	aj	443000
