# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection swe_news_2023_1M.tar.gz (swe_news_2023_1M/swe_news_2023_1M-sentences.txt)
# Source: Tatoeba Swedish sentence export (CC BY 2.0 FR; 56,818 sentences; weight=20; caps=100/50)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
på grund	av	5850000
att det	är	5837000
det är	en	4954000
i samband	med	4238000
efter att	ha	4150000
det är	inte	3671000
men det	är	3301000
boyta på	kvadratmeter	3287000
det	är	3200000
en boyta	på	3147000
för att	få	3139000
har en	boyta	3018000
god	morgon	3000000
jag	vet	3000000
tack	så	3000000
att det	inte	2945000
en del	av	2943000
är en	av	2803000
jag	tror	2800000
så	mycket	2800000
det är	ett	2752000
nu är	det	2738000
en av	de	2705000
en man	i	2702000
för att	ha	2680000
och det	är	2655000
i slutet	av	2648000
att det	var	2622000
det här	är	2463000
man i	årsåldern	2405000
familjen	kommer	2400000
god	kväll	2400000
hör	av	2400000
inga	problem	2400000
kunden	frågar	2400000
mötet	börjar	2400000
telefonen	laddar	2400000
till	imorgon	2400000
tåget	går	2400000
vi	ses	2400000
på adressen	i	2292000
i början	av	2287000
till och	med	2279000
det var	en	2239000
för första	gången	2226000
och har	en	2204000
i ett	pressmeddelande	2192000
priset blev	kronor	2096000
blev klart	i	2065000
att han	inte	2000000
det finns	en	1888000
jag tror	att	1825000
är på	väg	1809000
fastigheten på	adressen	1806000
när det	gäller	1783000
sig för	att	1779000
att det	finns	1777000
huset är	byggt	1705000
och priset	blev	1610000
för att	kunna	1604000
det handlar	om	1599000
de senaste	åren	1597000
att göra	det	1591000
kommer inte	att	1583000
i den	här	1582000
det kommer	att	1580000
att han	är	1568000
det har	varit	1527000
det var	inte	1522000
det var	ett	1495000
i alla	fall	1491000
jag tycker	att	1489000
vad är	det	1480000
i stället	för	1473000
jag vet	inte	1449000
för att	ta	1437000
och det	har	1400000
fastigheten på	i	1398000
att jag	inte	1397000
det är	dags	1395000
jag kan	inte	1366000
här är	en	1346000
han är	en	1338000
jag hoppas	att	1336000
tror inte	att	1336000
att jag	är	1333000
jag har	inte	1330000
är det	som	1324000
med hjälp	av	1322000
håller på	att	1321000
är inte	så	1311000
det var	i	1306000
det är	svårt	1306000
vi kommer	att	1298000
en hel	del	1297000
det är	bara	1283000
är svårt	att	1280000
från och	med	1276000
jag vet	att	1276000
jag tror	inte	1272000
att hon	inte	1270000
jag är	inte	1270000
den här	gången	1245000
jag känner	mig	1231000
är det	inte	1231000
jag har	aldrig	1223000
jag vill	inte	1218000
