# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ces_news_2024_1M.tar.gz (ces_news_2024_1M/ces_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
s tím	že	3677000
to	je	3200000
dobrý	den	3000000
děkuji	moc	3000000
já	vím	3000000
prosím	tě	2800000
já	myslím	2600000
bez	problému	2400000
dej	vědět	2400000
dobré	ráno	2400000
klient	žádá	2400000
lékárna	zavírá	2400000
rodina	přijede	2400000
schůzka	začíná	2400000
telefon	nabíjí	2400000
uvidíme	se	2400000
vlak	odjíždí	2400000
o tom	že	2357000
na sociálních	sítích	2048000
na to	že	1719000
na sociální	síti	1592000
od té	doby	1525000
že by	se	1339000
v souvislosti	s	1264000
k tomu	že	1228000
o procenta	na	1170000
v noci	na	1159000
v době	kdy	1140000
že je	to	1139000
na rozdíl	od	1131000
v pásmu	gazy	1100000
v rozhovoru	pro	1074000
v posledních	letech	1073000
na druhou	stranu	1040000
s odvoláním	na	1034000
za to	že	992000
v poslední	době	963000
na tiskové	konferenci	945000
v té	době	941000
premiér petr	fiala	915000
v české	republice	859000
se jedná	o	816000
v roce	se	798000
v současné	době	788000
je podle	něj	770000
prezident petr	pavel	765000
k tomu	aby	762000
v tom	že	725000
ve chvíli	kdy	716000
podle agentury	reuters	703000
s ohledem	na	696000
že jde	o	695000
o tom	jak	694000
v reakci	na	685000
do evropského	parlamentu	683000
to že	se	673000
na první	pohled	669000
v roce	a	669000
poté co	se	668000
vzhledem k	tomu	668000
v tomto	případě	655000
myslím si	že	644000
na to	aby	639000
jedná se	o	638000
v čele	s	635000
v roce	kdy	633000
v letech	až	632000
po celém	světě	623000
před dvěma	lety	623000
v tuto	chvíli	622000
do té	doby	618000
na druhé	straně	608000
na síti	x	606000
a to	je	594000
se podle	něj	592000
s odkazem	na	591000
v tu	chvíli	589000
sociální síti	x	587000
v příštím	roce	585000
ukrajinský prezident	volodymyr	584000
na tom	že	580000
v prvním	kole	574000
a tak	se	568000
v případě	že	561000
tím že	se	558000
vyplývá to	z	556000
se na	to	548000
ve spojených	státech	548000
a to	i	546000
se s	ním	546000
o více	než	545000
v tiskové	zprávě	545000
petr fiala	ods	543000
co se	týče	538000
má za	sebou	533000
v loňském	roce	533000
na mistrovství	světa	531000
v roce	v	526000
ve věku	let	522000
mistrovství světa	v	519000
si myslím	že	519000
války na	ukrajině	513000
prezident vladimir	putin	510000
ve srovnání	s	510000
i když	se	508000
pro místní	rozvoj	508000
kvůli tomu	že	503000
ve spolupráci	s	501000
jsem rád	že	495000
bez ohledu	na	491000
