# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection hrv_news_2020_1M.tar.gz (hrv_news_2020_1M/hrv_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
nakon što	je	6242000
je da	je	5726000
kako bi	se	5047000
da će	se	4976000
s obzirom	na	4161000
u odnosu	na	4014000
riječ je	o	4000000
što se	tiče	3463000
je da	se	3432000
u posljednja	sata	3327000
je riječ	o	3289000
da je	u	3115000
dobar	dan	3000000
hvala	puno	3000000
ne	znam	3000000
molim	te	2800000
je kako	je	2660000
dobro	jutro	2600000
mislim	da	2600000
u	redu	2600000
je da	će	2595000
i da	je	2542000
stožer civilne	zaštite	2537000
da je	to	2508000
se da	će	2507000
na to	da	2418000
apoteka	zatvara	2400000
bez	problema	2400000
javi	se	2400000
klijent	pita	2400000
obitelj	dolazi	2400000
sastanak	počinje	2400000
telefon	se	2400000
vidimo	se	2400000
vlak	polazi	2400000
za javno	zdravstvo	2350000
da bi	se	2287000
stožera civilne	zaštite	2247000
koji je	u	2162000
i da	se	2123000
kao što	je	2117000
od kojih	je	2061000
nakon što	su	2047000
je rekao	da	2030000
rekao je	da	2022000
je da	su	2001000
u protekla	sata	1956000
ono što	je	1944000
u ovom	trenutku	1929000
u kojoj	je	1925000
s druge	strane	1917000
na društvenim	mrežama	1905000
radi se	o	1893000
se da	je	1889000
a to	je	1880000
da se	u	1833000
u kojem	je	1823000
obzirom na	to	1802000
se radi	o	1764000
i to	je	1752000
bez obzira	na	1670000
nadam se	da	1653000
novih slučajeva	zaraze	1611000
i da	će	1608000
koji su	se	1598000
kako će	se	1506000
virovitičko podravske	županije	1500000
da se	ne	1486000
prije nego	što	1485000
je i	da	1484000
će se	u	1482000
kao što	su	1480000
što je	u	1451000
je jedan	od	1432000
koji su	u	1429000
je u	petak	1423000
u sad	u	1418000
zavoda za	javno	1393000
kaže da	je	1384000
za razliku	od	1381000
da će	biti	1312000
je više	od	1307000
je u	srijedu	1303000
na taj	način	1303000
u skladu	s	1296000
što znači	da	1283000
su se	u	1279000
s obzirom	da	1250000
je u	četvrtak	1244000
je u	ponedjeljak	1241000
na konferenciji	za	1210000
koji je	bio	1207000
od početka	epidemije	1204000
te da	je	1203000
je u	subotu	1198000
koja je	u	1196000
čini se	da	1177000
u borbi	protiv	1174000
je u	utorak	1168000
je u	nedjelju	1151000
nakon što	se	1124000
nego što	je	1118000
u kojoj	se	1111000
to znači	da	1077000
u hrvatskoj	je	1069000
da je	riječ	1058000
da su	se	1057000
u kojem	se	1057000
koji će	se	1047000
ljudi koji	su	1043000
koji su	bili	1031000
u suradnji	s	1003000
na području	županije	1002000
da su	u	998000
je bio	u	987000
će se	i	985000
rekao da	je	983000
za starije	i	974000
da se	radi	965000
dodao je	da	953000
što se	događa	953000
da se	na	949000
oni koji	su	939000
to da	je	936000
do sada	je	934000
je i	kako	934000
i da	su	930000
što je	to	924000
kazao je	da	923000
mislim da	je	919000
nešto više	od	913000
kako je	u	906000
je do	sada	899000
i kako	je	896000
da je	na	884000
da mu	je	877000
na rtl	u	875000
rekao je	u	873000
broj aktivnih	slučajeva	860000
više od	milijuna	855000
je i	dalje	851000
je kako	se	850000
budući da	je	848000
se i	na	845000
županijski stožer	civilne	841000
u kojima	je	836000
bosne i	hercegovine	834000
konferenciji za	novinare	829000
su se	i	829000
hoće li	se	823000
kada je	riječ	815000
koji je	na	811000
u općoj	bolnici	811000
i to	u	804000
što će	biti	804000
od početka	pandemije	800000
navodi se	u	791000
smatra da	je	786000
te da	se	786000
da će	u	775000
u kbc	u	772000
što će	se	770000
je jedna	od	767000
se ne	može	766000
kako je	to	763000
sve što	je	761000
ne znači	da	756000
je kako	su	754000
onih koji	su	754000
koje su	se	750000
je kako	će	745000
da je	i	742000
u dobi	od	741000
od čega	je	739000
bio je	to	738000
reći da	je	736000
o tome	da	732000
u svakom	slučaju	731000
u zadnja	sata	730000
koja je	bila	729000
od milijuna	kuna	720000
u kojem	su	715000
da se	i	712000
u toj	zemlji	710000
tako da	je	708000
su se	na	707000
u kojoj	su	704000
od kojih	su	695000
je novih	slučajeva	694000
prije nekoliko	dana	694000
i koji	je	693000
te da	će	692000
aktivnih slučajeva	u	690000
na neki	način	690000
su bili	u	685000
pa čak	i	681000
je kazao	da	680000
više od	ljudi	680000
rekao je	kako	679000
bosni i	hercegovini	678000
je došlo	do	677000
zbog čega	je	677000
kao da	je	675000
u iznosu	od	674000
u kojima	se	673000
hrvatskog zavoda	za	670000
ono što	se	670000
je bio	i	668000
će se	na	668000
što se	dogodilo	666000
i koji	su	662000
na kraju	je	661000
se nalazi	u	658000
će se	održati	658000
kada je	u	656000
nadamo se	da	656000
je koji	je	655000
znači da	je	655000
dok je	u	653000
je na	kraju	652000
o tome	kako	652000
u new	yorku	652000
nacionalni stožer	civilne	647000
rekao je	i	643000
u kontaktu	s	643000
od toga	u	640000
zbog toga	što	640000
doma za	starije	637000
u hdz	u	637000
u jednom	trenutku	635000
je rekao	kako	633000
više od	tisuća	633000
je ukupno	osoba	628000
među njima	je	626000
se da	se	625000
splitsko dalmatinske	županije	623000
da se	to	619000
je u	pitanju	618000
kazao je	kako	616000
način na	koji	615000
se da	su	613000
koji su	na	612000
nacionalnog stožera	civilne	610000
je županijski	stožer	609000
slučajeva u	hrvatskoj	609000
koje su	u	608000
to što	je	604000
za infektivne	bolesti	604000
baš kao	i	603000
u bosni	i	603000
u slučaju	da	602000
je na	konferenciji	599000
je bio	na	597000
zato što	je	597000
da će	to	595000
tako da	se	592000
što je	i	591000
održat će	se	588000
u vezi	s	588000
nova slučaja	zaraze	587000
pa tako	i	586000
da je	bio	584000
obzira na	to	584000
vjerujem da	će	580000
koji će	biti	578000
bila je	to	577000
više od	posto	576000
je u	hrvatskoj	575000
u ovom	slučaju	575000
toga u	posljednja	574000
u to	vrijeme	573000
jedan je	od	570000
su da	je	569000
u roku	od	568000
tvrdi da	je	566000
a onda	je	565000
je i	na	564000
u hrvatskoj	danas	562000
od toga	je	559000
i na	kraju	558000
u hrvatskoj	i	556000
je u	minuti	555000
i dalje	je	554000
se da	ćemo	554000
to da	se	553000
što je	bilo	553000
prije dvije	godine	552000
će to	biti	550000
u posljednje	vrijeme	548000
do danas	je	547000
na kojoj	je	547000
istaknuo je	da	543000
što mu	je	542000
da je	ovo	541000
na način	da	539000
osobe koje	su	539000
d o	o	538000
dodao je	kako	537000
koja je	na	537000
ministar unutarnjih	poslova	537000
za one	koji	536000
i što	je	535000
da je	sve	534000
je bila	u	534000
s više	od	534000
da je	za	533000
u ligi	prvaka	531000
da je	on	530000
u isto	vrijeme	530000
osoba od	toga	526000
u razgovoru	za	526000
u tom	trenutku	525000
obzirom da	je	523000
rekao je	za	523000
prvi put	u	520000
je što	je	519000
sve od	sebe	519000
i bit	će	515000
je ono	što	510000
kad je	riječ	510000
te da	su	510000
ali to	je	509000
u borbi	za	509000
u drugom	dijelu	508000
je jedna	osoba	507000
da će	i	506000
na kojem	je	506000
u petak	je	505000
je prvi	put	504000
i kako	se	503000
sve ono	što	503000
što je	bio	503000
još uvijek	nije	502000
s kojim	je	502000
u usporedbi	s	502000
znači da	će	502000
ne može	biti	499000
bit će	to	497000
do kraja	godine	497000
u velikoj	britaniji	496000
