# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection slv_news_2020_1M.tar.gz (slv_news_2020_1M/slv_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
se je	v	4257000
da se	je	3983000
ki ga	je	3956000
ki se	je	3941000
pa se	je	3814000
ki jih	je	3463000
da bi	se	3378000
ki jo	je	3120000
dober	dan	3000000
hvala	lepa	3000000
ne	vem	3000000
ki je	v	2801000
dobro	jutro	2800000
prosim	te	2800000
okužb z	novim	2782000
je da	je	2601000
mislim	da	2600000
v	redu	2600000
da se	bo	2511000
ki je	bil	2455000
ki so	jih	2451000
ki so	se	2437000
brez	težav	2400000
dobro jutro	hvala	2400000
družina	pride	2400000
javi	se	2400000
lekarna	zapira	2400000
ne vem	še	2400000
se	vidimo	2400000
sestanek	se	2400000
stranka	sprašuje	2400000
telefon	se	2400000
vlak	odhaja	2400000
je bilo	v	2313000
ko se	je	2305000
potem ko	je	2164000
naj bi	se	2158000
se je	na	2149000
da je	bil	2132000
ki naj	bi	2121000
da je	v	2106000
ki so	ga	2101000
je bil	v	2059000
da gre	za	1947000
ne glede	na	1898000
po njegovih	besedah	1836000
je da	se	1815000
glede na	to	1793000
ki so	bili	1764000
da bi	lahko	1695000
ki so	v	1691000
pa je	bil	1688000
v tem	času	1657000
je dejal	da	1629000
da je	bila	1610000
ki je	bila	1596000
na to	da	1591000
pa naj	bi	1586000
da je	to	1581000
in s	tem	1575000
so se	v	1574000
da so	se	1565000
ki so	jo	1511000
da je	bilo	1488000
za javno	zdravje	1480000
v zadnjih	urah	1447000
pa je	v	1433000
na spletni	strani	1403000
v zadnjih	letih	1390000
pa so	se	1388000
kar pomeni	da	1374000
v skladu	z	1350000
okužbe z	novim	1334000
da so	v	1317000
so sporočili	iz	1306000
da se	bodo	1298000
je bila	v	1290000
pa je	tudi	1290000
se je	po	1266000
v zadnjih	dneh	1251000
na drugi	strani	1248000
in da	je	1240000
na ministrstvu	za	1239000
pa je	da	1225000
v primerjavi	z	1202000
se je	tudi	1200000
pa je	bilo	1198000
ob tem	je	1191000
v času	epidemije	1188000
so bili	v	1177000
že več	kot	1166000
je da	so	1164000
to pomeni	da	1164000
jih je	bilo	1142000
ki je	na	1142000
medtem ko	je	1142000
v teh	dneh	1124000
potem ko	so	1123000
v tem	primeru	1098000
v tem	trenutku	1094000
po drugi	strani	1083000
za to	da	1063000
naj bi	bil	1062000
pa je	bila	1053000
je povedal	da	1052000
je ob	tem	1045000
ne bi	bilo	1045000
naj bi	bila	1041000
je bil	na	1040000
na družbenih	omrežjih	1038000
je še	vedno	1027000
dejal da	je	1017000
se je	z	1016000
okužbo z	novim	1008000
je bil	tudi	1007000
bi se	lahko	994000
v zadnjem	dnevu	994000
da naj	bi	975000
v katerem	je	973000
je med	drugim	953000
da se	v	948000
in dodal	da	946000
ko je	bil	946000
je v	zadnjih	942000
so v	zadnjih	940000
o tem	da	935000
v skladu	s	930000
da je	treba	926000
je tudi	da	923000
po tem	ko	917000
po vsem	svetu	915000
se bo	v	913000
v zadnjem	času	909000
v zvezi	z	895000
potrdili novih	okužb	894000
je bilo	na	892000
so se	na	892000
v domovih	za	887000
domovih za	starejše	886000
na intenzivni	negi	886000
in da	se	883000
da bi	bilo	880000
v kateri	je	878000
do konca	leta	877000
pa se	bo	872000
je več	kot	871000
v času	ko	871000
v zvezi	s	866000
pa jih	je	863000
ob tem	pa	855000
da se	ne	853000
da ne	bo	846000
v sloveniji	je	835000
več kot	ljudi	835000
tako da	je	833000
je v	tem	825000
ne bo	več	824000
da so	bili	822000
kljub temu	da	818000
na novinarski	konferenci	818000
da je	na	816000
pa je	na	807000
pravi da	je	807000
prav tako	je	802000
ko je	v	795000
v skupnem	seštevku	795000
kjer se	je	789000
po njenih	besedah	789000
minister za	zdravje	788000
v tej	sezoni	787000
o tem	kako	786000
ki so	na	779000
med in	uro	776000
dodal je	da	765000
se je	s	765000
se je	za	764000
se je	zgodilo	757000
za zajezitev	širjenja	751000
ljudi ki	so	746000
v prihodnjih	dneh	741000
je šlo	za	740000
da ne	bi	739000
francoska tiskovna	agencija	738000
so sporočili	da	738000
v primerjavi	s	737000
tiskovna agencija	afp	736000
ki je	po	734000
ne gre	za	733000
nekaj več	kot	732000
to da	je	731000
pri tem	pa	727000
da je	za	726000
naj bi	bilo	725000
ko so	se	723000
drugi strani	pa	720000
pa so	v	719000
nacionalnega inštituta	za	717000
pomeni da	je	708000
se je	že	703000
ne pomeni	da	699000
tisti ki	so	694000
inštituta za	javno	693000
da bo	v	692000
leta ko	je	690000
je da	bo	689000
je še	da	686000
med letoma	in	683000
ko je	bila	675000
če bi	se	674000
kot je	dejal	672000
in se	je	668000
je tudi	v	666000
v new	yorku	666000
ki so	bile	664000
ministrstva za	zdravje	664000
pri tem	je	660000
da bi	bil	656000
bolj ali	manj	652000
saj se	je	652000
medtem ko	so	650000
jih je	v	649000
pomembno je	da	649000
v enem	dnevu	647000
a se	je	644000
povedal da	je	644000
za notranje	zadeve	644000
je bilo	tudi	643000
v boju	proti	642000
je še	dejal	639000
kot je	bilo	639000
v stiku	z	638000
na ta	način	635000
ne da	bi	634000
to da	se	634000
po njegovem	mnenju	633000
je poudaril	da	630000
novih okužb	z	630000
ministrstvo za	zdravje	629000
da se	lahko	624000
je prav	tako	624000
za več	kot	623000
to je	bil	621000
v zadnjih	tednih	621000
ki se	bo	618000
ki mu	je	615000
med njimi	je	615000
se mu	je	613000
s tem	da	609000
za tiste	ki	605000
je da	bi	604000
je bila	tudi	603000
je v	petek	602000
kilometrov na	uro	601000
ko je	bilo	601000
v sodelovanju	z	601000
če se	bo	598000
in to	je	597000
je bila	na	594000
ukrepov za	zajezitev	594000
poroča francoska	tiskovna	593000
na tem	področju	588000
se je	da	583000
v boju	za	579000
med drugim	je	577000
nemška tiskovna	agencija	577000
je v	torek	576000
v drugi	polovici	576000
za zdaj	še	576000
ministrstvu za	zdravje	572000
se mi	je	572000
je v	sloveniji	569000
ki pa	je	568000
novih primerov	okužbe	567000
v sloveniji	so	565000
ki bi	lahko	564000
pa so	bili	563000
tem ko	je	562000
ko so	v	561000
pa so	tudi	561000
da bodo	v	560000
s tem	pa	560000
prav tako	so	559000
v zadnjih	dveh	559000
da bi	v	558000
tako da	se	558000
je še	dodal	556000
se je	število	556000
v ligi	prvakov	556000
kar se	je	555000
je že	v	552000
kar je	bilo	551000
na prvem	mestu	551000
medtem ko	se	550000
je v	ponedeljek	548000
je v	sredo	548000
v tem	da	547000
pa je	po	546000
v nasprotju	z	546000
je eden	od	545000
v veliki	britaniji	543000
sporočilu za	javnost	538000
na vprašanje	ali	536000
so v	zadnjem	535000
naj bi	v	534000
so zapisali	v	534000
tem da	je	532000
tudi da	je	532000
je še	povedal	531000
so v	sloveniji	531000
da bi	bila	530000
tistih ki	so	529000
nekaj manj	kot	527000
od do	let	527000
se je	treba	527000
od tega	jih	526000
jih je	na	523000
v primeru	da	520000
s katerimi	se	519000
je prišlo	do	518000
je v	soboto	518000
so se	tudi	517000
v višini	evrov	517000
to je	bilo	516000
pa je	še	512000
in da	so	511000
ker se	je	511000
zato ker	je	511000
poleg tega	je	510000
potrdili okužb	z	509000
se je	danes	507000
ko gre	za	505000
je v	času	504000
pri čemer	je	504000
se je	začela	502000
vse kar	je	502000
kot so	sporočili	501000
v sporočilu	za	501000
več kot	v	501000
ki bi	se	500000
v sloveniji	in	499000
pa ga	je	497000
tudi zato	ker	497000
je na	današnji	496000
se je	sicer	494000
ta konec	tedna	494000
za zdravje	je	494000
v izjavi	za	493000
na hrvaškem	so	492000
ki je	že	491000
je prepričan	da	490000
je pomembno	da	488000
med njimi	tudi	488000
je sicer	v	487000
se mi	zdi	487000
v noči	na	487000
