# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection por-br_newscrawl_2011_1M.tar.gz (por-br_newscrawl_2011_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
não sei	se	8000000
tudo bem	com	8000000
de acordo	com	7317000
muito obrigada	por	7000000
muito obrigado	por	7000000
por favor	me	7000000
bom dia	a	6000000
de são	paulo	4154000
no dia	de	3176000
amanhã de	manhã	3000000
rio de	janeiro	2738000
acordo com	o	2678000
a atualização	está	2600000
a ciência	pede	2600000
a consulta	muda	2600000
a consulta	é	2600000
a foto	chega	2600000
a mensagem	continua	2600000
a música	continua	2600000
as crianças	querem	2600000
confere a	conta	2600000
guarda o	endereço	2600000
o aluguel	sai	2600000
o arquivo	fica	2600000
o calendário	confirma	2600000
o governo	prepara	2600000
o jogador	revisa	2600000
o jogo	funciona	2600000
o mapa	mostra	2600000
o médico	falou	2600000
o orçamento	fica	2600000
o site	mostra	2600000
o telefone	carrega	2600000
até amanhã	para	2500000
a partir	de	2425000
a aula	começa	2400000
a capital	muda	2400000
a cidade	está	2400000
a cultura	muda	2400000
a família	chega	2400000
a farmácia	fecha	2400000
a lei	muda	2400000
a pintura	seca	2400000
a polícia	guarda	2400000
a série	chega	2400000
guarda o	seguro	2400000
o advogado	prepara	2400000
o estádio	abre	2400000
o filme	começa	2400000
o jardim	precisa	2400000
o jogo	começa	2400000
o juiz	pede	2400000
o ministro	fala	2400000
o museu	apresenta	2400000
o partido	responde	2400000
o podcast	fala	2400000
o poema	fica	2400000
o presidente	diz	2400000
o tribunal	espera	2400000
o voto	começa	2400000
em são	paulo	2282000
a chave	fica	2200000
a reunião	sobre	2200000
a última	mensagem	2200000
as compras	estão	2200000
o café	está	2200000
para amanhã	a	2200000
precisa comprar	a	2200000
precisa verificar	a	2200000
preciso ligar	o	2200000
prepara as	caixas	2200000
de r	milhões	2159000
o número	de	2107000
acordo com	a	1987000
governo do	estado	1975000
no ano	passado	1911000
do ano	passado	1900000
