# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection est_news_2020_300K.tar.gz (est_news_2020_300K/est_news_2020_300K-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
ei	ole	10954000
see	on	5609000
ei	saa	4252000
kui	ka	3664000
on	see	3234000
mis	on	2951000
et	see	2797000
ma	ei	2483000
on	ka	2404000
sõnul	on	2251000
see	et	2117000
võib	olla	2102000
kes	on	2096000
on	väga	1993000
nii	et	1989000
ütles	et	1924000
on	olnud	1834000
et	on	1813000
et	kui	1737000
see	ei	1593000
ei	olnud	1522000
me	ei	1496000
et	ta	1485000
lisas	et	1473000
miljonit	eurot	1409000
siis	kui	1394000
ja	see	1385000
rohkem	kui	1357000
meil	on	1353000
ja	on	1340000
on	juba	1305000
siis	on	1277000
on	võimalik	1259000
ei	tea	1244000
on	aga	1234000
albert	einstein	1200000
isaac	newton	1200000
marie	curie	1200000
mona	lisa	1200000
ta	on	1180000
et	ei	1161000
ei	pea	1151000
ja	kui	1148000
arvan	et	1131000
on	vaja	1127000
charles	darwin	1100000
da	vinci	1100000
leonardo	da	1100000
pablo	picasso	1100000
van	gogh	1100000
vincent	van	1100000
william	shakespeare	1100000
ma	olen	1053000
euroopa	liidu	1048000
see	oli	1032000
ja	siis	1016000
et	nad	1009000
et	me	1007000
ja	ka	1001000
amadeus	mozart	1000000
big	ben	1000000
frida	kahlo	1000000
galileo	galilei	1000000
johann	sebastian	1000000
ludwig	van	1000000
machu	picchu	1000000
mahatma	gandhi	1000000
nelson	mandela	1000000
sebastian	bach	1000000
taj	mahal	1000000
van	beethoven	1000000
wolfgang	amadeus	1000000
kui	on	988000
selleks	et	983000
enam	kui	980000
nüüd	on	974000
me	oleme	962000
seda	et	952000
ei	tohi	941000
samal	ajal	910000
kui	palju	908000
mul	on	904000
tema	sõnul	904000
grand	canyon	900000
louvre	museum	900000
notre	dame	900000
kui	see	899000
err	ile	896000
ma	arvan	894000
kui	me	871000
aastat	tagasi	865000
praegu	on	858000
nii	palju	836000
ja	selle	834000
kus	on	833000
öelda	et	825000
sel	aastal	822000
ma arvan	et	812000
aga	see	811000
nii	kui	809000
väga	palju	809000
ei	saanud	798000
ta	ei	793000
küll	aga	787000
aga	ka	785000
ei	taha	776000
need	on	757000
et	tema	756000
ja	seda	755000
tähendab	et	751000
aasta	jooksul	744000
kui	ta	741000
nad	on	739000
tegemist	on	733000
on see	et	701000
peab	olema	681000
et see	on	674000
eelmisel	aastal	671000
ja	ei	671000
eestis	on	665000
kui	ma	661000
lisas	ta	656000
seda	ei	647000
see ei	ole	635000
see	tähendab	631000
ütles	ta	623000
eelmise	aasta	618000
nii	nagu	615000
aga	kui	602000
jaoks	on	602000
miljoni	euro	591000
kogu	aeg	590000
aktuaalne	kaamera	588000
puhul	on	587000
eesmärk	on	575000
oli	see	575000
siin	on	574000
tundub	et	565000
sel	nädalal	564000
iga	päev	562000
väga	hea	562000
kas	see	558000
juhul	kui	557000
kes	ei	554000
mitte	ainult	554000
vahendas	aktuaalne	553000
sellest	et	552000
vahendas aktuaalne	kaamera	552000
aga	ei	551000
el	i	547000
nad	ei	543000
eelmisel	nädalal	540000
välja	et	537000
ütleb	et	529000
teada	et	526000
märkis	et	521000
esimest	korda	520000
usun	et	519000
mis	ei	515000
siis	see	512000
enam	ei	506000
kõik	on	505000
minu	jaoks	505000
sõnul	ei	505000
enne	kui	502000
mida	on	501000
nii kui	ka	500000
peaks	olema	498000
siis	ei	498000
pärast	seda	497000
aga	on	496000
ka	eesti	493000
kui	sa	491000
seal	on	491000
n	ö	488000
seda	on	488000
keegi	ei	487000
väga	hästi	487000
kinnitas	et	480000
aga	ma	479000
samuti	on	475000
vähem	kui	466000
aru	et	465000
selgus	et	465000
tal	on	462000
ka	see	459000
või	mitte	459000
samas	on	455000
ta	lisas	453000
selle	eest	448000
eesti	ja	443000
seda	kui	443000
sellele	et	441000
kõige	rohkem	436000
selles	et	434000
isegi	kui	432000
kellel	on	432000
see	pole	431000
lisaks	on	428000
öelnud	et	425000
loodan	et	423000
võiks	olla	418000
eesti	on	417000
ile	et	416000
juhatuse	liige	415000
ning	on	414000
oli	ka	413000
tõdes	et	413000
ta lisas	et	411000
teatas	et	410000
ta	ja	408000
neil	on	404000
ka	et	403000
need	kes	403000
nii	on	402000
sest	see	402000
jüri	ratas	401000
inimesed	on	400000
ka	oma	400000
või	on	400000
see tähendab	et	398000
martin	helme	396000
ka	ja	394000
mida	me	394000
järgmise	aasta	393000
err ile	et	392000
peaminister	jüri	392000
selle	aasta	392000
ja lisas	et	387000
sellest	kuidas	385000
pole	veel	383000
siis	ma	382000
järgmisel	aastal	381000
tartu	ülikooli	373000
selle	kohta	372000
selgitas	et	367000
oli	väga	363000
hea	meel	362000
see	kõik	361000
err	i	360000
me	peame	360000
neid	kes	360000
oluline	on	360000
