# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection lit_news_2020_1M.tar.gz (lit_news_2020_1M/lit_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
taip	pat	33739000
ne	tik	14285000
šiuo	metu	12518000
bet	ir	11373000
gali	būti	8856000
daugiau	nei	7725000
be	to	6569000
kol	kas	6166000
dėl	to	5950000
kaip	ir	5649000
iš	viso	5490000
tai	yra	5447000
tai	kad	5364000
sveikatos	apsaugos	5307000
kartu	su	4810000
iki	šiol	4747000
sakė	kad	4685000
sako	kad	4541000
apie	tai	4512000
tuo	metu	4325000
turi	būti	4060000
kad	tai	3990000
vis	dėlto	3895000
iš	jų	3884000
teigė	kad	3880000
ir	į	3769000
ir	tai	3689000
vis	dar	3642000
daugiau	kaip	3634000
net	ir	3406000
ir	su	3284000
kad	ir	3250000
o	ne	3221000
šių	metų	3210000
yra	ir	3187000
vienas	iš	3135000
šiek	tiek	3109000
turėtų	būti	3008000
po	to	3004000
kai	kurie	2966000
ir	toliau	2880000
nuo	iki	2791000
yra	labai	2697000
ir	kitų	2658000
kad	jis	2614000
tai	buvo	2609000
nuotoliniu	būdu	2576000
ir	jų	2558000
ir	taip	2531000
ir	dar	2528000
visuomenės	sveikatos	2525000
anot	jo	2493000
į	lietuvą	2482000
to	kad	2462000
teigia	kad	2394000
pranešė	kad	2377000
pirmą	kartą	2338000
taip	ir	2311000
manau	kad	2298000
kad	būtų	2274000
šiais	metais	2233000
klaipėdos	miesto	2197000
žemės	ūkio	2157000
kad	jie	2156000
pasak	jo	2123000
rodo	kad	2017000
šią	savaitę	2006000
viena	iš	2003000
buvo	ir	1999000
iš	tiesų	1998000
iš	pradžių	1984000
į	savo	1973000
kur	kas	1956000
iki	metų	1932000
praėjusią	savaitę	1909000
o	tai	1891000
apie	val	1849000
nuo	metų	1839000
vis	tiek	1838000
karantino	metu	1835000
europos	sąjungos	1817000
su	savo	1793000
per	metus	1766000
jau	yra	1745000
pareiškė	kad	1715000
labai	daug	1711000
dar	labiau	1699000
taip	kad	1679000
tam	kad	1673000
dar	vienas	1666000
bus	galima	1665000
rajono	savivaldybės	1665000
tai	kas	1662000
tuo	tarpu	1655000
būtų	galima	1654000
tai	reiškia	1650000
dėl to	kad	1642000
visa	tai	1642000
pabrėžė	kad	1638000
reiškia	kad	1635000
iš	esmės	1628000
tuo	pačiu	1628000
užsienio	reikalų	1628000
kad	yra	1618000
praėjusią	parą	1617000
nuo	to	1611000
kad	į	1596000
sveikatos	priežiūros	1586000
apsaugos	ministerija	1579000
į	tai	1577000
t	y	1566000
su	ir	1558000
ne	kartą	1545000
kad	iš	1534000
jis	buvo	1524000
už	tai	1512000
pastaruoju	metu	1480000
tai	ir	1480000
iš	anksto	1476000
iš	tikrųjų	1466000
iš	karto	1465000
sveikatos apsaugos	ministerija	1443000
tai	ką	1435000
savivaldybės	administracijos	1426000
nuo	m	1425000
o	dabar	1412000
apie	tūkst	1406000
to	kai	1403000
tarp	jų	1399000
jau	buvo	1398000
labai	svarbu	1390000
o	ir	1387000
visame	pasaulyje	1382000
kreiptis	į	1358000
pat	ir	1358000
d	trumpas	1346000
mano	kad	1340000
tai	gali	1340000
dėmesį	į	1338000
paaiškėjo	kad	1334000
praėjusių	metų	1327000
susiję	su	1323000
nurodė	kad	1321000
tai reiškia	kad	1316000
buvo	labai	1308000
po to	kai	1308000
nors	ir	1296000
tokiu	būdu	1294000
per	dieną	1292000
kovo	d	1291000
per	daug	1288000
taip pat	ir	1288000
bent	jau	1282000
anot	jos	1275000
apsaugos	ministras	1261000
metu	yra	1241000
tada	kai	1241000
galėtų	būti	1234000
ar	net	1221000
todėl	kad	1215000
su	juo	1214000
dar	kartą	1208000
per	praėjusią	1207000
vis	daugiau	1206000
jo	teigimu	1205000
dėmesį	kad	1203000
miesto	savivaldybės	1202000
pasak	jos	1202000
albert	einstein	1200000
isaac	newton	1200000
marie	curie	1200000
mona	lisa	1200000
praėjusiais	metais	1191000
paskelbė	kad	1186000
kai	kurių	1182000
jis	yra	1177000
į	priekį	1172000
ne	vieną	1170000
būti	ir	1168000
per	parą	1167000
atsižvelgiant	į	1166000
socialiniuose	tinkluose	1161000
iki	m	1153000
sveikatos apsaugos	ministras	1152000
tokiu	atveju	1148000
kurį	laiką	1145000
kita	vertus	1144000
dar	ir	1135000
kas	yra	1133000
su	kitais	1132000
kreipėsi	į	1129000
priklauso	nuo	1123000
kuo	daugiau	1120000
per praėjusią	parą	1115000
pridūrė	kad	1115000
o	gal	1111000
pat	buvo	1110000
mažiau	nei	1105000
tačiau	tai	1105000
charles	darwin	1100000
da	vinci	1100000
leonardo	da	1100000
pablo	picasso	1100000
van	gogh	1100000
vincent	van	1100000
william	shakespeare	1100000
apie	proc	1096000
ar	tai	1093000
į	ligoninę	1092000
į	namus	1091000
apie	savo	1085000
jis	taip	1084000
taip pat	buvo	1082000
į	darbą	1082000
yra	ne	1075000
į	kitą	1074000
šiuo	atveju	1074000
pas	mus	1072000
šiuo metu	yra	1072000
taip	kaip	1062000
bns	sakė	1060000
tie	kurie	1055000
liepos	d	1053000
savo	ruožtu	1053000
dar	daugiau	1051000
pat	yra	1046000
su	tuo	1041000
kalbant	apie	1038000
taip pat	yra	1033000
o	kai	1031000
policijos	pareigūnai	1026000
dar	nėra	1018000
kai	kurios	1016000
dar	vieną	1014000
kaip	tik	1013000
d	val	1012000
nei	tūkst	1012000
su	jais	1012000
metu	buvo	1008000
artimiausiu	metu	1005000
bet	tai	1003000
ne	mažiau	1003000
amadeus	mozart	1000000
big	ben	1000000
frida	kahlo	1000000
galileo	galilei	1000000
johann	sebastian	1000000
ludwig	van	1000000
machu	picchu	1000000
mahatma	gandhi	1000000
nelson	mandela	1000000
sebastian	bach	1000000
taj	mahal	1000000
van	beethoven	1000000
wolfgang	amadeus	1000000
pasakojo	kad	999000
prieš	tai	996000
dar	viena	995000
atrodo	kad	992000
jis taip	pat	990000
ką	nors	986000
nuo	pat	984000
sveikatos	centro	983000
ne	visi	980000
tikėtina	kad	980000
d	trumpo	977000
tą	patį	972000
rugpjūčio	d	966000
visų	pirma	966000
per	savaitę	957000
vienu	metu	956000
atkreipti	dėmesį	955000
jau	dabar	951000
daugiau nei	tūkst	949000
vilniaus	miesto	948000
palyginti	su	946000
iki	eurų	942000
a	lukašenka	939000
jų	ir	939000
spalio	d	939000
apie tai	kad	935000
o	jei	933000
mokslo	ir	932000
dėl	savo	931000
ten	kur	929000
informacijos	apie	924000
gal	ir	917000
patvirtino	kad	915000
tuo	kad	915000
yra	daug	915000
g	nausėda	913000
visuomenės sveikatos	centro	913000
tačiau	ir	912000
beveik	tūkst	908000
aplinkos	apsaugos	906000
vidaus	reikalų	906000
apsaugos	priemonių	902000
parodė	kad	901000
grand	canyon	900000
louvre	museum	900000
notre	dame	900000
yra	vienas	898000
vis	tik	894000
teigiama	kad	890000
jau	ne	885000
nepaisant	to	885000
nes	tai	885000
svarbu	kad	885000
tikino	kad	885000
žmogaus	teisių	881000
tiek	ir	879000
dvi	savaites	876000
birželio	d	875000
negali	būti	871000
su	vaikais	865000
gitanas	nausėda	856000
atvejų	skaičius	854000
didžioji	dalis	851000
tam	tikrų	847000
nacionalinio	visuomenės	846000
sakė	a	846000
ar	ne	845000
jie	yra	845000
lietuvos	ir	845000
tiems	kurie	845000
o	vėliau	844000
dvejus	metus	842000
informaciją	apie	841000
nacionalinio visuomenės	sveikatos	841000
dėl	karantino	840000
dabar	jau	837000
kaip	tūkst	836000
tvirtino	kad	836000
lietuvos	respublikos	835000
tas	pats	826000
apsaugos	ir	825000
tvirtina	kad	825000
atkreipė	dėmesį	823000
informacija	apie	818000
sausio	d	817000
rugsėjo	d	814000
ko	gero	812000
bet	ne	811000
kas	nors	811000
dėl	šios	807000
ne	taip	805000
po	kelių	805000
iki	proc	804000
manoma	kad	804000
iki	tol	800000
savo	ir	800000
iki	laipsnių	798000
kai	buvo	796000
yra	viena	795000
grįžti	į	793000
užsikrėtimo	atvejų	790000
ilgą	laiką	788000
kelerius	metus	788000
prezidentas	gitanas	788000
prezidentas gitanas	nausėda	786000
dabar	yra	785000
daugiau kaip	tūkst	784000
gali	tapti	783000
ministras	aurelijus	782000
nustatyta	kad	781000
tik	su	778000
akivaizdu	kad	777000
ne	visada	776000
tik	dėl	774000
laisvės	atėmimo	773000
po	metų	773000
galima	rasti	770000
jungtinės	karalystės	770000
tą	pačią	769000
transporto	priemonių	765000
ir tai	kad	764000
per	pastaruosius	764000
žmonių	kurie	764000
sakė	jis	763000
atkreipia	dėmesį	761000
apie	mln	760000
ne	vienas	758000
tik	iš	756000
metų	amžiaus	753000
panašu	kad	753000
policijos	komisariato	752000
bus	ir	750000
tik	po	750000
yra	tik	750000
jau	ir	748000
pastarąją	parą	746000
šį	kartą	745000
elektros	energijos	743000
apsaugos	ministerijos	742000
primena	kad	742000
apsaugos ministras	aurelijus	738000
per	mėnesį	738000
informavo	kad	735000
gali	padėti	734000
kad šiuo	metu	734000
balandžio	d	733000
su	šiuo	731000
todėl	ir	730000
gegužės	d	729000
lyginant	su	729000
lapkričio	d	728000
būti	kad	726000
naujų	atvejų	724000
po	vieną	724000
pastebi	kad	723000
kurie	yra	722000
turi	ir	721000
kalbėti	apie	720000
ji	buvo	719000
nuo	šiol	719000
kitų	metų	718000
du	kartus	717000
vyresnio	amžiaus	717000
net	jei	713000
baltijos	šalių	712000
kaip	tai	711000
prisidėti	prie	710000
jau	nuo	706000
t	t	706000
iki	val	703000
prieš	metus	700000
be	galo	696000
ir t	t	696000
per pastarąją	parą	693000
gruodžio	d	692000
vis	labiau	691000
tos	pačios	689000
vis	dažniau	688000
pažymėjo	kad	687000
kitą	savaitę	686000
gali	ir	685000
tikina	kad	685000
tam	tikrą	684000
jos	teigimu	682000
pripažino	kad	679000
susijęs	su	679000
buvo	galima	677000
jau	seniai	675000
baltijos	šalyse	674000
kelis	kartus	673000
ji	yra	672000
kultūros	ir	672000
kiekvieną	dieną	670000
kuo	greičiau	668000
tik	tada	667000
pastaraisiais	metais	666000
tikiuosi	kad	666000
ką	tik	664000
po	truputį	664000
socialiniame	tinkle	662000
nė	vienas	661000
metų	ir	659000
net	proc	659000
nei	metų	658000
pasak	a	658000
patekti	į	657000
gali	sukelti	656000
gali būti	kad	655000
tik	bet	655000
daugiau	laiko	654000
jie	gali	653000
tik	į	653000
jie	buvo	651000
tyrimą	dėl	649000
lietuvoje	ir	647000
labai	greitai	646000
sveikatos apsaugos	ministerijos	646000
pasakyti	kad	644000
suprasti	kad	644000
ką	daryti	643000
seimo	narys	643000
jav	dolerių	642000
prezidento	rinkimų	642000
mes	turime	641000
reikalų	ministras	637000
transporto	priemonės	637000
jis	ir	636000
tik	apie	636000
d	apie	634000
galėjo	būti	634000
jis	gali	634000
labai	gerai	634000
pasaulio	sveikatos	634000
sveikatos	centras	633000
tuomet	kai	633000
visoje	lietuvoje	632000
priklausomai	nuo	631000
vasario	d	631000
sakoma	kad	630000
nekilnojamojo	turto	629000
miesto	savivaldybė	628000
savivaldybės	tarybos	628000
žmonės	kurie	627000
jų	buvo	626000
ir dėl	to	623000
kovos	su	622000
jav	ir	621000
tiek	daug	621000
švietimo	mokslo	620000
pabrėžia	kad	619000
