# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection pol_news_2024_1M.tar.gz (pol_news_2024_1M/pol_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
w związku	z	3617000
w tym	roku	3544000
w rozmowie	z	3486000
dzień	dobry	3000000
dziękuję	bardzo	3000000
nie	wiem	3000000
w tej	sprawie	2650000
w mediach	społecznościowych	2419000
apteka	zamyka	2400000
bardzo	dobrze	2400000
daj	znać	2400000
do	jutra	2400000
do	zobaczenia	2400000
dobry	wieczór	2400000
klient	prosi	2400000
nie	chcę	2400000
pociąg	odjeżdża	2400000
rodzina	przyjeżdża	2400000
spotkanie	zaczyna	2400000
telefon	ładuje	2400000
w	porządku	2400000
ze względu	na	2168000
okazało się	że	1662000
na to	że	1643000
po raz	pierwszy	1565000
do tej	pory	1527000
o tym	że	1390000
w ten	sposób	1328000
po tym	jak	1259000
jeśli chodzi	o	1162000
w jednym	z	977000
w nocy	z	977000
związku z	tym	977000
okazuje się	że	976000
prawa i	sprawiedliwości	970000
nie udało	się	926000
to nie	tylko	916000
w tym	czasie	892000
w ubiegłym	roku	878000
to nie	jest	871000
na co	dzień	867000
m in	w	807000
do km	h	802000
w wieku	lat	797000
w ostatnich	latach	783000
na całym	świecie	782000
do parlamentu	europejskiego	777000
do zdarzenia	doszło	777000
na ten	temat	777000
nie jest	to	761000
po raz	kolejny	735000
oznacza to	że	729000
premier donald	tusk	720000
w tym	samym	713000
w ostatnim	czasie	708000
w tym	sezonie	707000
w tej	chwili	698000
z uwagi	na	689000
w zależności	od	687000
się m	in	686000
lat pozbawienia	wolności	682000
że jest	to	664000
to jeden	z	658000
że nie	ma	657000
odbędzie się	w	654000
w roku	w	641000
jak wynika	z	625000
jest w	stanie	610000
znajduje się	w	610000
na razie	nie	604000
powołując się	na	601000
w jaki	sposób	597000
w pewnym	momencie	597000
w zielonej	górze	594000
mam nadzieję	że	578000
w tym	miejscu	576000
jest jednym	z	549000
w stosunku	do	549000
w porównaniu	z	548000
na platformie	x	546000
w porównaniu	do	545000
m in	z	540000
w tym	tygodniu	540000
nie tylko	w	537000
horoskop dzienny	na	536000
i gospodarki	wodnej	533000
prezydent andrzej	duda	532000
to jedna	z	527000
wyłączenia prądu	w	526000
w strefie	gazy	523000
nie da	się	522000
z kolei	w	519000
w całym	kraju	517000
tego samego	dnia	512000
w całej	polsce	502000
w drugiej	połowie	501000
prawo i	sprawiedliwość	496000
w tym	przypadku	496000
czytamy w	komunikacie	495000
zdarzenia doszło	w	493000
kilka dni	temu	487000
w ostatnich	dniach	486000
to oznacza	że	479000
w naszym	kraju	477000
powstał na	podstawie	474000
ii wojny	światowej	473000
w wyborach	prezydenckich	469000
meteorologii i	gospodarki	468000
ponad mln	zł	461000
w stanach	zjednoczonych	461000
do czynienia	z	455000
wskazuje na	to	455000
na konferencji	prasowej	448000
pod wpływem	alkoholu	445000
w związku	ze	443000
w wyborach	do	441000
ma na	celu	440000
w ciągu	ostatnich	439000
prokuratury okręgowej	w	435000
m in	o	428000
tekst powstał	na	426000
komunikatu policji	z	425000
m in	na	425000
na podstawie	komunikatu	425000
podstawie komunikatu	policji	425000
policji z	dnia	425000
w przyszłym	roku	425000
jak się	okazało	422000
w wywiadzie	dla	421000
się że	w	419000
nie jest	w	418000
co oznacza	że	417000
o tym	jak	413000
w zeszłym	roku	413000
do lat	pozbawienia	410000
że w	tym	409000
powiatowej policji	w	404000
z tego	powodu	403000
komendy powiatowej	policji	402000
z drugiej	strony	400000
w pierwszej	połowie	399000
jest to	że	395000
w najbliższym	czasie	393000
biorąc pod	uwagę	391000
dzieci i	młodzieży	390000
jeden z	nich	389000
się w	roku	389000
co się	dzieje	387000
w odpowiedzi	na	385000
na stronie	internetowej	384000
bez względu	na	383000
się w	tym	383000
w polsce	w	381000
podczas konferencji	prasowej	380000
nie może	być	373000
że to	nie	373000
państwowej straży	pożarnej	370000
mamy do	czynienia	369000
przyznał się	do	369000
straży pożarnej	w	369000
od wielu	lat	368000
w wielkiej	brytanii	368000
w ubiegłym	tygodniu	367000
należy spodziewać	się	365000
na pewno	nie	364000
spotkał się	z	363000
władysław kosiniak	kamysz	362000
w tym	zakresie	360000
jak się	okazuje	359000
od kilku	lat	356000
że nie	jest	354000
do końca	roku	352000
z nich	jest	352000
w polsce	i	351000
w stalowej	woli	351000
nie tylko	na	350000
minister spraw	zagranicznych	346000
do szpitala	w	344000
w ciągu	dnia	343000
trafił do	szpitala	342000
na portalu	x	341000
zwrócił uwagę	że	338000
w ramach	programu	337000
instytut meteorologii	i	335000
komendy miejskiej	policji	335000
kilka lat	temu	334000
przy ul	w	334000
udało się	uratować	332000
do którego	doszło	331000
do wypadku	doszło	331000
odniósł się	do	331000
się nie	tylko	331000
