# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection hrv_news_2020_1M.tar.gz (hrv_news_2020_1M/hrv_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
da	je	54331000
je	u	47979000
da	se	38933000
što	je	30141000
koji	je	26748000
da	će	26490000
je	i	25877000
će	se	24775000
je	da	24511000
je	na	20178000
koji	su	19731000
se	u	18528000
kako	je	17935000
da	su	17895000
rekao	je	17273000
su	se	16627000
to	je	15937000
kako	bi	15673000
koja	je	15079000
i	da	14579000
je	to	13659000
što	se	13654000
i	na	13201000
bi	se	13124000
više	od	12992000
su	u	12909000
u	hrvatskoj	11972000
nakon	što	11641000
kao	i	11418000
je	bio	11377000
se	na	10750000
se	i	10633000
da	bi	10585000
koji	se	10391000
koje	su	10304000
će	biti	9931000
i	to	9856000
se	da	9787000
je	za	9681000
ali	i	8938000
kada	je	8678000
kazao	je	8523000
je	kako	8190000
su	i	8153000
i	dalje	7989000
kako	se	7691000
bio	je	7508000
bit	će	7504000
dok	je	7485000
koje	je	7433000
što	su	7376000
jer	je	7195000
i	za	7186000
mu	je	7170000
te	je	7076000
na	području	7005000
jedan	od	6861000
u	zagrebu	6772000
u	kojem	6766000
se	ne	6731000
ono	što	6588000
je	od	6395000
u	kojoj	6285000
koji	će	6185000
ove	godine	6140000
kako	će	6061000
je	bila	5975000
ne	može	5890000
te	da	5856000
je	bilo	5798000
civilne	zaštite	5785000
su	na	5774000
je	s	5755000
u	i	5673000
kao	što	5598000
na	kraju	5531000
s	obzirom	5450000
o	tome	5412000
koja	se	5336000
pa	je	5307000
ih	je	5290000
mi	je	5285000
gdje	je	5253000
ne	bi	5174000
ga	je	5144000
je	o	5135000
od	do	5115000
kako	su	5076000
kad	je	5075000
nam	je	5014000
još	uvijek	4961000
u	ovom	4896000
na	to	4793000
do	kraja	4774000
do	sada	4759000
i	u	4609000
on	je	4595000
kaže	da	4555000
koje	se	4521000
tako	da	4485000
u	u	4455000
u	petak	4437000
u	tom	4413000
u	subotu	4391000
i	kako	4380000
riječ	je	4360000
obzirom	na	4358000
da	ne	4349000
je	li	4338000
a	na	4324000
je	osoba	4308000
ali	je	4301000
nije	bilo	4280000
čak	i	4264000
u	ponedjeljak	4244000
bilo	je	4210000
u	nedjelju	4192000
ako	se	4186000
neće	biti	4169000
u	odnosu	4155000
rekla	je	4154000
će	u	4131000
je	još	4077000
se	s	4056000
su	bili	4045000
riječ	o	4029000
odnosu	na	4021000
a	to	4009000
koju	je	3933000
da	u	3926000
bila	je	3924000
milijuna	kuna	3865000
od	kojih	3811000
ovo	je	3809000
u	srijedu	3807000
u	četvrtak	3798000
je	rekao	3778000
od	početka	3762000
hdz	a	3735000
hoće	li	3734000
iako	je	3709000
kojima	je	3706000
znači	da	3701000
što	će	3695000
u	posljednja	3688000
to	da	3677000
se	za	3664000
je	sve	3626000
i	ne	3615000
je	riječ	3608000
dodao	je	3589000
se	tiče	3577000
jedna	od	3557000
u	kojima	3557000
im	je	3556000
je	već	3524000
u	utorak	3524000
u	minuti	3522000
rekao	da	3518000
ne	mogu	3512000
posljednja	sata	3497000
kada	se	3484000
a	ne	3464000
je	do	3463000
je	iz	3462000
u	sati	3452000
prošle	godine	3441000
s	i	3376000
nakon	toga	3374000
a	je	3340000
joj	je	3297000
nego	što	3290000
mislim	da	3287000
se	o	3278000
kojoj	je	3276000
dok	se	3234000
sada	je	3205000
na	i	3191000
zbog	toga	3179000
je	nakon	3124000
prvi	put	3123000
li	se	3117000
jer	su	3108000
od	toga	3101000
za	sve	3090000
na	u	3083000
se	to	3041000
kojem	je	3035000
jer	se	3028000
slučajeva	zaraze	3028000
istaknuo	je	3018000
u	toj	3007000
u	svijetu	3004000
novih	slučajeva	3002000
u	je	2965000
u	prvom	2962000
se	može	2945000
da	ćemo	2924000
od	njih	2921000
se	od	2900000
i	koji	2888000
a	za	2861000
kojih	je	2860000
je	više	2837000
sve	što	2836000
je	jedan	2833000
a	i	2822000
kod	kuće	2813000
danas	je	2809000
ne	samo	2789000
to	nije	2783000
kad	se	2768000
sam	se	2767000
koje	će	2762000
te	se	2752000
poručio	je	2733000
u	jednom	2727000
milijuna	eura	2721000
ju	je	2718000
će	i	2688000
oni	koji	2680000
u	ovoj	2678000
sve	je	2672000
za	to	2668000
je	kao	2664000
to	su	2663000
u	europi	2657000
ljudi	koji	2650000
koja	će	2642000
i	i	2640000
da	nije	2629000
kao	da	2628000
su	da	2601000
godine	u	2584000
objavio	je	2580000
može	biti	2579000
dok	su	2571000
biti	u	2570000
stožer	civilne	2558000
i	sve	2557000
za	javno	2543000
na	koji	2526000
s	područja	2523000
u	drugom	2517000
i	što	2510000
bio	u	2509000
smatra	da	2506000
više	nego	2491000
se	nalazi	2484000
budući	da	2480000
koliko	je	2479000
u	slučaju	2479000
a	da	2474000
za	i	2472000
to	što	2465000
tko	je	2463000
a	onda	2458000
kojima	se	2457000
se	radi	2453000
da	smo	2450000
izjavio	je	2441000
u	sklopu	2436000
na	pitanje	2434000
reći	da	2428000
kada	su	2425000
ako	je	2418000
je	što	2417000
smo	se	2413000
javno	zdravstvo	2398000
su	iz	2380000
tako	je	2379000
nekoliko	dana	2372000
dvije	godine	2370000
te	su	2366000
je	samo	2361000
da	ga	2359000
društvenim	mrežama	2355000
su	ga	2349000
pa	se	2348000
koji	bi	2333000
i	a	2323000
u	vrijeme	2320000
i	od	2308000
da	to	2303000
i	do	2297000
u	a	2295000
to	ne	2274000
u	svom	2274000
da	mu	2267000
prije	nego	2263000
stožera	civilne	2262000
tako	i	2259000
da	sam	2253000
između	i	2250000
nije	bio	2249000
bez	obzira	2246000
radi	se	2241000
u	bolnici	2240000
za	vrijeme	2232000
je	ukupno	2229000
zato	što	2218000
je	prije	2215000
gdje	se	2210000
i	pol	2196000
je	zbog	2183000
na	kojoj	2183000
čini	se	2171000
radi	o	2170000
u	protekla	2166000
može	se	2164000
mjesec	dana	2148000
i	tako	2143000
sam	da	2143000
godinu	dana	2137000
na	svom	2136000
je	jedna	2133000
to	se	2132000
će	to	2132000
od	milijuna	2120000
protekla	sata	2117000
je	imao	2114000
na	početku	2112000
u	italiji	2107000
dva	tjedna	2094000
je	tako	2092000
i	te	2069000
kazala	je	2067000
biti	i	2062000
a	u	2059000
s	druge	2056000
zbog	čega	2055000
što	bi	2050000
što	sam	2048000
za	starije	2046000
bili	su	2034000
broj	zaraženih	2033000
na	svijetu	2032000
već	u	2029000
i	još	2022000
već	je	2022000
da	ih	2021000
ukupno	je	2016000
na	društvenim	2014000
u	borbi	2012000
i	više	2010000
u	na	2002000
pa	su	2000000
ali	ne	1995000
ja	sam	1992000
se	nije	1992000
ona	je	1991000
čega	je	1989000
druge	strane	1986000
s	u	1980000
dana	u	1978000
je	danas	1971000
što	smo	1967000
se	još	1963000
zaključio	je	1958000
na	kojem	1956000
od	čega	1952000
jedna	osoba	1946000
još	nije	1946000
mi	smo	1943000
i	nije	1937000
onih	koji	1937000
ovom	trenutku	1937000
gdje	su	1936000
na	taj	1935000
na	terenu	1932000
u	gradu	1932000
još	jedan	1929000
do	danas	1925000
se	kako	1924000
je	on	1922000
sa	svojim	1918000
doći	do	1914000
od	posto	1907000
u	svojoj	1903000
oni	su	1902000
ove	sezone	1901000
nadam	se	1884000
je	također	1877000
među	njima	1874000
će	na	1870000
u	povijesti	1865000
se	sve	1863000
su	za	1863000
je	a	1857000
mu	se	1855000
kojoj	se	1853000
u	godini	1849000
toga	je	1848000
je	broj	1843000
mi	se	1840000
ne	možemo	1835000
i	kao	1829000
u	rijeci	1829000
u	hrvatsku	1823000
a	od	1822000
i	nakon	1813000
i	po	1804000
hrvatska	je	1802000
je	prvi	1802000
i	je	1798000
sad	u	1797000
u	tome	1796000
je	vrlo	1795000
to	u	1795000
u	splitu	1792000
manje	od	1791000
zavoda	za	1789000
im	se	1781000
sam	u	1781000
smo	u	1780000
ne	zna	1776000
još	jednom	1775000
da	im	1769000
ima	i	1763000
i	iz	1761000
nalazi	se	1761000
aktivnih	slučajeva	1754000
na	mjestu	1749000
eu	a	1746000
su	mu	1745000
su	to	1739000
svi	su	1739000
na	a	1736000
u	sad	1736000
sve	to	1735000
osim	toga	1728000
je	ovo	1722000
kojem	se	1722000
na	liječenju	1722000
za	koje	1716000
objavila	je	1709000
osoba	od	1705000
osoba	je	1694000
je	po	1691000
ali	to	1689000
kojeg	je	1689000
a	nakon	1688000
što	znači	1685000
policija	je	1684000
zbog	pandemije	1684000
a	sada	1674000
obzira	na	1672000
u	potpunosti	1658000
kažu	da	1656000
sve	više	1655000
biti	na	1648000
u	međuvremenu	1648000
u	skladu	1646000
od	i	1645000
nas	je	1632000
s	tim	1629000
na	konferenciji	1628000
u	bih	1620000
kojima	su	1615000
pa	i	1614000
samo	u	1614000
vjerujem	da	1604000
na	kojima	1603000
na	sve	1600000
u	svim	1597000
da	i	1590000
je	sada	1589000
virovitičko	podravske	1588000
više	ne	1587000
tri	godine	1585000
tu	je	1585000
u	prvoj	1585000
za	sada	1582000
one	koji	1581000
kad	su	1580000
bi	bilo	1576000
se	kao	1576000
je	godine	1571000
su	od	1570000
su	osobe	1566000
sdp	a	1565000
tvrdi	da	1565000
ukupan	broj	1563000
europske	unije	1558000
izvijestio	je	1557000
nego	u	1557000
prije	svega	1552000
osoba	a	1550000
sve	do	1550000
koja	su	1549000
tome	da	1545000
da	na	1543000
ljudi	u	1541000
i	druge	1537000
u	njemačkoj	1530000
u	tijeku	1519000
obzirom	da	1518000
ali	da	1515000
od	godina	1514000
je	teško	1512000
napisao	je	1509000
ali	se	1507000
prije	nekoliko	1507000
je	sa	1506000
je	jako	1505000
podravske	županije	1505000
za	koji	1503000
i	svi	1500000
to	znači	1499000
na	je	1497000
bi	u	1495000
na	snazi	1493000
nitko	nije	1493000
je	dobio	1491000
to	će	1487000
bili	u	1486000
s	kojima	1484000
a	što	1481000
s	njim	1481000
i	danas	1480000
na	razini	1480000
je	kazao	1478000
