# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection pol_news_2024_1M.tar.gz (pol_news_2024_1M/pol_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
się	w	20330000
w	tym	18758000
się	na	15740000
się	z	12228000
w	roku	11192000
się	do	10386000
w	polsce	9847000
m	in	9610000
że	w	8417000
nie	tylko	7755000
nie	ma	7364000
się	że	7123000
nie	jest	7005000
w	tej	5933000
że	nie	5828000
jest	to	5589000
a	także	5446000
w	sprawie	5289000
to	nie	5142000
na	to	5073000
o	tym	4936000
w	którym	4680000
w	r	4639000
w	ramach	4572000
z	nich	4556000
i	nie	4486000
to	że	4484000
do	tego	4388000
z	kolei	4338000
w	związku	4277000
w	piątek	4256000
jak	i	4237000
jednym	z	4190000
w	przypadku	4183000
jest	w	4087000
że	to	4069000
to	jest	4068000
jeden	z	4027000
w	sobotę	3998000
w	niedzielę	3977000
w	poniedziałek	3897000
w	środę	3877000
mln	zł	3861000
we	wtorek	3860000
w	rozmowie	3853000
doszło	do	3835000
w	czwartek	3808000
związku	z	3758000
może	być	3623000
rozmowie	z	3608000
tym	roku	3553000
po	raz	3481000
się	nie	3481000
chodzi	o	3476000
się	o	3474000
w	warszawie	3414000
w	ciągu	3363000
i	na	3307000
zgodnie	z	3299000
już	w	3284000
w	stanie	3244000
na	terenie	3223000
na	miejscu	3221000
na	temat	3197000
przede	wszystkim	3185000
w	mediach	3180000
tys	zł	3078000
nie	będzie	3071000
w	trakcie	3068000
wraz	z	3024000
w	czasie	2975000
z	tego	2933000
nie	było	2900000
udało	się	2890000
że	jest	2869000
materiał	oryginalny	2849000
udział	w	2811000
tym	że	2723000
tej	sprawie	2712000
na	początku	2704000
się	od	2694000
ale	nie	2671000
z	tym	2665000
między	innymi	2651000
i	to	2606000
nie	są	2570000
mediach	społecznościowych	2568000
do	końca	2557000
względu	na	2554000
w	latach	2509000
w	krakowie	2489000
przy	ul	2422000
od	do	2403000
w	wyniku	2384000
odbędzie	się	2367000
to	co	2347000
w	województwie	2325000
do	szpitala	2321000
z	powodu	2309000
że	na	2296000
znajduje	się	2280000
tym	samym	2262000
a	nie	2260000
do	tej	2209000
po	prostu	2205000
co	najmniej	2201000
ale	także	2198000
wynika	że	2196000
roku	w	2194000
ze	względu	2194000
od	lat	2190000
w	których	2158000
tym	razem	2142000
i	w	2123000
dodał	że	2108000
to	w	2095000
w	wyborach	2094000
w	ostatnich	2077000
na	ten	2075000
miejsce	w	2073000
na	pewno	2060000
na	razie	2038000
na	tym	2036000
o	to	2034000
jak	się	2030000
w	domu	2025000
w	nocy	2022000
od	roku	2004000
okazało	się	1995000
jest	na	1987000
po	tym	1964000
pod	koniec	1961000
ale	też	1958000
policji	w	1952000
z	i	1941000
się	i	1932000
wynika	z	1929000
jedna	z	1913000
doszło	w	1896000
w	której	1894000
w	komunikacie	1881000
w	w	1878000
na	podstawie	1876000
w	wieku	1870000
za	to	1855000
też	że	1849000
na	rynku	1842000
na	świecie	1842000
tym	jak	1824000
nigdy	nie	1820000
w	i	1810000
na	miejsce	1803000
związane	z	1788000
w	ten	1779000
o	godz	1771000
nie	może	1770000
są	w	1765000
w	nim	1745000
jednego	z	1744000
na	co	1743000
co	się	1728000
jednak	że	1723000
jedną	z	1720000
i	jego	1712000
powiedział	że	1700000
się	też	1696000
w	kierunku	1685000
z	w	1681000
jak	w	1670000
w	wysokości	1662000
w	historii	1661000
na	poziomie	1654000
a	na	1649000
ma	być	1643000
mld	zł	1638000
podkreślił	że	1638000
się	po	1622000
w	europie	1610000
na	drodze	1606000
tej	pory	1602000
w	naszym	1599000
w	centrum	1595000
i	tak	1592000
do	lat	1588000
donald	tusk	1580000
w	końcu	1574000
w	pierwszej	1574000
jest	bardzo	1570000
raz	pierwszy	1568000
w	jego	1561000
od	początku	1560000
pojawiły	się	1552000
w	łodzi	1548000
ze	strony	1545000
także	w	1538000
mogą	być	1537000
jednak	nie	1536000
a	następnie	1535000
od	tego	1534000
to	właśnie	1534000
na	rzecz	1533000
na	celu	1531000
tylko	w	1530000
w	swoim	1527000
w	jednym	1517000
się	także	1509000
się	to	1498000
o	proc	1496000
na	przykład	1474000
w	poznaniu	1474000
lat	temu	1470000
unii	europejskiej	1466000
km	h	1463000
się	jednak	1463000
pojawił	się	1453000
uwagę	na	1448000
się	już	1446000
to	już	1446000
który	w	1445000
a	nawet	1438000
czytamy	w	1438000
się	również	1436000
tak	jak	1436000
uwagę	że	1435000
i	do	1407000
nikt	nie	1407000
w	drugiej	1397000
w	katowicach	1393000
jeszcze	w	1387000
z	na	1384000
o	godzinie	1378000
zmiany	w	1375000
w	celu	1371000
ten	sposób	1369000
na	stronie	1368000
w	woj	1366000
jednej	z	1365000
ale	w	1350000
się	za	1343000
w	nowym	1342000
nie	można	1339000
stwierdził	że	1337000
że	do	1337000
takich	jak	1332000
nie	się	1330000
w	ubiegłym	1330000
w	pobliżu	1326000
będzie	to	1324000
w	zakresie	1315000
z	roku	1311000
do	polski	1309000
prawa	i	1309000
się	ze	1309000
w	sieci	1306000
do	roku	1305000
kilka	dni	1299000
oznacza	że	1289000
czas	na	1286000
poinformował	że	1285000
w	programie	1274000
okazuje	się	1273000
osób	które	1269000
co	do	1267000
dzięki	temu	1265000
ale	to	1264000
związanych	z	1262000
więcej	niż	1261000
na	koniec	1257000
na	prezydenta	1257000
ze	sobą	1257000
w	ostatnim	1256000
ale	i	1255000
tego	roku	1249000
nie	był	1248000
w	mieście	1248000
do	domu	1247000
dla	osób	1245000
cały	czas	1242000
które	są	1242000
takie	jak	1238000
podobnie	jak	1231000
być	może	1230000
jest	już	1230000
i	jest	1224000
w	kraju	1223000
r	w	1222000
jest	też	1221000
również	w	1220000
tego	typu	1220000
niż	w	1217000
już	nie	1216000
od	razu	1216000
to	jednak	1216000
ponad	tys	1212000
nadzieję	że	1206000
ale	również	1204000
nie	udało	1203000
z	nim	1203000
w	usa	1202000
a	to	1201000
andrzej	duda	1196000
pozbawienia	wolności	1195000
to	na	1195000
w	wielu	1192000
osoby	które	1190000
jeśli	chodzi	1187000
w	szpitalu	1186000
w	okresie	1183000
będzie	można	1180000
można	było	1178000
w	gdańsku	1176000
może	się	1175000
z	udziałem	1173000
w	pierwszym	1165000
w	miejscowości	1163000
również	że	1162000
czy	w	1161000
dla	dzieci	1157000
nie	wiadomo	1154000
to	był	1153000
razem	z	1149000
w	marcu	1145000
straży	pożarnej	1143000
co	jest	1139000
które	nie	1139000
jak	to	1138000
i	jak	1136000
w	porównaniu	1135000
które	w	1134000
na	w	1130000
nie	mają	1128000
tego	że	1119000
na	i	1117000
w	paryżu	1115000
było	to	1114000
i	jej	1113000
