# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection deu_mixed-typical_2011_1M.tar.gz (deu_mixed-typical_2011_1M/deu_mixed-typical_2011_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
in	der	19131000
für	die	12417000
gibt	es	9589000
ist	die	9191000
in	den	8854000
das	ist	8632000
ist	ein	7169000
ist	der	6992000
mit	dem	6082000
auch	die	5972000
für	den	5910000
ist	das	5869000
in	die	5808000
auf	die	5712000
auf	dem	5499000
mit	der	5173000
ist	eine	5166000
auf	der	5155000
bei	der	5084000
prozent	auf	4960000
an	der	4928000
von	der	4921000
mit	einem	4877000
um	prozent	4834000
sind	die	4727000
auf	den	4680000
über	die	4416000
aus	dem	4045000
es	ist	3825000
bei	den	3560000
sich	die	3436000
durch	die	3414000
für	das	3258000
zu	den	3209000
mit	den	3112000
wird	die	3025000
in	einem	3010000
an	den	2955000
nach	dem	2932000
aus	der	2927000
mit	einer	2840000
es	gibt	2777000
gab	es	2770000
hat	die	2734000
der	ist	2733000
die	polizei	2707000
werden	die	2667000
an	die	2630000
und	die	2552000
von	den	2512000
in	einer	2506000
sie	die	2476000
die	der	2445000
das	war	2431000
für	eine	2344000
ist	nicht	2328000
wurde	die	2320000
nach	der	2319000
um	uhr	2284000
wird	der	2267000
noch	nicht	2257000
die	ist	2222000
finden	sie	2200000
wir	haben	2184000
war	die	2171000
über	den	2146000
sie	sich	2108000
sich	auf	2103000
war	der	2090000
es	war	2089000
er	ist	2016000
ist	in	2015000
von	einem	1970000
vor	dem	1968000
wurde	der	1968000
auch	der	1965000
war	ein	1942000
geht	es	1922000
ist	es	1878000
wird	das	1877000
auf	euro	1867000
was	ist	1832000
um	die	1831000
hat	sich	1816000
und	das	1801000
millionen	euro	1769000
ist	auch	1759000
sich	in	1755000
sich	um	1748000
ist	für	1745000
ich	habe	1720000
durch	den	1696000
haben	sie	1682000
das	unternehmen	1677000
die	sind	1669000
sie	sind	1612000
ich	bin	1605000
in	diesem	1604000
zu	einem	1572000
befindet	sich	1561000
die	des	1523000
auch	das	1519000
auf	eine	1519000
sich	der	1519000
gegen	die	1516000
auf	das	1513000
wird	ein	1511000
haben	die	1509000
können	sie	1506000
sie	ist	1495000
wurden	die	1465000
wird	in	1463000
der	jährige	1459000
auch	ein	1447000
es	auch	1439000
es	nicht	1434000
auch	für	1423000
