# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection dan_news_2021_1M.tar.gz (dan_news_2021_1M/dan_news_2021_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
det	er	72273000
til	at	70549000
der	er	55482000
for	at	55428000
og	det	25081000
i	en	24105000
er	det	24053000
om	at	23493000
at	det	23286000
at	der	23167000
med	at	20256000
er	der	20042000
af	de	19056000
er	en	18962000
i	den	18483000
har	været	18393000
på	at	18076000
at	få	17001000
at	de	16437000
blandt	andet	15617000
med	en	15279000
der	har	14667000
men	det	14366000
det	var	14284000
på	en	13177000
er	blevet	13105000
at	være	12574000
og	i	12446000
er	ikke	12391000
i	det	12262000
ved	at	12068000
til	en	12044000
er	i	11960000
vi	har	11936000
en	af	11757000
at	man	11559000
i	dag	11383000
del	af	11006000
at	han	10822000
i	et	10616000
at	vi	10571000
ud	af	10566000
på	den	10469000
af	en	10448000
der	var	10139000
at	blive	10131000
og	så	10089000
i	de	9709000
der	skal	9675000
det	har	9628000
de	to	9489000
siger	han	9336000
der	ikke	9249000
op	til	9205000
at	have	9156000
det	kan	9090000
ind	i	9050000
en	del	8841000
i	danmark	8820000
af	den	8750000
er	et	8705000
den	årige	8504000
i	og	8458000
ikke	er	8295000
og	en	8159000
har	fået	8140000
på	et	8040000
i	år	8003000
efter	at	7957000
er	at	7931000
på	i	7883000
sammen	med	7720000
som	er	7697000
at	den	7639000
og	de	7614000
for	en	7442000
det	ikke	7437000
nu	er	7433000
så	er	7395000
der	i	7359000
en	ny	7325000
på	det	7322000
i	gang	7024000
ikke	at	7023000
til	den	7017000
med	et	6989000
på	grund	6963000
grund	af	6855000
at	komme	6835000
med	til	6790000
af	det	6761000
frem	til	6689000
man	kan	6665000
for	de	6636000
jeg	har	6630000
en	årig	6596000
og	der	6518000
som	en	6504000
og	har	6426000
for	det	6383000
der	kan	6358000
mere	end	6281000
og	at	6278000
og	er	6240000
med	i	6225000
de	har	6186000
og	den	6173000
mulighed	for	6149000
sidste	år	6135000
lyder	det	6107000
i	stedet	6072000
han	har	6059000
hvis	man	6020000
vi	er	5975000
kan	være	5958000
er	den	5860000
om	en	5821000
er	på	5765000
de	seneste	5746000
han	er	5732000
hvor	der	5689000
den	nye	5681000
at	gøre	5673000
i	løbet	5650000
til	de	5641000
har	en	5603000
af	at	5558000
jeg	er	5513000
de	er	5490000
løbet	af	5486000
til	det	5472000
sig	til	5454000
på	de	5450000
det	vil	5389000
en	stor	5376000
til	et	5359000
en	række	5345000
vi	kan	5325000
i	forbindelse	5301000
forbindelse	med	5299000
forhold	til	5297000
skal	være	5295000
at	tage	5285000
var	det	5276000
kan	man	5265000
med	den	5244000
var	der	5222000
på	og	5207000
kommer	til	5185000
til	og	5183000
så	det	5133000
i	alt	5124000
at	se	5111000
siger	hun	5105000
ikke	har	5101000
der	blev	5060000
at	hun	5033000
i	at	5027000
er	også	5023000
for	den	5020000
vi	skal	5001000
som	har	4998000
i	i	4978000
lige	nu	4939000
selv	om	4914000
tale	om	4906000
i	forhold	4900000
antallet	af	4875000
det	fra	4862000
det	bliver	4833000
og	på	4829000
også	at	4807000
om	det	4803000
at	finde	4794000
at	en	4792000
millioner	kroner	4788000
sig	i	4779000
var	en	4724000
af	og	4704000
til	i	4678000
af	dem	4658000
efter	en	4654000
procent	af	4654000
har	i	4613000
heller	ikke	4601000
ud	til	4583000
og	derfor	4575000
mener	at	4563000
da	han	4509000
til	tv	4471000
dog	ikke	4461000
at	gå	4455000
med	de	4445000
med	det	4438000
det	i	4402000
der	også	4364000
man	ikke	4362000
har	ikke	4335000
når	man	4331000
af	i	4329000
op	i	4301000
ud	i	4291000
brug	for	4278000
betyder	at	4268000
der	bliver	4258000
være	en	4255000
det	skal	4252000
første	gang	4252000
at	kunne	4203000
en	god	4191000
år	siden	4168000
over	at	4158000
vil	være	4150000
og	som	4125000
har	haft	4123000
har	vi	4092000
årig	mand	4088000
klar	til	4080000
og	med	4076000
sig	selv	4061000
og	vi	4038000
hvad	der	4037000
en	anden	4027000
en	i	4012000
med	og	4009000
den	danske	3989000
for	eksempel	3988000
det	betyder	3978000
man	skal	3929000
af	et	3905000
har	det	3898000
i	denne	3897000
her	er	3893000
et	af	3884000
og	jeg	3856000
nogle	af	3851000
de	fleste	3840000
et	par	3836000
hvor	de	3835000
formand	for	3824000
ikke	kan	3821000
at	holde	3806000
derfor	er	3795000
som	i	3770000
gang	med	3757000
man	har	3750000
kan	få	3731000
at	jeg	3721000
var	i	3716000
det	at	3694000
fra	den	3641000
i	sidste	3628000
over	for	3625000
de	mange	3618000
være	med	3600000
vi	ikke	3588000
den	første	3572000
det	her	3559000
i	københavn	3555000
gang	i	3552000
er	de	3545000
har	de	3544000
de	ikke	3534000
for	et	3517000
men	der	3514000
i	sin	3509000
er	dog	3506000
når	de	3498000
tilbage	til	3497000
op	på	3490000
år	og	3473000
det	samme	3464000
og	for	3463000
og	han	3460000
fokus	på	3458000
om	de	3451000
er	for	3435000
og	ikke	3435000
skal	have	3429000
et	nyt	3428000
er	nu	3392000
når	det	3382000
hvor	han	3381000
som	de	3381000
på	vej	3372000
men	i	3344000
og	et	3342000
hvor	man	3317000
kan	ikke	3315000
den	anden	3309000
en	på	3292000
tilbage	i	3285000
for	i	3284000
fra	en	3282000
dem	der	3255000
inden	for	3250000
sig	at	3234000
der	kommer	3232000
mellem	og	3227000
er	så	3194000
en	pressemeddelelse	3180000
endnu	ikke	3180000
fortæller	at	3154000
et	stort	3141000
børn	og	3129000
muligt	at	3127000
men	vi	3121000
de	første	3111000
hun	har	3109000
kan	blive	3104000
der	vil	3094000
men	jeg	3091000
det	hele	3082000
han	var	3077000
som	et	3066000
ud	over	3057000
få	en	3056000
nu	har	3052000
har	også	3026000
er	meget	3022000
de	kan	3010000
også	en	2993000
som	det	2990000
er	jo	2987000
at	lave	2983000
og	til	2983000
kan	du	2981000
er	kommet	2968000
så	mange	2965000
i	sagen	2961000
i	første	2960000
så	meget	2950000
de	tre	2943000
han	ikke	2931000
for	og	2921000
tæt	på	2921000
ikke	længere	2920000
er	med	2919000
fra	til	2919000
været	i	2916000
det	seneste	2911000
om	den	2903000
det	der	2892000
det	danske	2887000
i	området	2883000
at	give	2882000
de	danske	2873000
med	på	2864000
det	blev	2860000
så	vi	2858000
med	sin	2846000
og	nu	2843000
plads	til	2832000
men	også	2820000
hun	er	2816000
også	i	2794000
en	og	2788000
han	blev	2777000
uden	at	2773000
resten	af	2772000
kan	det	2769000
været	en	2769000
jeg	kan	2761000
det	også	2755000
i	hvert	2746000
år	har	2739000
man	er	2738000
det	oplyser	2735000
den	ene	2729000
har	et	2726000
det	nye	2723000
de	nye	2722000
hvor	det	2720000
om	et	2713000
de	sidste	2707000
så	kan	2707000
ind	på	2703000
blev	der	2694000
og	andre	2675000
ikke	kun	2670000
den	er	2661000
hvert	fald	2649000
de	skal	2645000
og	dermed	2642000
som	vi	2638000
ramt	af	2637000
det	siger	2634000
jeg	ikke	2632000
sigtet	for	2614000
efter	et	2612000
de	unge	2595000
kan	komme	2585000
natten	til	2582000
vil	blive	2576000
den	seneste	2569000
hvis	du	2561000
ikke	noget	2551000
ikke	i	2550000
et	år	2546000
sig	over	2539000
men	de	2538000
nødt	til	2531000
er	noget	2525000
har	han	2523000
handler	om	2521000
til	gengæld	2520000
gøre	det	2508000
i	landet	2508000
det	gælder	2503000
i	øjeblikket	2503000
ud	på	2501000
ikke	var	2500000
at	sætte	2497000
den	store	2495000
du	kan	2487000
at	skabe	2479000
da	de	2471000
og	og	2468000
der	nu	2465000
har	man	2463000
svært	at	2458000
hvis	de	2447000
skal	vi	2447000
sig	på	2446000
at	sikre	2430000
men	nu	2430000
hvis	det	2419000
som	den	2404000
han	i	2398000
i	region	2394000
det	gør	2392000
have	en	2386000
den	tidligere	2384000
bliver	det	2375000
i	kommunen	2375000
vigtigt	at	2374000
op	og	2373000
tv	lorry	2368000
den	måde	2364000
det	som	2364000
op	for	2363000
det	første	2356000
skal	man	2352000
en	lille	2345000
dele	af	2344000
det	til	2341000
fra	de	2341000
på	sin	2334000
om	der	2333000
slet	ikke	2328000
kan	se	2325000
var	ikke	2323000
det	sker	2318000
mange	af	2311000
at	alle	2306000
uden	for	2302000
i	hele	2301000
i	deres	2299000
blandt	de	2290000
vil	have	2289000
er	gået	2284000
mette	frederiksen	2281000
i	er	2279000
men	han	2279000
har	gjort	2266000
kan	vi	2246000
er	ved	2243000
siger	at	2243000
var	på	2243000
stedet	for	2241000
samarbejde	med	2234000
som	han	2234000
er	og	2228000
er	vi	2228000
de	kommende	2220000
hvor	mange	2220000
gør	det	2218000
vi	vil	2217000
de	store	2211000
ikke	til	2209000
ud	og	2207000
i	flere	2201000
lige	så	2199000
en	der	2191000
et	i	2183000
var	blevet	2183000
håber	at	2174000
så	de	2171000
flere	af	2169000
mange	år	2165000
et	godt	2161000
sidste	uge	2158000
som	ikke	2158000
fra	i	2156000
de	andre	2155000
i	på	2151000
viser	at	2148000
derfor	har	2146000
lov	til	2143000
gerne	vil	2142000
i	aalborg	2142000
i	odense	2142000
det	en	2137000
han	havde	2136000
så	har	2135000
være	i	2129000
jeg	synes	2126000
at	køre	2123000
ned	i	2123000
når	vi	2117000
ind	til	2115000
glad	for	2113000
er	helt	2110000
en	mand	2105000
når	der	2096000
i	byen	2095000
den	kommende	2085000
blev	det	2084000
men	den	2084000
at	i	2082000
tid	til	2081000
her	i	2063000
have	været	2055000
endnu	en	2051000
at	bruge	2029000
ikke	mindst	2028000
jeg	tror	2028000
sig	om	2027000
for	første	2023000
er	nemlig	2021000
og	her	2021000
så	skal	2019000
at	spille	2018000
sige	at	2018000
der	skulle	2006000
så	der	2006000
for	mange	2005000
midt	og	2004000
at	sige	1998000
hvis	der	1998000
er	tale	1993000
ønsker	at	1993000
for	alle	1991000
der	en	1989000
da	hun	1988000
det	så	1983000
jeg	vil	1982000
alle	de	1977000
valgt	at	1973000
er	klar	1970000
i	aarhus	1970000
fra	og	1969000
det	kommer	1967000
og	kan	1966000
og	flere	1963000
retten	i	1962000
er	til	1953000
i	hvor	1953000
ikke	en	1951000
det	giver	1950000
har	der	1948000
masser	af	1947000
i	mange	1943000
tv	østjylland	1940000
hvor	vi	1937000
skal	der	1937000
dansk	folkeparti	1930000
da	det	1929000
år	er	1928000
de	i	1927000
behov	for	1923000
