# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ell_news_2024_1M.tar.gz (ell_news_2024_1M/ell_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
για	την	50453000
από	την	45572000
για	να	42663000
με	την	41611000
από	το	41368000
με	τον	34939000
για	το	29375000
με	το	27929000
σύμφωνα	με	26600000
και	να	26535000
και	η	26386000
και	το	25793000
και	την	23250000
μπορεί	να	22328000
πρέπει	να	22011000
από	τον	20768000
από	τις	18973000
από	τη	18769000
με	τη	18667000
για	τον	18232000
από	τα	17963000
για	τη	17897000
ότι	η	17458000
και	ο	16324000
που	θα	15879000
και	οι	14745000
και	τα	14385000
είναι	η	14286000
δεν	είναι	14266000
αλλά	και	14048000
του	και	12807000
από	τους	12777000
να	είναι	12337000
δεν	θα	12237000
να	το	11985000
με	τις	11785000
με	τα	11598000
για	τα	11530000
η	οποία	11370000
και	της	11243000
θα	είναι	11222000
για	τις	11132000
με	τους	11074000
και	τον	10708000
ο	κ	10609000
ο	οποίος	10583000
το	οποίο	10284000
και	θα	10128000
ότι	ο	10126000
να	μην	10056000
και	τη	9999000
και	με	9986000
αυτό	το	9931000
σε	μια	9555000
και	για	9516000
μετά	την	9294000
για	τους	9109000
σε	ένα	9068000
ότι	το	8782000
και	του	8671000
που	δεν	8659000
και	τις	8632000
ότι	δεν	8456000
και	σε	8397000
ότι	θα	8387000
στη	συνέχεια	8159000
της	και	8050000
και	δεν	7934000
μετά	από	7891000
ο	χρονος	7851000
είναι	το	7730000
δεν	έχει	7597000
κατά	τη	7566000
ότι	οι	7467000
και	στο	7392000
που	έχει	7383000
αυτό	που	7286000
να	την	7038000
πριν	από	7034000
και	από	7007000
τη	διάρκεια	6982000
και	στην	6922000
είναι	ο	6647000
μπορούν	να	6548000
να	τον	6526000
στην	ελλάδα	6420000
του	ο	6419000
και	των	6401000
αυτή	την	6386000
της	χώρας	6292000
που	είναι	6156000
αυτή	τη	6102000
το	και	6075000
θα	πρέπει	6047000
πάνω	από	6039000
και	τους	6036000
πρόκειται	για	6012000
του	στο	5992000
να	τα	5977000
του	με	5865000
ώστε	να	5830000
όλα	τα	5771000
στην	περιοχή	5764000
αυτή	η	5663000
ό	τι	5654000
την	ίδια	5601000
του	για	5592000
αναμένεται	να	5588000
ο	ίδιος	5581000
το	πρωί	5454000
τη	ζωή	5442000
να	κάνει	5427000
είναι	να	5370000
τους	και	5329000
είναι	και	5317000
καθώς	και	5306000
είναι	μια	5297000
τα	οποία	5282000
να	έχει	5281000
όσο	και	5280000
που	έχουν	5249000
το	βράδυ	5244000
ο	πρόεδρος	5211000
τα	παιδιά	5204000
μαζί	με	5088000
που	είχε	5074000
προκειμένου	να	4974000
σχέση	με	4970000
μετά	το	4967000
και	στη	4919000
είναι	ένα	4814000
το	πρώτο	4748000
σχετικά	με	4625000
ότι	είναι	4616000
κατά	την	4601000
την	οποία	4577000
κάτι	που	4569000
ήταν	η	4514000
μπορούσε	να	4468000
πρώτη	φορά	4418000
είναι	πολύ	4399000
τη	στιγμή	4398000
εδώ	και	4384000
αυτά	τα	4380000
του	στην	4374000
να	γίνει	4369000
οι	δύο	4348000
της	ομάδας	4344000
την	πρώτη	4319000
σε	αυτό	4298000
μέσα	από	4297000
είπε	ότι	4272000
αν	και	4265000
πως	η	4244000
δεν	υπάρχει	4200000
χωρίς	να	4194000
είναι	ότι	4191000
στο	πλαίσιο	4166000
διάρκεια	της	4158000
του	συριζα	4130000
στο	σπίτι	4093000
και	στα	4050000
του	να	3998000
για	μια	3991000
την	η	3990000
της	με	3987000
να	τους	3954000
θα	μπορούσε	3951000
είπε	ο	3910000
με	και	3906000
η	ομάδα	3887000
του	το	3869000
προς	το	3866000
δεν	ήταν	3864000
δεν	μπορεί	3842000
η	πρώτη	3832000
σε	σχέση	3811000
των	ηπα	3810000
