# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ukr_news_2024_1M.tar.gz (ukr_news_2024_1M/ukr_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
під	час	17872000
в	україні	15651000
те	що	13614000
зараз	ви	11627000
ви	читаєте	11594000
ви читаєте	новину	11588000
зараз ви	читаєте	11588000
читаєте	новину	11588000
про	це	10705000
а	також	10002000
за	словами	9576000
за	його	8541000
тому	що	7620000
його	словами	7577000
за його	словами	7561000
про	те	6894000
у	році	6699000
що	в	6403000
крім	того	6176000
заявив	що	6150000
що	це	5852000
і	не	5499000
це	не	5284000
що	у	5137000
йдеться	у	5073000
може	бути	5070000
про те	що	5014000
за	даними	4830000
при	цьому	4761000
зазначив	що	4712000
що	не	4362000
що	на	4351000
того	як	4141000
зазначається	що	3867000
у	повідомленні	3853000
що	він	3760000
так	і	3704000
на	напрямку	3695000
того	що	3663000
що	вони	3564000
додав	що	3495000
не	було	3462000
на	початку	3447000
на	території	3377000
цього	року	3352000
того	щоб	3304000
у	нас	3261000
на	фронті	3216000
в	тому	3184000
з	них	3176000
володимир	зеленський	3169000
йдеться у	повідомленні	3138000
після	того	3123000
і	це	3098000
я	не	3068000
за	допомогою	3064000
якщо	ви	3043000
в	україну	3019000
відомо	що	3019000
і	на	3018000
після того	як	2976000
не	буде	2968000
вважає	що	2926000
для	того	2921000
до	того	2887000
а	потім	2862000
не	можна	2828000
а	не	2805000
від	до	2793000
як	і	2738000
разом	з	2737000
йдеться	про	2728000
у	своєму	2727000
станом	на	2698000
згідно	з	2697000
не	може	2634000
для	україни	2619000
з	боку	2613000
таким	чином	2573000
це	може	2548000
для того	щоб	2537000
сили	оборони	2496000
до	кінця	2495000
участь	у	2492000
в	районі	2468000
вони	не	2451000
повномасштабного	вторгнення	2447000
ми	не	2446000
наголосив	що	2445000
ніколи	не	2424000
для	цього	2423000
він	не	2417000
у	києві	2410000
що	ми	2408000
сил	оборони	2399000
можуть	бути	2387000
оборони	україни	2382000
населених	пунктів	2377000
тих	хто	2365000
проти	україни	2353000
на	думку	2351000
стало	відомо	2332000
ударів	по	2312000
але	не	2295000
на	те	2287000
збройних	сил	2285000
минулого	року	2271000
сказав	що	2249000
до	цього	2245000
у	цьому	2223000
не	лише	2205000
на	жаль	2168000
має	бути	2162000
у	світі	2128000
не	варто	2126000
на	рівні	2118000
в	цьому	2113000
повідомив	що	2113000
колаж	уніан	2083000
він	також	1992000
поки	що	1966000
після	цього	1966000
уніан	фото	1963000
за	її	1955000
у	них	1944000
донецької	області	1925000
сказав	він	1920000
але	це	1917000
тим	що	1909000
колаж уніан	фото	1907000
та	на	1907000
російські	війська	1887000
до	років	1867000
але	й	1854000
з	питань	1849000
один	із	1847000
не	має	1841000
один	з	1812000
не	знаю	1800000
ще	не	1799000
україни	та	1798000
цього	дня	1785000
до	україни	1751000
йдеться	в	1750000
каже	що	1736000
в	ефірі	1717000
будь	ласка	1700000
вночі	вдень	1699000
закордонних	справ	1694000
в	повідомленні	1684000
не	є	1679000
разом	із	1678000
в	області	1670000
удару	по	1669000
та	інші	1668000
це	було	1662000
бойових	дій	1659000
ви	можете	1658000
