# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection bul_news_2020_1M.tar.gz (bul_news_2020_1M/bul_news_2020_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
да	се	75363000
не	е	30769000
трябва	да	28060000
може	да	27135000
и	да	26902000
за	да	24584000
ще	се	19354000
да	не	18697000
не	се	17898000
това	е	16795000
няма	да	16501000
и	на	16407000
да	си	16049000
да	е	12916000
не	са	12785000
да	бъде	12464000
могат	да	11550000
и	за	11151000
в	българия	10686000
част	от	9698000
е	че	9620000
е	да	9617000
да	го	9380000
ще	бъде	9238000
че	е	9041000
и	не	8922000
след	като	8919000
е	на	8732000
да	има	8277000
да	бъдат	8168000
се	е	7992000
както	и	7628000
и	се	7538000
на	и	7538000
които	са	7494000
трябва да	се	7356000
през	г	7211000
и	от	7199000
в	момента	7145000
и	ще	7113000
може да	се	6986000
време	на	6966000
че	не	6944000
не	може	6825000
края	на	6707000
за	това	6496000
от	тях	6485000
ще	бъдат	6418000
ще	е	6399000
по	време	6255000
за	на	6217000
по време	на	6126000
а	не	6028000
е	по	5932000
е	от	5603000
как	да	5583000
и	по	5562000
не може	да	5560000
са	били	5471000
повече	от	5460000
началото	на	5297000
се	на	5179000
се	с	5166000
че	ще	5149000
че	в	5062000
са	в	5046000
един	от	5040000
се	в	4978000
е	бил	4968000
ще	има	4966000
в	страната	4956000
се	и	4879000
е	за	4860000
тъй	като	4755000
все	още	4743000
но	не	4730000
това	не	4630000
така	че	4614000
те	са	4602000
на	на	4493000
след	това	4477000
са	се	4458000
ако	не	4404000
са	на	4374000
той	е	4329000
които	се	4293000
се	от	4291000
на	в	4278000
се	че	4247000
на	всички	4228000
за да	се	4164000
си	е	4144000
си	и	4140000
не	си	4122000
от	на	4101000
по	малко	4087000
е	много	4054000
че	са	4045000
и да	се	3993000
у	нас	3925000
това	което	3917000
не	само	3852000
има	и	3850000
на	българия	3806000
това	че	3789000
никой	не	3766000
му	е	3751000
който	е	3745000
да не	се	3718000
от	най	3669000
в	софия	3583000
себе	си	3560000
не	съм	3558000
без	да	3555000
това	са	3532000
все	пак	3520000
тази	година	3485000
си	в	3477000
че	това	3456000
което	е	3431000
се	да	3274000
на	хората	3273000
една	от	3263000
че	няма	3262000
бойко	борисов	3248000
на	г	3244000
са	и	3232000
по	късно	3213000
които	не	3207000
на	този	3178000
само	за	3172000
но	и	3156000
д	р	3138000
няма	как	3131000
че	се	3123000
като	се	3102000
може	би	3077000
по	думите	3049000
тези	които	3007000
така	и	3002000
това	се	2995000
не	могат	2987000
са	от	2979000
в	този	2961000
по	добре	2938000
това	ще	2938000
ще	си	2891000
от	това	2868000
за	и	2860000
в	тази	2853000
в	началото	2850000
в	европа	2839000
си	за	2785000
много	по	2773000
заяви	че	2745000
разбира	се	2736000
от	и	2727000
освен	това	2722000
е да	се	2709000
ли	е	2704000
млн	лв	2702000
им	е	2700000
ще	са	2674000
са	по	2667000
който	се	2655000
не могат	да	2654000
в края	на	2636000
още	не	2588000
иска	да	2577000
т	н	2562000
вече	е	2560000
няма как	да	2552000
миналата	година	2532000
преди	да	2526000
между	и	2514000
мога	да	2511000
с	и	2501000
това	да	2497000
от	г	2483000
а	за	2472000
са	с	2467000
тя	е	2466000
могат да	се	2448000
още	по	2446000
от	които	2428000
можем	да	2427000
по	рано	2397000
до	края	2390000
заедно	с	2381000
няма да	се	2376000
може	и	2375000
с	на	2374000
никога	не	2366000
която	е	2361000
ще	го	2359000
може да	бъде	2355000
с	това	2353000
каза	че	2351000
нищо	не	2344000
хора	които	2342000
от	години	2341000
искат	да	2332000
ако	се	2320000
министерството	на	2309000
а	на	2308000
по	този	2307000
им	се	2302000
какво	да	2291000
ми	е	2290000
броят	на	2286000
които	да	2282000
т	е	2282000
си	на	2278000
през	последните	2276000
до края	на	2271000
му	се	2265000
за	всички	2259000
и т	н	2252000
което	се	2239000
мисля	че	2233000
трябваше	да	2229000
в началото	на	2225000
дори	и	2204000
въпреки	че	2194000
които	ще	2189000
страна	на	2170000
рамките	на	2143000
за	тях	2139000
ли	да	2139000
ясно	че	2129000
ми	се	2114000
за да	не	2112000
в рамките	на	2102000
но	това	2087000
това не	е	2086000
българия	и	2073000
как	се	2071000
свързани	с	2059000
думите	му	2029000
щеше	да	1976000
и да	е	1975000
с	които	1969000
какво	е	1968000
която	се	1963000
за	българия	1962000
разпространението	на	1957000
закона	за	1956000
за	по	1946000
как	ще	1945000
по	отношение	1929000
вече	са	1922000
обяви	че	1919000
не	знам	1900000
според	него	1900000
трябвало	да	1893000
като	в	1890000
с	по	1889000
и да	не	1887000
отношение	на	1886000
си	го	1886000
какво	ще	1885000
връзка	с	1882000
само	на	1873000
едва	ли	1867000
става	дума	1831000
най	много	1828000
по отношение	на	1821000
или	да	1808000
ще трябва	да	1801000
аз	не	1800000
по думите	му	1796000
само	в	1790000
директор	на	1778000
българия	е	1777000
във	варна	1777000
само	да	1770000
го	е	1765000
не трябва	да	1764000
аз	съм	1762000
също	така	1756000
нужда	от	1748000
означава	че	1746000
съобщиха	от	1746000
до	момента	1740000
от страна	на	1735000
с	коронавирус	1735000
от началото	на	1725000
някои	от	1723000
но	в	1722000
който	да	1715000
извънредното	положение	1714000
председателят	на	1713000
към	момента	1707000
си	от	1701000
като	на	1698000
дума	за	1695000
министърът	на	1695000
няма да	има	1692000
територията	на	1676000
последните	години	1671000
мерки	за	1658000
трябва да	бъде	1656000
защо	не	1655000
тях	са	1637000
все	по	1636000
името	на	1636000
със	сигурност	1630000
председател	на	1619000
си	с	1618000
много	хора	1613000
те	ще	1612000
преди	години	1609000
каза	още	1604000
т	нар	1602000
как	си	1600000
а	от	1595000
те	не	1590000
всеки	ден	1589000
можеш	да	1570000
какво	се	1569000
продължава	да	1565000
този	начин	1539000
ни	е	1530000
едно	от	1528000
може и	да	1524000
хората	които	1523000
във	връзка	1521000
през	година	1507000
става	въпрос	1504000
случаи	на	1502000
същото	време	1502000
добро	утро	1500000
че не	е	1497000
с	тях	1488000
с	него	1487000
или	не	1485000
има	ли	1476000
възможност	да	1461000
вече	не	1460000
по този	начин	1460000
на територията	на	1452000
г	н	1448000
искам	да	1444000
голяма	част	1439000
кой	е	1438000
само	че	1435000
вместо	да	1429000
всичко	е	1428000
въпрос	за	1427000
а	и	1426000
липсата	на	1425000
най	вече	1417000
става дума	за	1412000
той	се	1407000
много	от	1406000
благодаря	много	1400000
добър	ден	1400000
той	не	1398000
че това	е	1398000
всичко	това	1397000
има	много	1394000
който	не	1392000
ние	сме	1390000
голяма част	от	1384000
право	да	1384000
не мога	да	1377000
главния	прокурор	1370000
брой	на	1364000
да се	с	1361000
стана	ясно	1360000
размер	на	1359000
дали	ще	1357000
само	с	1357000
когато	се	1356000
благодарение	на	1354000
все още	не	1353000
разлика	от	1346000
представители	на	1334000
цената	на	1331000
хората	да	1328000
във връзка	с	1327000
могат да	бъдат	1324000
член	на	1324000
във	фейсбук	1323000
в същото	време	1321000
още	в	1321000
доведе	до	1316000
като	не	1315000
още	от	1315000
малко	от	1309000
но	е	1305000
под	карантина	1305000
защото	е	1300000
много	благодаря	1300000
не	мога	1300000
но	за	1299000
пандемията	от	1298000
казва	че	1295000
първи	път	1295000
информация	за	1289000
преди	това	1284000
промени	в	1283000
за първи	път	1281000
за разлика	от	1281000
ли	ще	1281000
ти	е	1281000
а	това	1278000
би	трябвало	1273000
служители	на	1272000
ли	си	1269000
място	в	1265000
която	да	1264000
министър	на	1258000
защото	не	1256000
сравнение	с	1254000
така	е	1254000
години	и	1253000
само	от	1249000
думите	на	1247000
броя	на	1242000
народното	събрание	1242000
да може	да	1240000
твърди	че	1239000
г	в	1238000
най	вероятно	1230000
който	ще	1221000
обаче	не	1216000
да не	е	1215000
според	мен	1213000
ако	е	1211000
от тях	са	1211000
ли	се	1207000
нещо	което	1206000
че няма	да	1206000
европейската	комисия	1205000
времето	на	1201000
добър	вечер	1200000
много	добре	1200000
моля	те	1200000
трябва да	е	1198000
данни	на	1197000
то	е	1197000
средата	на	1196000
кой	да	1189000
сега	е	1189000
можете	да	1188000
подкрепа	на	1188000
ви	е	1187000
може да	е	1187000
пак	ще	1187000
в сравнение	с	1184000
за да	може	1183000
като	е	1182000
като	и	1181000
те	се	1179000
г	и	1177000
добре	да	1170000
малко	по	1170000
изобщо	не	1162000
достъп	до	1159000
пари	за	1157000
също	е	1157000
продължават	да	1156000
ръководството	на	1156000
защита	на	1153000
трябва да	бъдат	1153000
ще могат	да	1153000
най	големите	1152000
става въпрос	за	1150000
борисов	и	1149000
този	път	1145000
управление	на	1145000
ти	си	1143000
до	г	1141000
въпреки	това	1137000
че трябва	да	1133000
влезе	в	1132000
кметът	на	1130000
все	едно	1124000
европейския	съюз	1124000
как да	се	1122000
борба	с	1121000
някой	да	1121000
а	след	1120000
като	за	1117000
все	повече	1116000
какви	са	1116000
румен	радев	1116000
обясни	че	1115000
колкото	и	1114000
миналата	седмица	1109000
или	на	1105000
един от	най	1103000
посочи	че	1102000
всичко	добре	1100000
кой	ще	1100000
по малко	от	1100000
и да	си	1097000
още	повече	1093000
пъти	по	1090000
а	сега	1084000
би трябвало	да	1084000
което	ще	1084000
той	ще	1084000
развитието	на	1080000
трябва да	има	1074000
вече	се	1073000
данни	за	1073000
млн	лева	1072000
като	цяло	1070000
е част	от	1068000
и това	е	1064000
ли	не	1063000
право	на	1061000
няколко	дни	1058000
говори	за	1057000
каква	е	1057000
северна	македония	1057000
два	пъти	1055000
време	е	1054000
липса	на	1053000
още не	е	1053000
министъра	на	1048000
вероятно	ще	1047000
условията	на	1047000
които	имат	1040000
те	да	1040000
начин	да	1039000
крайна	сметка	1038000
фона	на	1038000
хора	с	1038000
говорим	за	1037000
при	това	1037000
в крайна	сметка	1036000
доналд	тръмп	1035000
решение	на	1035000
нито	един	1034000
става	ясно	1034000
на фона	на	1032000
ги	е	1031000
да се	и	1031000
работата	на	1024000
иван	гешев	1023000
няма	и	1023000
г	е	1021000
която	ще	1021000
васил	божков	1019000
случая	на	1019000
не се	е	1017000
сметка	на	1016000
развитие	на	1014000
няма	нищо	1012000
цитиран	от	1012000
възможност	за	1007000
да се	случи	1007000
каквото	и	1007000
тези	хора	1003000
две	седмици	1002000
които	е	1002000
околната	среда	1001000
успя	да	1001000
лека	нощ	1000000
обичам	те	1000000
смята	че	1000000
решението	на	999000
новия	коронавирус	998000
социалните	мрежи	998000
живота	си	995000
двете	страни	992000
което	не	989000
сега	ще	987000
хора	в	987000
време	за	986000
част	на	985000
сащ	и	984000
във	всички	981000
които не	са	981000
показва	че	981000
района	на	981000
макар	и	980000
в размер	на	979000
дори	да	979000
сега	се	978000
христо	иванов	978000
време	да	975000
още	че	973000
хора	и	970000
намаляване	на	968000
и ще	се	966000
надявам	се	966000
директорът	на	965000
този	момент	965000
лв	за	961000
но	се	961000
герб	и	960000
резултат	на	959000
у	дома	959000
ли	са	958000
да могат	да	957000
да се	на	957000
дали	е	957000
ес	и	954000
ако	има	953000
му	в	952000
продължение	на	951000
две	години	948000
центъра	на	945000
няколко	години	943000
каквото и	да	940000
да не	говорим	938000
нямаше	да	938000
съобщи	че	938000
винаги	е	933000
така	се	933000
резултатите	от	930000
след	което	929000
ден	на	928000
ли	че	925000
може да	си	923000
отговор	на	922000
опитва	да	919000
дори	не	918000
най	малко	918000
цялата	страна	918000
общият	брой	917000
не е	ясно	915000
следва	да	915000
на извънредното	положение	911000
коронавирус	в	910000
участие	в	910000
къде	е	909000
очаква	се	907000
и не	се	906000
очаква	да	904000
важното	е	903000
обаче	е	903000
няма да	е	901000
до	скоро	900000
за	сега	900000
как	сте	900000
приятен	ден	900000
близо	до	899000
добави	че	897000
за борба	с	896000
живота	на	894000
може	ли	893000
заразени	с	892000
включително	и	890000
за сметка	на	890000
затова	и	890000
велико	търново	888000
ню	йорк	885000
страната	ни	885000
главният	прокурор	884000
така	ще	883000
факта	че	882000
момента	в	881000
зависи	от	880000
има	в	880000
историята	на	877000
управлението	на	876000
членове	на	874000
още	един	872000
е един	от	869000
тях	е	868000
българия	в	867000
да се	в	867000
казват	че	867000
цел	да	865000
най	голямата	864000
няколко	месеца	864000
кога	ще	863000
и трябва	да	862000
целта	е	862000
опитват	да	858000
хора	от	857000
или	в	856000
създаването	на	856000
година	и	855000
до	часа	854000
изграждането	на	854000
в резултат	на	851000
в района	на	847000
спазване	на	847000
докато	не	845000
за това	че	841000
какъв	е	841000
но	ако	841000
извънредно	положение	840000
цените	на	838000
нищо	общо	836000
щяха	да	836000
премиерът	бойко	834000
ти	се	834000
кои	са	833000
премиерът бойко	борисов	833000
във	франция	832000
се опитва	да	829000
борбата	с	827000
общо	с	826000
правителството	на	826000
толкова	много	825000
най	добре	823000
средства	за	823000
казва	в	822000
преди	няколко	822000
смятат	че	821000
можеше	да	820000
той	да	820000
и не	е	819000
областта	на	819000
места	в	818000
последното	денонощие	818000
води	до	817000
колко	е	815000
продължи	да	815000
ако	си	814000
и няма	да	814000
пореден	път	814000
проверка	на	814000
го	и	813000
години	на	813000
съвет	на	813000
само	и	811000
че може	да	810000
общият брой	на	809000
му	и	808000
сградата	на	808000
гледна	точка	805000
няколко	пъти	805000
в продължение	на	803000
два	месеца	803000
над	млн	803000
тя	се	803000
ако	някой	800000
в условията	на	800000
всички	са	799000
макар	че	799000
през	март	799000
хората	с	799000
една от	най	798000
стигне	до	798000
както	се	797000
мястото	на	797000
тази	сутрин	796000
в областта	на	795000
такива	като	794000
всички	които	793000
във	вторник	793000
ви	се	792000
твърдят	че	792000
полза	на	791000
между	другото	790000
случай	на	790000
се очаква	да	789000
то	и	789000
всичко	което	788000
всяка	година	787000
започва	да	787000
всеки	който	785000
би	било	783000
място	за	783000
най	големият	782000
което	да	781000
трудно	да	781000
министерския	съвет	780000
до	години	779000
българия	ще	778000
но не	и	778000
или	по	777000
както	е	777000
които	в	777000
той	и	777000
за пореден	път	776000
се опитват	да	775000
всички	останали	774000
души	са	770000
не можем	да	769000
среща	с	767000
това може	да	766000
скоро	ще	764000
ще може	да	764000
ролята	на	763000
доста	по	762000
в полза	на	761000
министерство	на	761000
друга	страна	759000
колко	са	759000
хората	в	759000
влиза	в	758000
франс	прес	757000
то	не	756000
европа	и	755000
каза	той	754000
през последните	години	754000
около	часа	752000
има	по	751000
въпрос	на	749000
може да	има	748000
в центъра	на	747000
уточни	че	746000
лидерът	на	744000
пари	от	744000
тази	седмица	744000
важно	е	742000
които могат	да	741000
пари	и	741000
в социалните	мрежи	740000
човек	който	740000
на главния	прокурор	739000
никога не	е	739000
целта	на	739000
какво	става	736000
процента	от	736000
момента	е	735000
него	и	735000
по думите	на	735000
млн	евро	733000
ни	се	733000
нови	случая	733000
се казва	в	733000
време	и	732000
съм	че	732000
здравето	на	731000
няма	ли	731000
целия	свят	731000
лева	за	729000
независимо	от	729000
никога	няма	729000
една	година	727000
при	нас	725000
те	години	725000
хора	на	725000
причина	за	724000
собственик	на	723000
стана ясно	че	723000
състоянието	на	723000
има	за	722000
бива	да	720000
как	е	720000
край	на	720000
смъртта	на	718000
въпросът	е	717000
правата	на	717000
години	от	716000
работа	на	716000
предстои	да	714000
българия	не	713000
че ще	се	713000
тя	ще	710000
участва	в	710000
края на	годината	709000
първо	място	709000
бъде	в	708000
година	в	707000
както и	на	707000
опит	да	707000
милиона	лева	705000
българия	да	704000
няма	нужда	704000
това означава	че	704000
българия	се	702000
в закона	за	702000
вие	сте	701000
за себе	си	700000
смятам	че	700000
цял	свят	700000
заседание	на	699000
много	повече	699000
всеки	един	698000
никога няма	да	697000
където	се	696000
собственост	на	696000
така че	да	696000
за да	си	695000
искаме	да	695000
не бива	да	694000
те	и	693000
години	в	692000
часа	на	692000
прокурор	иван	691000
сме	в	691000
също	са	691000
или	от	690000
колкото и	да	690000
последните	дни	690000
има	нужда	689000
председателя	на	689000
мярка	за	688000
изпълнение	на	687000
или	с	687000
там	е	687000
прокурор иван	гешев	686000
започнаха	да	685000
момента	са	684000
разпространение	на	683000
още	през	682000
е много	по	680000
и да	го	680000
нивото	на	680000
от друга	страна	680000
показват	че	680000
там	където	678000
или	за	677000
върховенството	на	676000
демократична	българия	675000
добре	че	675000
а не	да	673000
софия	и	673000
без да	се	672000
през	лятото	672000
при	на	672000
сайта	на	672000
вече	има	671000
хората	са	671000
започна	да	669000
повечето	от	669000
на околната	среда	667000
следващата	година	667000
план	за	665000
президентът	на	665000
да не	би	664000
въобще	не	662000
един	ден	662000
така	да	662000
е една	от	661000
и след	това	661000
днес	в	660000
опит	за	660000
оперативен	щаб	659000
по данни	на	659000
причината	за	659000
до	на	658000
дълго	време	658000
оставката	на	657000
пациенти	с	657000
тези	на	657000
да не	си	656000
половината	от	655000
три	месеца	655000
борисов	е	654000
министър	председателят	652000
преди	дни	652000
не можеш	да	651000
шеф	на	651000
не е	ли	650000
русия	и	650000
когато	е	649000
някой	от	649000
на първо	място	647000
заради	пандемията	646000
нещо	като	646000
реши	да	646000
а след	това	644000
интервю	за	644000
увеличение	на	644000
ще се	проведе	643000
до	сега	642000
хора	са	642000
момента	се	641000
промяна	в	641000
тя	не	641000
черно	море	641000
възможно	да	640000
ние	не	640000
работни	места	640000
въвеждането	на	639000
да им	се	639000
във	великобритания	638000
качеството	на	638000
след	години	637000
им	да	636000
къде	са	636000
нещо	за	636000
беше	в	634000
сред	които	634000
в българия	и	633000
работи	в	633000
той	че	633000
часа	в	632000
също	се	631000
не е	имало	630000
работа	в	630000
този	който	630000
ама	не	629000
защото	са	629000
млрд	лв	629000
тях	и	629000
едно	време	627000
му	за	627000
работа	и	627000
българия	за	626000
има	само	626000
млрд	евро	625000
решение	за	625000
хора	да	624000
що	се	624000
какво	точно	623000
лек	автомобил	623000
бъде	от	622000
както и	да	622000
през	тази	622000
без	това	620000
заради	това	620000
през	следващите	620000
която	не	619000
при	положение	619000
пръв	път	619000
членовете	на	619000
създаване	на	618000
на министерството	на	617000
положение	че	617000
жителите	на	616000
започнат	да	616000
които трябва	да	616000
начин	на	616000
първа	линия	616000
този	въпрос	616000
за пръв	път	615000
и може	да	615000
ясно	от	615000
използването	на	614000
три	години	614000
им	в	613000
опита	да	613000
го	правят	611000
мерките	за	611000
ограничаване	на	611000
нито	една	610000
нищо общо	с	609000
днес	е	608000
изграждане	на	608000
при положение	че	608000
важно	да	607000
по добре	да	607000
хората	от	607000
годишен	мъж	606000
добре	е	606000
премиера	бойко	606000
премиера бойко	борисов	606000
просто	не	606000
пък	и	605000
г	от	604000
много	е	604000
обаче	се	604000
пъти	повече	603000
шефът	на	603000
в подкрепа	на	601000
кмета	на	601000
среда	и	601000
стара	загора	601000
пример	за	600000
го	в	599000
също	и	599000
много	други	598000
чл	ал	598000
сме	на	597000
беше	на	596000
път	в	595000
ако	това	594000
бъде	и	594000
един	и	593000
му	на	593000
защото	в	592000
него	е	592000
никой	няма	592000
около	от	592000
сега	да	592000
даже	и	590000
за защита	на	590000
знае	че	590000
ръст	на	588000
