# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection dan_news_2021_1M.tar.gz (dan_news_2021_1M/dan_news_2021_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
og det	er	7667000
på grund	af	6845000
en del	af	6345000
at det	er	6020000
at der	er	5933000
det er	en	5881000
i løbet	af	5454000
men det	er	5337000
det er	ikke	5326000
i forbindelse	med	5279000
mulighed for	at	4873000
i forhold	til	4857000
med til	at	4625000
for at	få	4190000
en af	de	4037000
en årig	mand	3880000
kommer til	at	3857000
lyder det	fra	3840000
i gang	med	3326000
det	er	3200000
god	morgen	3000000
jeg	ved	3000000
tusind	tak	3000000
der har	været	2989000
i en	pressemeddelelse	2967000
det er	et	2844000
jeg	tror	2800000
tak skal	du	2800000
så er	det	2687000
i hvert	fald	2621000
klar til	at	2437000
og der	er	2429000
der er	en	2413000
efter	arbejde	2400000
familien	kommer	2400000
i	morgen	2400000
intet	problem	2400000
kunden	spørger	2400000
mødet	starter	2400000
send	mig	2400000
telefonen	oplader	2400000
toget	kører	2400000
vi	ses	2400000
nødt til	at	2384000
for at	have	2373000
det betyder	at	2345000
der ikke	er	2168000
gang med	at	2156000
til at	være	2150000
at der	ikke	2141000
er en	af	2123000
i stedet	for	2077000
til at	blive	2069000
være med	til	2062000
der er	i	2032000
til at	få	1995000
på den	måde	1984000
er tale	om	1983000
lov til	at	1970000
for første	gang	1955000
det er	det	1934000
at det	ikke	1933000
men der	er	1928000
i sidste	uge	1887000
det har	været	1886000
til at	tage	1828000
at få	en	1821000
så er	der	1763000
har brug	for	1761000
nogle af	de	1760000
ud til	at	1748000
så det	er	1746000
det er	jo	1743000
for at	blive	1738000
i dag	er	1733000
at der	var	1729000
og så	er	1721000
er det	ikke	1718000
der er	tale	1715000
for at	være	1714000
det var	en	1687000
statens serum	institut	1646000
at det	var	1618000
det kan	være	1613000
har været	i	1612000
er en	del	1605000
og det	har	1604000
et af	de	1597000
der er	ikke	1595000
svært ved	at	1594000
der er	blevet	1582000
er ved	at	1549000
i første	omgang	1524000
for at	komme	1501000
efter at	have	1476000
hvor der	er	1475000
derfor er	det	1473000
det er	også	1451000
i slutningen	af	1450000
på baggrund	af	1436000
har været	en	1410000
til tv	lorry	1400000
børn og	unge	1399000
tale om	en	1395000
blandt andet	at	1393000
og det	var	1384000
årig mand	fra	1377000
som følge	af	1376000
det er	der	1374000
til tv	østjylland	1343000
det er	den	1335000
på trods	af	1318000
til at	komme	1285000
til at	gå	1277000
er klar	til	1270000
det er	vigtigt	1267000
lyst til	at	1263000
glad for	at	1236000
og det	kan	1226000
ikke til	at	1223000
på at	det	1220000
om at	der	1217000
at man	ikke	1214000
i samarbejde	med	1200000
de seneste	år	1192000
at de	ikke	1191000
at han	ikke	1191000
den årige	mand	1190000
i denne	uge	1183000
at der	skal	1182000
muligheden for	at	1177000
en af	dem	1168000
til at	gøre	1158000
finde ud	af	1149000
i mange	år	1144000
det er	i	1138000
med at	få	1136000
på at	der	1122000
det kommer	til	1120000
er der	ikke	1113000
at de	har	1106000
at være	en	1106000
i form	af	1105000
det er	dog	1102000
frem til	at	1099000
det ikke	er	1094000
men det	var	1086000
er formand	for	1085000
statsminister mette	frederiksen	1079000
tid til	at	1068000
at vi	har	1063000
om at	få	1062000
om at	det	1061000
ved siden	af	1060000
til at	se	1057000
stedet for	at	1056000
på tværs	af	1049000
at komme	i	1045000
at der	i	1043000
lige nu	er	1042000
nok til	at	1042000
for at	kunne	1037000
at det	kan	1026000
det er	noget	1019000
er det	en	1019000
på at	få	1017000
nu er	det	1012000
for at	sikre	1008000
en lang	række	1003000
at vi	kan	1002000
stor del	af	1000000
der blandt	andet	995000
at gøre	det	993000
der er	mange	990000
er i	gang	989000
sig over	at	989000
en stor	del	986000
det handler	om	979000
der er	et	974000
det meste	af	974000
har der	været	973000
se frem	til	973000
er der	også	968000
for at	se	965000
at man	kan	957000
der er	også	957000
er dog	ikke	953000
sig til	at	951000
er vigtigt	at	950000
tvivl om	at	942000
for at	der	937000
har fået	en	933000
en årig	kvinde	932000
om det	er	932000
for det	er	930000
i den	kommende	929000
i begyndelsen	af	928000
på den	anden	928000
der er	ingen	926000
og derfor	er	922000
der skal	være	921000
det vil	sige	917000
det seneste	døgn	913000
er på	vej	913000
til at	holde	906000
har valgt	at	904000
endte med	at	903000
om der	er	903000
i tvivl	om	895000
der kan	være	890000
på et	tidspunkt	888000
af dem	der	884000
ind i	en	883000
nu er	der	883000
grund til	at	876000
ved retten	i	876000
drejer sig	om	873000
er ikke	kun	871000
enige om	at	870000
at de	er	868000
i næste	uge	868000
er der	en	864000
om at	de	864000
af dem	er	861000
på nuværende	tidspunkt	860000
for at	finde	859000
i de	seneste	859000
lade sig	gøre	859000
den anden	side	858000
i starten	af	857000
for at	det	855000
forsøg på	at	850000
at han	har	848000
brug for	at	846000
er med	til	846000
grund af	corona	844000
det svarer	til	842000
har været	med	837000
handler om	at	836000
været med	til	835000
i den	forbindelse	833000
det er	at	827000
det var	ikke	825000
har ikke	været	824000
komme til	at	824000
men nu	er	824000
sikker på	at	824000
første gang	i	822000
i kontakt	med	822000
og ikke	mindst	821000
er det	også	814000
i de	kommende	814000
synes det	er	814000
for at	gøre	806000
det fremgår	af	805000
store dele	af	803000
det drejer	sig	802000
det er	helt	802000
der er	på	800000
det skal	være	800000
at man	har	798000
men det	har	798000
og for	at	794000
kan være	med	793000
mener at	det	792000
til at	man	790000
at være	i	787000
mette frederiksen	s	787000
at der	kan	785000
for at	de	785000
det er	svært	784000
er glad	for	782000
hvad der	er	782000
der er	formand	776000
ud af	at	775000
er blandt	andet	774000
til at	der	774000
at han	er	770000
at sikre	at	769000
ved med	at	769000
noget af	det	767000
som en	del	767000
af de	to	765000
er nødt	til	765000
er et	af	764000
med det	samme	764000
procent af	de	764000
ser ud	til	758000
og vi	har	757000
i spidsen	for	756000
til for	at	755000
at vi	ikke	753000
peger på	at	748000
at få	et	747000
at det	bliver	746000
i danmark	og	744000
samtidig med	at	744000
at man	skal	743000
til at	give	743000
at den	årige	742000
sigtet for	at	739000
den seneste	uge	735000
at der	bliver	734000
at vi	skal	734000
på et	pressemøde	733000
sig for	at	730000
at deltage	i	729000
at gå	i	729000
sig ind	i	729000
til at	have	729000
vi skal	have	729000
der har	fået	727000
er det	vigtigt	726000
sig at	være	726000
det er	meget	725000
løbet af	de	725000
først og	fremmest	722000
der vil	være	720000
i sidste	ende	719000
det er	for	716000
i takt	med	716000
men det	kan	714000
til og	med	714000
hvis der	er	710000
på millioner	kroner	710000
siger han	til	710000
det seneste	år	709000
har det	været	708000
del af	den	707000
der er	for	706000
midt og	vestsjællands	706000
for at	vi	705000
for at	holde	704000
tour de	france	703000
op til	at	702000
midt og	vestjyllands	701000
sammen med	sin	700000
der ikke	var	698000
risiko for	at	695000
at komme	ud	692000
i høj	grad	692000
på vej	til	692000
tage stilling	til	692000
i antallet	af	690000
på det	tidspunkt	690000
at der	kommer	689000
at have	en	688000
der er	sket	688000
når der	er	688000
for at	undgå	687000
at komme	til	686000
fra statens	serum	685000
og at	det	684000
at finde	en	682000
er svært	at	682000
og nu	er	681000
er endnu	ikke	680000
er i	dag	680000
det vil	være	679000
kan det	være	679000
i stand	til	678000
selv om	det	678000
så der	er	673000
vil sige	at	673000
sådan lyder	det	672000
planer om	at	671000
for år	siden	670000
har været	på	670000
når det	kommer	670000
og vestsjællands	politi	668000
tyder på	at	668000
det er	de	667000
og at	der	666000
og vestjyllands	politi	665000
med at	blive	664000
at være	med	663000
muligheder for	at	663000
til at	kunne	662000
der nu	er	661000
sørge for	at	657000
de seneste	syv	656000
på sin	hjemmeside	656000
han fortæller	at	654000
i anden	halvleg	654000
og det	vil	654000
hvis man	har	651000
være en	del	651000
viste sig	at	650000
stand til	at	649000
der er	kommet	646000
til at	sætte	646000
er ikke	noget	645000
i hele	landet	644000
han mener	at	642000
om at	blive	641000
et halvt	år	640000
på at	de	640000
der er	dog	639000
en god	idé	638000
har blandt	andet	636000
hvor man	kan	636000
langt de	fleste	636000
mange af	de	636000
at vi	er	634000
er der	i	634000
i år	er	634000
tale om	et	631000
for ikke	at	629000
ikke har	været	628000
har svært	ved	627000
i mere	end	627000
lyder det	i	627000
til at	lave	627000
det er	så	626000
i midten	af	626000
ud af	det	626000
at det	vil	624000
der også	er	624000
og så	har	624000
til at	det	624000
kan du	se	622000
at lave	en	621000
efter at	han	621000
i region	hovedstaden	621000
at lade	sig	620000
lød det	fra	620000
det er	på	618000
millioner kroner	til	617000
det vigtigt	at	616000
det her	er	615000
glæder sig	over	615000
har mulighed	for	615000
er en	god	613000
at have	været	611000
at se	på	611000
de fleste	af	611000
blandt andet	i	609000
de seneste	dage	609000
det har	vi	608000
jeg synes	det	608000
forhold til	at	607000
i det	hele	605000
der i	dag	604000
lagt op	til	604000
til at	hjælpe	604000
et flertal	i	603000
og så	skal	603000
del af	det	602000
behov for	at	601000
der ikke	har	601000
ved at	være	601000
et år	siden	599000
og det	skal	599000
men vi	har	598000
i den	grad	597000
og det	betyder	597000
til at	skabe	596000
er muligt	at	595000
jeg kan	ikke	594000
det er	muligt	593000
for at	tage	593000
det er	derfor	592000
så vi	kan	592000
flere af	de	591000
at finde	ud	589000
at hun	ikke	588000
at han	havde	587000
at blive	vaccineret	586000
har lyst	til	586000
var tale	om	586000
til at	finde	584000
i sig	selv	583000
som er	en	583000
glade for	at	580000
bedt om	at	579000
det er	nu	578000
vi har	en	576000
vil der	være	575000
det skyldes	at	573000
med henblik	på	573000
var med	til	572000
at stille	op	570000
mellem de	to	570000
af de	mange	568000
har haft	en	567000
når det	gælder	567000
for at	give	565000
som har	været	565000
kilometer i	timen	564000
at han	var	563000
det har	ikke	563000
er en	stor	563000
første gang	at	562000
her er	der	562000
de kommende	år	561000
det er	blevet	560000
seneste syv	dage	559000
at de	kan	558000
med en	sejr	558000
opmærksom på	at	558000
i nærheden	af	557000
at det	har	556000
at komme	ind	556000
det muligt	at	556000
vende tilbage	til	555000
vi kan	ikke	555000
i den	nye	554000
har gjort	det	552000
til at	de	552000
vi har	ikke	550000
det var	et	549000
ved at	blive	549000
bange for	at	547000
når det	er	547000
til at	køre	547000
at blive	testet	546000
dem der	har	546000
i region	midtjylland	546000
i champions	league	545000
kan være	en	545000
om at	vi	545000
at de	to	544000
der er	noget	544000
har forsøgt	at	544000
i en	ny	544000
af de	mest	543000
