# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection ukr_news_2024_1M.tar.gz (ukr_news_2024_1M/ukr_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
під	час	17872000
в	україні	15650000
те	що	13614000
зараз	ви	11627000
ви	читаєте	11594000
читаєте	новину	11588000
про	це	10705000
а	також	10002000
за	словами	9576000
за	його	8542000
тому	що	7620000
його	словами	7577000
про	те	6894000
у	році	6699000
що	в	6398000
крім	того	6176000
заявив	що	6150000
що	це	5851000
і	не	5499000
це	не	5284000
що	у	5137000
йдеться	у	5073000
може	бути	5070000
за	даними	4830000
при	цьому	4761000
зазначив	що	4712000
що	не	4362000
що	на	4340000
того	як	4141000
зазначається	що	3867000
у	повідомленні	3853000
що	він	3760000
так	і	3704000
на	напрямку	3695000
того	що	3662000
що	вони	3563000
додав	що	3495000
не	було	3462000
на	початку	3447000
на	території	3377000
цього	року	3352000
того	щоб	3304000
у	нас	3261000
на	фронті	3216000
в	тому	3184000
з	них	3176000
володимир	зеленський	3169000
після	того	3123000
і	це	3097000
я	не	3068000
за	допомогою	3064000
якщо	ви	3043000
в	україну	3019000
відомо	що	3019000
і	на	3014000
не	буде	2968000
вважає	що	2926000
для	того	2921000
до	того	2887000
а	потім	2862000
не	можна	2828000
а	не	2804000
від	до	2794000
як	і	2738000
разом	з	2737000
йдеться	про	2728000
у	своєму	2727000
станом	на	2698000
згідно	з	2697000
не	може	2634000
для	україни	2619000
з	боку	2613000
таким	чином	2573000
це	може	2547000
сили	оборони	2496000
до	кінця	2495000
участь	у	2492000
в	районі	2468000
вони	не	2451000
повномасштабного	вторгнення	2447000
ми	не	2446000
наголосив	що	2445000
ніколи	не	2424000
для	цього	2423000
він	не	2417000
у	києві	2410000
що	ми	2408000
сил	оборони	2399000
можуть	бути	2387000
оборони	україни	2382000
населених	пунктів	2377000
тих	хто	2365000
проти	україни	2353000
на	думку	2351000
стало	відомо	2332000
ударів	по	2312000
але	не	2295000
на	те	2287000
збройних	сил	2285000
що	україна	2272000
минулого	року	2271000
сказав	що	2249000
до	цього	2245000
у	цьому	2223000
не	лише	2205000
на	жаль	2168000
має	бути	2162000
у	світі	2128000
не	варто	2126000
на	рівні	2118000
в	цьому	2113000
повідомив	що	2113000
на	його	2105000
що	вона	2104000
колаж	уніан	2083000
він	також	1992000
поки	що	1966000
після	цього	1966000
уніан	фото	1963000
за	її	1955000
у	них	1944000
донецької	області	1925000
сказав	він	1920000
але	це	1917000
на	місці	1909000
тим	що	1909000
що	за	1908000
та	на	1904000
російські	війська	1887000
до	років	1867000
що	росія	1855000
але	й	1854000
з	питань	1849000
один	із	1847000
не	має	1841000
один	з	1812000
ще	не	1799000
україни	та	1797000
цього	дня	1785000
що	з	1782000
до	україни	1751000
йдеться	в	1750000
каже	що	1736000
в	ефірі	1717000
вночі	вдень	1699000
закордонних	справ	1694000
в	повідомленні	1684000
не	є	1679000
у	тому	1679000
разом	із	1678000
на	це	1672000
в	області	1670000
удару	по	1669000
та	інші	1668000
це	було	1662000
бойових	дій	1659000
ви	можете	1658000
на	тлі	1657000
сил	україни	1656000
в	інтерв'ю	1655000
розповів	що	1652000
у	вас	1652000
це	буде	1650000
які	не	1642000
та	інших	1641000
він	зазначив	1639000
що	його	1637000
що	є	1634000
на	полі	1631000
у	разі	1614000
як	повідомляв	1607000
на	цьому	1601000
російські	окупанти	1601000
повідомляв	уніан	1596000
одна	з	1593000
тим	часом	1592000
як	відомо	1592000
президент	україни	1589000
не	тільки	1586000
вважають	що	1584000
що	я	1584000
за	інформацією	1583000
нічого	не	1574000
ще	один	1571000
заявили	що	1570000
україни	в	1567000
посиланням	на	1563000
та	в	1558000
млн	грн	1556000
не	можуть	1543000
цей	час	1536000
на	рік	1534000
означає	що	1527000
у	сша	1523000
за	кордоном	1513000
від	початку	1506000
по	україні	1499000
кажуть	що	1494000
все	ж	1490000
більше	ніж	1481000
у	нього	1476000
які	можуть	1472000
у	місті	1468000
це	в	1466000
щоб	не	1466000
у	війні	1460000
повномасштабної	війни	1456000
та	не	1455000
призвести	до	1450000
не	так	1448000
того	ж	1446000
її	словами	1446000
тому	числі	1445000
також	у	1443000
два	роки	1442000
особового	складу	1440000
увагу	на	1439000
у	мене	1436000
все	ще	1433000
а	на	1432000
не	на	1431000
в	росії	1427000
в	києві	1422000
а	ще	1421000
що	ви	1421000
вони	можуть	1419000
і	що	1418000
ніхто	не	1412000
до	слова	1410000
у	вигляді	1407000
до	речі	1406000
з	року	1405000
року	в	1405000
вона	не	1402000
протиповітряної	оборони	1399000
нагадаємо	раніше	1397000
повідомили	що	1396000
він	додав	1391000
з	росією	1382000
вже	не	1377000
у	росії	1377000
з	початку	1372000
з	яких	1361000
і	ми	1358000
одним	із	1346000
він	був	1345000
і	навіть	1343000
в	умовах	1341000
україни	у	1340000
полі	бою	1339000
цей	день	1337000
одного	з	1335000
думаю	що	1330000
в	районах	1326000
україни	на	1324000
з	до	1322000
так	само	1320000
початку	повномасштабного	1310000
війни	в	1309000
що	для	1309000
за	все	1306000
зауважив	що	1299000
прем'єр	міністр	1299000
млрд	грн	1298000
в	межах	1297000
та	його	1296000
порівняно	з	1289000
в	якому	1288000
по	всій	1282000
окрім	того	1277000
розповів	про	1275000
лінії	фронту	1274000
і	до	1272000
будь	які	1271000
людей	які	1268000
однією	з	1266000
з	ним	1264000
у	області	1262000
нагадаємо	нещодавно	1257000
минулої	доби	1254000
і	його	1252000
відповідно	до	1247000
до	року	1242000
і	для	1240000
у	районі	1238000
я	думаю	1237000
і	за	1231000
зазначила	що	1226000
в	одному	1222000
за	останні	1221000
україни	володимир	1217000
у	ніч	1216000
навіть	якщо	1215000
з	україною	1214000
навіть	не	1213000
та	у	1211000
незважаючи	на	1209000
це	вже	1208000
україни	з	1205000
років	тому	1199000
і	як	1188000
з	тим	1187000
може	стати	1187000
залежить	від	1184000
одному	з	1184000
що	може	1180000
з	та	1176000
більше	не	1170000
але	в	1168000
ціни	на	1162000
час	війни	1162000
що	до	1162000
це	дуже	1153000
на	ринку	1151000
не	в	1151000
інформацію	про	1137000
в	цей	1136000
від	того	1134000
ще	й	1125000
на	себе	1124000
що	російські	1123000
в	році	1122000
заявила	що	1120000
зазначимо	що	1118000
на	сьогодні	1118000
це	означає	1117000
в	рамках	1114000
все	що	1110000
на	день	1108000
відомо	про	1107000
і	вони	1105000
температура	повітря	1103000
як	це	1101000
а	це	1097000
лютого	року	1095000
про	мобілізацію	1094000
найближчим	часом	1093000
що	зараз	1092000
ви	не	1088000
за	кордон	1088000
з	цим	1086000
території	україни	1086000
що	після	1086000
може	призвести	1085000
все	одно	1080000
допомоги	україні	1077000
як	у	1077000
на	заході	1072000
російських	окупантів	1072000
цього	не	1070000
той	час	1066000
на	півдні	1065000
та	її	1064000
у	львові	1064000
президент	володимир	1061000
з	україни	1058000
у	вересні	1058000
було	б	1053000
з	посиланням	1053000
невелика	хмарність	1050000
що	росіяни	1049000
поки	не	1048000
тоді	як	1044000
все	це	1042000
ніч	проти	1042000
