# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection rus_news_2024_1M.tar.gz (rus_news_2024_1M/rus_news_2024_1M-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
в	году	14085000
об	этом	13701000
а	также	13384000
из	за	12597000
что	в	12312000
по	словам	10245000
во	время	9761000
в	том	9678000
при	этом	9253000
по	его	9083000
кроме	того	8701000
в	этом	8457000
в	результате	7392000
его	словам	7211000
том	что	7198000
и	не	6818000
о	том	6673000
потому	что	6556000
отметил	что	6481000
по	данным	6336000
не	только	6059000
в	рамках	6026000
том	числе	5918000
то	что	5682000
заявил	что	5349000
в	частности	5244000
в	россии	5218000
говорится	в	5145000
в	районе	5056000
но	и	5052000
в	украине	5039000
в	течение	4964000
и	на	4842000
у	нас	4576000
что	это	4460000
в	ходе	4412000
на	территории	4357000
в	то	4348000
из	них	4240000
вместе	с	4190000
может	быть	4159000
один	из	4090000
это	не	4027000
что	на	3961000
риа	новости	3870000
сообщили	в	3865000
так	и	3775000
то	же	3548000
этом	году	3548000
сейчас	вы	3497000
в	сообщении	3470000
то	есть	3459000
вы	читаете	3457000
читаете	новость	3454000
несмотря	на	3447000
добавил	что	3407000
отмечается	что	3399000
ссылкой	на	3346000
со	ссылкой	3341000
подчеркнул	что	3275000
так	как	3237000
же	время	3214000
связи	с	3214000
в	пресс	3172000
со	стороны	3157000
в	отношении	3113000
с	помощью	3111000
этом	в	3090000
участие	в	3080000
что	у	2983000
не	было	2972000
того	как	2972000
в	случае	2948000
в	и	2947000
в	связи	2933000
и	в	2917000
в	конце	2909000
пресс	службе	2896000
что	он	2894000
не	будет	2868000
в	этот	2853000
таким	образом	2845000
в	своем	2839000
в	городе	2810000
что	не	2788000
в	качестве	2711000
тысяч	рублей	2698000
от	до	2671000
в	начале	2663000
в	прошлом	2660000
того	что	2658000
года	в	2623000
и	другие	2616000
того	чтобы	2589000
настоящее	время	2571000
и	его	2567000
в	настоящее	2565000
стало	известно	2559000
известно	что	2554000
с	года	2524000
на	то	2508000
не	менее	2498000
что	то	2469000
по	мнению	2464000
на	улице	2457000
что	они	2451000
как	и	2386000
по	ее	2362000
для	этого	2356000
одной	из	2354000
в	стране	2353000
также	в	2350000
по	итогам	2337000
в	москве	2334000
сообщил	что	2323000
одним	из	2302000
в	свою	2278000
а	не	2253000
с	по	2252000
у	него	2246000
вооруженных	сил	2235000
после	того	2192000
курской	области	2181000
на	месте	2169000
речь	идет	2169000
в	регионе	2168000
у	них	2154000
и	это	2145000
в	целом	2135000
для	того	2122000
с	и	2104000
с	начала	2094000
в	виде	2077000
если	вы	2073000
после	этого	2072000
я	не	2044000
и	других	2034000
он	не	2024000
но	в	2023000
он	отметил	2019000
не	может	2008000
свою	очередь	1995000
прошлом	году	1993000
в	сша	1980000
по	сравнению	1973000
он	также	1967000
в	котором	1959000
до	конца	1958000
но	не	1940000
мы	не	1930000
тем	что	1926000
в	размере	1924000
на	украине	1922000
на	фоне	1917000
и	их	1916000
что	мы	1916000
прошлого	года	1908000
тех	кто	1908000
сравнению	с	1898000
в	сфере	1896000
и	по	1896000
могут	быть	1893000
и	для	1885000
на	сайте	1884000
уголовное	дело	1876000
ее	словам	1859000
в	мире	1850000
россии	в	1845000
считает	что	1841000
в	этой	1831000
пока	не	1828000
до	лет	1820000
с	до	1818000
из	самых	1811000
на	и	1809000
сказал	он	1808000
только	в	1785000
у	меня	1782000
рассказал	что	1776000
уже	в	1763000
иностранных	дел	1756000
в	день	1737000
по	информации	1737000
в	ночь	1731000
они	не	1729000
за	счет	1725000
что	с	1721000
до	сих	1720000
никогда	не	1720000
сих	пор	1716000
данный	момент	1712000
в	области	1711000
в	интервью	1694000
идет	о	1676000
находится	в	1659000
одна	из	1659000
с	этим	1659000
одного	из	1657000
на	самом	1650000
внимание	на	1648000
в	понедельник	1646000
отметила	что	1645000
в	центре	1637000
псковской	области	1636000
с	тем	1634000
и	как	1632000
ранее	в	1631000
россии	и	1631000
в	украину	1625000
этот	день	1625000
за	последние	1622000
а	затем	1617000
и	даже	1615000
более	чем	1612000
российской	федерации	1612000
так	что	1606000
не	в	1601000
этого	года	1595000
владимир	путин	1593000
в	четверг	1581000
до	этого	1576000
в	в	1574000
к	тому	1570000
это	может	1569000
на	уровне	1568000
на	направлении	1560000
россии	по	1555000
премьер	министр	1543000
в	пятницу	1540000
самом	деле	1523000
украины	в	1521000
пресс	служба	1517000
в	киеве	1502000
на	данный	1502000
на	это	1501000
году	в	1500000
никто	не	1497000
привести	к	1494000
в	субботу	1491000
после	чего	1487000
не	стоит	1481000
во	вторник	1475000
с	ним	1472000
с	россией	1471000
ночь	на	1466000
как	в	1463000
чем	в	1453000
в	среду	1450000
в	столице	1441000
еще	в	1439000
в	итоге	1438000
что	все	1437000
больше	чем	1427000
еще	один	1425000
и	все	1420000
во	всех	1418000
на	этом	1416000
это	время	1416000
но	это	1415000
в	одном	1413000
кто	то	1413000
что	она	1403000
в	первую	1393000
ничего	не	1380000
сообщалось	что	1378000
млн	рублей	1374000
отметили	что	1370000
все	это	1348000
за	год	1346000
еще	не	1341000
в	январе	1340000
к	сожалению	1338000
в	воскресенье	1332000
в	нем	1331000
в	среднем	1331000
отметим	что	1331000
сказал	что	1328000
в	соответствии	1326000
в	эфире	1324000
на	фронте	1324000
он	добавил	1322000
заявили	что	1317000
из	которых	1316000
с	в	1311000
в	его	1302000
глава	государства	1302000
в	курской	1299000
его	в	1299000
это	будет	1299000
в	ведомстве	1298000
в	составе	1295000
то	время	1287000
а	на	1284000
чтобы	не	1277000
и	ее	1274000
у	вас	1273000
владимир	зеленский	1272000
что	его	1272000
одном	из	1270000
в	основном	1269000
на	в	1269000
должны	быть	1267000
и	что	1264000
на	рынке	1262000
первую	очередь	1262000
по	всей	1257000
и	мы	1256000
соответствии	с	1248000
не	так	1247000
два	года	1245000
что	для	1243000
он	был	1242000
ближайшее	время	1239000
не	могут	1237000
уже	не	1236000
что	касается	1236000
по	состоянию	1234000
в	возрасте	1232000
в	первом	1229000
омской	области	1226000
в	ближайшее	1225000
сообщили	что	1225000
а	вот	1223000
что	за	1223000
лет	назад	1215000
в	рф	1213000
на	протяжении	1212000
с	учетом	1210000
рядом	с	1209000
более	тысяч	1208000
в	период	1202000
информацию	о	1202000
что	по	1201000
напомним	что	1197000
в	зоне	1192000
по	поводу	1190000
если	бы	1188000
на	этот	1188000
по	вопросам	1184000
января	года	1178000
нижегородской	области	1176000
заявила	что	1171000
в	силу	1165000
в	феврале	1164000
в	европе	1159000
в	сети	1158000
в	условиях	1156000
это	было	1155000
военной	операции	1154000
в	год	1149000
сша	и	1149000
населенных	пунктов	1145000
боевых	действий	1144000
зависимости	от	1143000
что	если	1140000
в	мае	1138000
вы	можете	1137000
этом	сообщает	1137000
в	сентябре	1133000
состоянию	на	1132000
на	место	1130000
миллионов	рублей	1127000
в	декабре	1126000
зависит	от	1123000
в	доме	1122000
место	в	1122000
в	канале	1120000
как	можно	1120000
сил	украины	1118000
что	россия	1118000
их	в	1117000
в	ноябре	1110000
которые	могут	1109000
в	ближайшие	1106000
думаю	что	1106000
цены	на	1103000
в	апреле	1101000
может	привести	1101000
на	основе	1101000
и	за	1100000
в	октябре	1097000
того	в	1097000
в	которых	1094000
связано	с	1094000
в	марте	1093000
приняли	участие	1093000
рассказали	в	1091000
в	будущем	1089000
в	состоянии	1087000
которые	не	1079000
своем	канале	1077000
специальной	военной	1077000
для	украины	1072000
считают	что	1070000
в	россию	1069000
противовоздушной	обороны	1069000
для	всех	1068000
в	их	1065000
с	ними	1065000
лишения	свободы	1063000
прежде	всего	1059000
только	на	1059000
раз	в	1057000
какой	то	1054000
в	на	1053000
а	в	1052000
однако	в	1051000
доступ	к	1049000
температура	воздуха	1049000
украины	и	1047000
с	целью	1044000
а	потом	1042000
даже	если	1041000
удар	по	1040000
в	м	1036000
на	выборах	1035000
это	очень	1035000
что	я	1032000
на	этой	1029000
рассказал	о	1029000
сегодняшний	день	1029000
в	беларуси	1028000
удары	по	1028000
мы	должны	1027000
его	мнению	1026000
российские	войска	1025000
как	это	1024000
он	подчеркнул	1020000
за	это	1019000
можно	будет	1019000
в	июле	1016000
всего	в	1014000
у	нее	1014000
и	так	1011000
должно	быть	1009000
напомнил	что	1009000
словам	в	1009000
на	его	1008000
все	равно	1007000
миллиона	рублей	1005000
что	сейчас	1005000
больше	всего	1003000
тем	не	1003000
она	не	1000000
к	этому	999000
скорее	всего	998000
на	себя	997000
не	просто	997000
не	будут	993000
в	июне	991000
донецкой	области	988000
все	еще	986000
в	сторону	985000
если	в	984000
в	последние	983000
было	бы	982000
в	это	982000
на	вопрос	981000
в	августе	980000
года	и	979000
на	сумму	976000
время	в	974000
или	в	974000
передает	корреспондент	974000
все	же	973000
в	селе	972000
что	украина	971000
в	эстонии	970000
в	больницу	965000
в	следующем	965000
чаще	всего	965000
в	которой	964000
на	них	963000
белгородской	области	962000
они	могут	962000
в	своей	960000
ранее	сообщалось	960000
может	стать	955000
я	думаю	955000
в	суд	954000
области	в	954000
для	нас	953000
на	поле	951000
с	участием	951000
отметили	в	946000
решение	о	946000
до	года	944000
отметил	он	944000
с	января	942000
совместно	с	939000
в	ответ	937000
также	на	935000
участия	в	934000
точки	зрения	932000
что	после	930000
на	сегодняшний	929000
