# Generated by scripts/generate_multilingual_ngram_assets.py
# Source: Leipzig Corpora Collection mlt_wikipedia_2021_30K.tar.gz (mlt_wikipedia_2021_30K/mlt_wikipedia_2021_30K-sentences.txt)
# Derived from ordered adjacent tokens in the sentence corpus; format: context<TAB>prediction<TAB>frequency
bejn l	u	194000
l u	l	192000
dak iż	żmien	187000
għall ewwel	darba	181000
tazza tad	dinja	154000
barra minn	hekk	123000
biċċa l	kbira	101000
nhar it	ta	92000
ta din	il	84000
ta dan	il	83000
fl età	ta	82000
filwaqt li	l	81000
l kbira	tal	79000
beda l	karriera	69000
fl università	ta	63000
l ewwel	gowl	60000
l isem	ta	60000
huwa wieħed	mill	59000
u t	tieni	59000
waqt li	l	59000
għamel id	debutt	58000
ta wirt	dinji	58000
tat tazza	tad	58000
kien l	ewwel	57000
li kien	hemm	57000
sena ta	wara	57000
il partit	laburista	56000
l ewwel	darba	56000
fl istess	ħin	55000
il biċċa	l	55000
kienet l	ewwel	55000
l istati	uniti	55000
naħa l	oħra	55000
nhar il	ta	55000
l ewwel	logħba	53000
l karriera	tiegħu	53000
madwar id	dinja	52000
fi ħdan	il	51000
l aqwa	skorer	49000
parti l	kbira	49000
fil bidu	tas	47000
fit ta	mejju	47000
fl u	fl	47000
matul l	istaġun	47000
università ta	malta	47000
ewwel darba	fl	46000
id debutt	tiegħu	46000
taħt l	art	46000
bidu tas	seklu	45000
min naħa	l	45000
sit ta	wirt	45000
wara li	l	45000
nhar l	ta	44000
fir rebħa	ta	43000
fl aħħar	tal	43000
fl u	l	43000
in numru	ta	43000
wara li	kien	43000
età ta	sena	42000
fit ta	marzu	42000
fuq in	naħa	42000
lejn l	aħħar	42000
li kien	qed	42000
skorja l	ewwel	42000
waqt li	kien	42000
din id	darba	41000
fit ta	diċembru	41000
bl isem	ta	40000
fażi tal	gruppi	40000
ftit li	xejn	40000
l fatt	li	40000
minkejja li	l	40000
nhar is	ta	40000
ta san	ġwann	40000
tieni gwerra	dinjija	40000
wara l	mewt	40000
fis ta	lulju	39000
fl istess	sena	39000
il belt	kapitali	39000
il prim	ministru	39000
mad dinja	kollha	39000
minħabba li	l	39000
ta din	l	39000
ta il	sena	39000
tal partit	laburista	39000
fil belt	ta	38000
fil bidu	tal	38000
illum il	ġurnata	38000
istaġun ta	wara	38000
kien wieħed	mill	38000
wieħed mill	aktar	38000
fl istorja	tal	37000
il belt	ta	37000
ispirtu s	santu	37000
kwarti tal	finali	37000
minn dawn	il	37000
rebħa ta	kontra	37000
aħħar tal	istaġun	36000
bħala wieħed	mill	36000
fit ta	lulju	36000
fit ta	settembru	36000
mat tim	nazzjonali	36000
matul is	snin	36000
ta malta	u	36000
bejn wieħed	u	35000
fil premier	league	35000
fl il	klabb	35000
fl istati	uniti	35000
ta dak	iż	35000
ta dan	l	35000
wieħed u	ieħor	35000
bħala parti	mill	34000
numru kbir	ta	34000
sar l	ewwel	34000
snin tas	seklu	34000
wara l	gwerra	34000
fis sajf	tal	33000
fit ta	april	33000
fit ta	novembru	33000
fit ta	ġunju	33000
ir renju	unit	33000
ta dawn	il	33000
u l	ewwel	33000
dan il	perjodu	32000
fatt li	l	32000
fit tieni	post	32000
fl ta	lulju	32000
hija waħda	mill	32000
iż żmien	kien	32000
kien hemm	il	32000
l mewt	ta	32000
peress li	l	32000
wieħed mill	aqwa	32000
wirt dinji	tal	32000
bl iskor	ta	31000
dinji tal	unesco	31000
ewwel darba	li	31000
fuq il	gżira	31000
għat tazza	tad	31000
li kienu	qed	31000
dik is	sena	30000
fit ta	jannar	30000
iktar il	quddiem	30000
kif ukoll	l	30000
li dak	iż	30000
magħruf bħala	l	30000
tal fa	cup	30000
wara l	ewwel	30000
aħħar tas	seklu	29000
barra minn	darhom	29000
bħala l	ewwel	29000
dawn iż	żewġ	29000
ewwel gowl	tiegħu	29000
fażi ta	kwalifikazzjoni	29000
fit ta	frar	29000
hu plejer	tal	29000
il fatt	li	29000
jista jkun	li	29000
karriera tiegħu	ma	29000
li ma	kienx	29000
tal futbol	tal	29000
tiegħu u	l	29000
tim nazzjonali	tal	29000
din kienet	l	28000
dinja kollha	u	28000
irlanda ta	fuq	28000
l ispirtu	s	28000
minn dan	il	28000
t tieni	l	28000
tar renju	unit	28000
u l	ta	28000
bejn iż	żewġ	27000
bidu tal	istaġun	27000
din il	kompetizzjoni	27000
ewwel gwerra	dinjija	27000
fir renju	unit	27000
l università	ta	27000
speċi mad	dinja	27000
ta dawn	l	27000
tal istati	uniti	27000
